Company Name,Industry,Symbol,Series,ISIN Code
Zijin Gold International Company Limited Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Materials,HZGD.SI,EQ,SGXE43265961
Siam Cement Public Co. Ltd. Shs Singapore Depositary Receipt Repr 1 NDVR,Materials,TSCD.SI,EQ,SGXE69329782
Charoen Pokphand Foods Public Co. Ltd. UnSp Singapore Depositary Receipt Repr 2/1 Sh,Materials,TPFD.SI,EQ,SGXE42827407
Bumitama Agri Ltd.,Materials,P8Z.SI,EQ,SG2E67980267
BRC Asia Limited,Materials,BEC.SI,EQ,SG1BG3000008
Pan-United Corporation Ltd.,Materials,P52.SI,EQ,SG1A67000830
Straits Trading Co. Ltd.,Materials,S20.SI,EQ,SG1J49001550
China Sunsine Chemical Holdings Ltd.,Materials,QES.SI,EQ,SGXE54479022
Indofood Agri Resources Ltd.,Materials,5JS.SI,EQ,SG1U47933908
TSH Resources Bhd.,Materials,TSH.SI,EQ,MYL9059OO006
CNMC Goldmine Holdings Limited,Materials,5TP.SI,EQ,SG2D72974892
Mewah International Inc.,Materials,MV4.SI,EQ,KYG6074A1085
International Cement Group Ltd.,Materials,KUO.SI,EQ,SGXE38602509
Aspial Corporation Limited,Materials,A30.SI,EQ,SG1G71871634
NSL Ltd.,Materials,N02.SI,EQ,SG1F87001375
Southern Alliance Mining Ltd.,Materials,QNS.SI,EQ,SGXE41674636
Tat Seng Packaging Group Ltd,Materials,T12.SI,EQ,SG1K31894969
Avarga Limited,Materials,X5N.SI,EQ,SGXE98222768
HG Metal Manufacturing Limited,Materials,BTG.SI,EQ,SG1CH7000000
Kencana Agri Limited,Materials,BNE.SI,EQ,SG1CE4000000
Infinity Development Holdings Co. Ltd.,Materials,ZBA.SI,EQ,KYG4772A1168
Fortress Minerals Limited,Materials,OAJ.SI,EQ,SGXE46200569
EnGro Corp. Ltd. (Singapore),Materials,S44.SI,EQ,SG1H26001476
AnAn International Limited,Materials,Y35.SI,EQ,BMG036111034
Union Steel Holdings Limited,Materials,ZB9.SI,EQ,SGXE53154642
Lincotrade & Associates Holdings Limited,Materials,BFT.SI,EQ,SG1BH7000002
MegaChem Ltd.,Materials,5DS.SI,EQ,SG1O60914015
Jiutian Chemical Group Limited,Materials,C8R.SI,EQ,SG1V71937527
LHT Holdings Ltd,Materials,BEI.SI,EQ,SG1BG5000006
Fuji Offset Plates Manufacturing Ltd,Materials,508.SI,EQ,SG0508000080
Chemical Industries Far East Ltd.,Materials,C05.SI,EQ,SG1B37000984
Samurai 2K Aerosol Ltd.,Materials,Y8E.SI,EQ,SGXE31436269
Wilton Resources Corporation Limited,Materials,5F7.SI,EQ,SG2G45999965
Southern Packaging Group Limited,Materials,BQP.SI,EQ,SG1CG0000009
Lion Asiapac Limited,Materials,BAZ.SI,EQ,SG1BD6000002
Livingstone Health Holdings Limited,Materials,PRH.SI,EQ,SGXE70643320
Qian Hu Corporation Limited,Materials,BCV.SI,EQ,SG1BE8000008
AsiaPhos Limited,Materials,5WV.SI,EQ,SG2G24997246
Yamada Green Resources Ltd.,Materials,BJV.SI,EQ,SG1CA8000004
Asia Vets Holdings Ltd.,Materials,5RE.SI,EQ,SG2B95959500
Jawala Inc.,Materials,1J7.SI,EQ,MYA013922002
China Kunda Technology Holdings Limited,Materials,GU5.SI,EQ,SG1X41941300
