Company Name,Industry,Symbol,Series,ISIN Code
Hongkong Land,Real Estate,H78.SI,EQ,BMG4587L1090
CapitaLand Integrated,Real Estate,C38U.SI,EQ,SG1M51904654
CapitaLand Investment,Real Estate,9CI.SI,EQ,SGXE62145532
Ascendas REIT,Real Estate,A17U.SI,EQ,SG1M77906915
UOL Group,Real Estate,U14.SI,EQ,SG1S83002349
City Developments,Real Estate,C09.SI,EQ,SG1R89002252
Mapletree Pan Asia,Real Estate,N2IU.SI,EQ,SG2D18969584
Mapletree Logistics,Real Estate,M44U.SI,EQ,SG1S03926213
Keppel DC REIT,Real Estate,AJBU.SI,EQ,SG1AF6000009
Mapletree Industrial,Real Estate,ME8U.SI,EQ,SG2C32962814
Frasers Centrepoint,Real Estate,J69U.SI,EQ,SG1T60930966
Frasers Property,Real Estate,TQ5.SI,EQ,SG2G52000004
Suntec REIT,Real Estate,T82U.SI,EQ,SG1Q52922370
Frasers Logistics,Real Estate,BUOU.SI,EQ,SG1CI9000006
CapitaLand Ascott Trust,Real Estate,HMN.SI,EQ,SGXC16332337
ParkwayLife REIT,Real Estate,C2PU.SI,EQ,SG1V52937132
Yanlord Land Group,Real Estate,Z25.SI,EQ,SG1T57930854
Bukit Sembawang Estates,Real Estate,B61.SI,EQ,SG1T88932077
Wing Tai Holdings,Real Estate,W05.SI,EQ,SG1K66001688
Far East Hospitality Trust,Real Estate,Q5T.SI,EQ,SG2F08984575
