Company Name,Industry,Symbol,Series,ISIN Code
Tencent Holdings Ltd Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Technology,HTCD.SI,EQ,SGXE68418768
Delta Electronics (Thailand) Public Co. Ltd. Shs Singapore Depositary Receipt Repr 1 NDVR,Technology,TDED.SI,EQ,SGXE82458550
Semiconductor Manufacturing International Corp. UnSp Singapore Depositary Receipt Repr 1/5 Sh,Technology,HSMD.SI,EQ,SGXE29478059
Xiaomi Corporation Shs UnSp Singapore Depositary Receipt Repr 1/2 Sh,Technology,HXXD.SI,EQ,SGXE85729692
Meituan Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Technology,HMTD.SI,EQ,SGXE14976547
Baidu  Inc. Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Technology,HBUD.SI,EQ,SGXE65286994
Horizon Robotics UnSp Singapore Depositary Receipt Repr 1 Sh,Technology,HHZD.SI,EQ,SGXE49383057
Venture Corporation,Technology,V03.SI,EQ,SG0531000230
AEM Holdings,Technology,AWX.SI,EQ,SG1BA1000003
AvePoint  Inc. Class A,Technology,AVP.SI,EQ,US0536041041
iFAST Corporation,Technology,AIY.SI,EQ,SG1AF5000000
UMS Integration,Technology,558.SI,EQ,SG1J94892465
Frencken Group Limited,Technology,E28.SI,EQ,SG1R43925234
PC Partner Group Limited,Technology,PCT.SI,EQ,KYG6956A1013
CSE Global Limited,Technology,544.SI,EQ,SG1G47869290
Aztech Global,Technology,8AZ.SI,EQ,SGXE54866863
Addvalue Technologies Ltd,Technology,A31.SI,EQ,SG1I67883666
Valuetronics Holdings Limited,Technology,BN2.SI,EQ,BMG9316Y1084
Info-Tech Systems Ltd,Technology,ITS.SI,EQ,SGXE12310608
Ley Choon Group Holdings Ltd.,Technology,Q0X.SI,EQ,SG2F02983607
Powermatic Data Systems Ltd.,Technology,BCY.SI,EQ,SG1BF0000003
ASTI Holdings Limited,Technology,575.SI,EQ,SG1G77872271
iWOW Technology Limited,Technology,NXR.SI,EQ,SGXE24704236
Winking Studios Limited,Technology,WKS.SI,EQ,KYG9722U1040
Trek 2000 International Ltd,Technology,5AB.SI,EQ,SG1I59882965
Sarine Technologies Ltd,Technology,U77.SI,EQ,IL0010927254
Nera Telecommunications Ltd,Technology,N01.SI,EQ,SG1I64883495
Creative Technology Ltd.,Technology,C76.SI,EQ,SG1A98006814
Karin Technology Holdings Limited,Technology,K29.SI,EQ,BMG521971033
PNE Industries Ltd,Technology,BDA.SI,EQ,SG1BF2000001
Global Invacom Group Ltd.,Technology,QS9.SI,EQ,SG2E91982768
CDW Holding Limited,Technology,BXE.SI,EQ,BMG2022E1104
Jason Marine Group Limited,Technology,5PF.SI,EQ,SG1Y80949072
GSS Energy Limited,Technology,41F.SI,EQ,SG1AG6000007
IPS Securex Holdings Ltd,Technology,42N.SI,EQ,SG1BJ0000005
Advanced Holdings Ltd.,Technology,BLZ.SI,EQ,SG1CD5000001
Koyo International Limited,Technology,5OC.SI,EQ,SG1X69942156
OxPay Financial Limited,Technology,TVV.SI,EQ,SGXE15822534
Shanaya Limited,Technology,SES.SI,EQ,SGXE61364597
Manufacturing Integration Technology Ltd.,Technology,M11.SI,EQ,SG1H45875967
UltraGreen.ai Limited,Technology,UGS.SI,EQ,SGXE24586385
UltraGreen.ai Limited,Technology,ULG.SI,EQ,SGXE24586385
Toku Ltd.,Technology,TKU.SI,EQ,SGXE69764855
MetaOptics Ltd,Technology,9MT.SI,EQ,KYG93Y1D1074
