Company Name,Industry,Symbol,Series,ISIN Code
DBS Group Holdings,Financials,D05.SI,EQ,
Oversea-Chinese Banking,Financials,O39.SI,EQ,
United Overseas Bank,Financials,U11.SI,EQ,
Singapore Telecommunications,Communication Services,Z74.SI,EQ,
Singapore Airlines,Industrials,C6L.SI,EQ,
Singapore Exchange,Financials,S68.SI,EQ,
Wilmar International,Consumer Staples,F34.SI,EQ,
Keppel Corporation,Industrials,BN4.SI,EQ,
CapitaLand Investment,Real Estate,9CI.SI,EQ,
CapitaLand Integrated,Real Estate,C38U.SI,EQ,
Ascendas REIT,Real Estate,A17U.SI,EQ,
Mapletree Logistics,Real Estate,M44U.SI,EQ,
Mapletree Industrial,Real Estate,ME8U.SI,EQ,
Mapletree Pan Asia,Real Estate,N2IU.SI,EQ,
Frasers Logistics,Real Estate,BUOU.SI,EQ,
Genting Singapore,Consumer Discretionary,G13.SI,EQ,
Jardine Cycle & Carriage,Consumer Discretionary,C07.SI,EQ,
Jardine Matheson,Industrials,J36.SI,EQ,
Hongkong Land,Real Estate,H78.SI,EQ,
Thai Beverage,Consumer Staples,Y92.SI,EQ,
City Developments,Real Estate,C09.SI,EQ,
UOL Group,Real Estate,U14.SI,EQ,
Sembcorp Industries,Utilities,U96.SI,EQ,
Singapore Technologies,Industrials,S63.SI,EQ,
SATS Ltd,Industrials,S58.SI,EQ,
ComfortDelGro,Industrials,C52.SI,EQ,
SIA Engineering,Industrials,S59.SI,EQ,
Venture Corporation,Technology,V03.SI,EQ,
Yangzijiang Shipbuilding,Industrials,BS6.SI,EQ,
Singapore Press,Communication Services,T39.SI,EQ,
Suntec REIT,Real Estate,T82U.SI,EQ,
Keppel DC REIT,Real Estate,AJBU.SI,EQ,
Frasers Centrepoint,Real Estate,J69U.SI,EQ,
Dairy Farm International,Consumer Staples,D01.SI,EQ,
Olam Group,Consumer Staples,VC2.SI,EQ,
Seatrium,Industrials,5E2.SI,EQ,
Singapore Post,Industrials,S08.SI,EQ,
Sembcorp Marine,Industrials,S51.SI,EQ,
Genting Plantations,Consumer Staples,P15.SI,EQ,
First Resources,Consumer Staples,EB5.SI,EQ,
Golden Agri-Resources,Consumer Staples,E5H.SI,EQ,
Bukit Sembawang Estates,Real Estate,B61.SI,EQ,
Hutchison Port Holdings,Industrials,NS8U.SI,EQ,
NetLink NBN Trust,Communication Services,CJLU.SI,EQ,
StarHub,Communication Services,CC3.SI,EQ,
Sheng Siong Group,Consumer Staples,OV8.SI,EQ,
Raffles Medical Group,Health Care,BSL.SI,EQ,
Riverstone Holdings,Health Care,AP4.SI,EQ,
Haw Par Corporation,Health Care,H02.SI,EQ,
ParkwayLife REIT,Real Estate,C2PU.SI,EQ,
CapitaLand Ascott Trust,Real Estate,HMN.SI,EQ,
Frasers Property,Real Estate,TQ5.SI,EQ,
Far East Hospitality Trust,Real Estate,Q5T.SI,EQ,
ESR-LOGOS REIT,Real Estate,J91U.SI,EQ,
iFAST Corporation,Technology,AIY.SI,EQ,
Aztech Global,Technology,8AZ.SI,EQ,
AEM Holdings,Technology,AWX.SI,EQ,
UMS Integration,Technology,558.SI,EQ,
Yanlord Land Group,Real Estate,Z25.SI,EQ,
Wing Tai Holdings,Real Estate,W05.SI,EQ,
