Company Name,Industry,Symbol,Series,ISIN Code
Delta Electronics Thailand,Technology,DELTA.BK,EQ,TH0528A10Z06
Advanced Info Service,Communication Services,ADVANC.BK,EQ,TH0268010Z03
PTT,Energy,PTT.BK,EQ,TH0646010Z00
Gulf Energy Development,Utilities,GULF.BK,EQ,THC903010005
Airports of Thailand,Industrials,AOT.BK,EQ,TH0765010Z08
PTT Exploration,Energy,PTTEP.BK,EQ,TH0355A10Z04
Krung Thai Bank,Financials,KTB.BK,EQ,TH0150010Z03
True Corporation,Communication Services,TRUE.BK,EQ,THB231010000
Kasikornbank,Financials,KBANK.BK,EQ,TH0016010009
Siam Commercial Bank,Financials,SCB.BK,EQ,THA790010005
CP All,Consumer Staples,CPALL.BK,EQ,TH0737010Y08
Bangkok Bank,Financials,BBL.BK,EQ,TH0001010006
Central Pattana,Real Estate,CPN.BK,EQ,TH0481B10Z00
Bangkok Dusit Medical,Health Care,BDMS.BK,EQ,TH0264A10Z04
Siam Cement,Materials,SCC.BK,EQ,TH0003010Z04
Bank of Ayudhya,Financials,BAY.BK,EQ,TH0023010000
TMBThanachart Bank,Financials,TTB.BK,EQ,TH0068010Z07
Thai Airways International,Industrials,THAI.BK,EQ,TH0245010002
PTT Global Chemical,Materials,PTTGC.BK,EQ,TH1074010006
CP Axtra,Consumer Staples,CPAXT.BK,EQ,THC450010002
Charoen Pokphand Foods,Consumer Staples,CPF.BK,EQ,TH0101A10Z01
PTT Oil and Retail,Energy,OR.BK,EQ,THA099010003
Bumrungrad Hospital,Health Care,BH.BK,EQ,TH0168A10Z01
Thai Life Insurance Public Company Limited,Financials,TLI.BK,EQ,THA848010007
Central Retail Corporation,Consumer Discretionary,CRC.BK,EQ,TH9597010007
Indorama Ventures,Materials,IVL.BK,EQ,TH1027010004
Minor International,Consumer Discretionary,MINT.BK,EQ,TH0128B10Z09
Global Power Synergy,Utilities,GPSC.BK,EQ,TH6488010005
Siam Cement Packaging,Materials,SCGP.BK,EQ,TH0098010Y05
Cal-Comp Electronics (Thailand) Public Company Limited,Technology,CCET.BK,EQ,TH0639010Z05
Thai Oil,Energy,TOP.BK,EQ,TH0796010005
Tisco Financial Group,Financials,TISCO.BK,EQ,TH0999010Z03
Bangkok Expressway,Industrials,BEM.BK,EQ,TH6999010007
Home Product Center,Consumer Discretionary,HMPRO.BK,EQ,TH0661010007
Asset World Corp Public Company Limited,Consumer Discretionary,AWC.BK,EQ,TH9436010002
Krungthai Card,Financials,KTC.BK,EQ,TH0689010Z00
Kiatnakin Phatra Bank,Financials,KKP.BK,EQ,TH0121010001
WHA Corporation,Real Estate,WHA.BK,EQ,TH3871010Z01
Ratch Group,Utilities,RATCH.BK,EQ,TH0637010Y00
Com7,Consumer Discretionary,COM7.BK,EQ,TH6678010005
Thai President Foods Public Company Limited,Consumer Staples,TFMAMA.BK,EQ,TH8223010001
Electricity Generating,Utilities,EGCO.BK,EQ,TH0465010005
Muangthai Capital,Financials,MTC.BK,EQ,TH6068010Y02
Thanachart Capital Public Company Limited,Financials,TCAP.BK,EQ,TH0083B10Z02
