Company Name,Industry,Symbol,Series,ISIN Code
Advanced Info Service,Communication Services,ADVANC.BK,EQ,TH0268010Z03
True Corporation,Communication Services,TRUE.BK,EQ,THB231010000
Jasmine Technology Solution Public Company Limited,Communication Services,JTS.BK,EQ,TH0921010003
Plan B Media Public Company Limited,Communication Services,PLANB.BK,EQ,TH6253010008
Thaicom Public Company Limited,Communication Services,THCOM.BK,EQ,TH0380010Y07
Jasmine International Public Company Limited,Communication Services,JAS.BK,EQ,TH0418G10Z03
Astra Enterprise Public Company Limited,Communication Services,ASTR.BK,EQ,TH0052B10Z09
The ONE Enterprise Public Company Limited,Communication Services,ONEE.BK,EQ,THA504010002
Forth Smart Service Public Company Limited,Communication Services,FSMART.BK,EQ,TH5883010008
Major Cineplex Group Public Company Limited,Communication Services,MAJOR.BK,EQ,TH0671010Z08
MCOT Public Company Limited,Communication Services,MCOT.BK,EQ,TH0803010006
BEC World Public Company Limited,Communication Services,BEC.BK,EQ,TH0592010Z06
Mono Next Public Company Limited,Communication Services,MONO.BK,EQ,TH4546010000
Amarin Corporations Public Company Limited,Communication Services,AMARIN.BK,EQ,TH0277010Z04
Interlink Telecom Public Company Limited,Communication Services,ITEL.BK,EQ,TH7414010Z06
GMM Grammy Public Company Limited,Communication Services,GRAMMY.BK,EQ,TH0473010Z09
Symphony Communication Public Company Limited,Communication Services,SYMC.BK,EQ,TH1044010003
Samart Telcoms Public Company Limited,Communication Services,SAMTEL.BK,EQ,TH0594010Z02
Workpoint Entertainment Public Company Limited,Communication Services,WORK.BK,EQ,TH0788010005
Information and Communication Networks Public Company Limited,Communication Services,ICN.BK,EQ,TH8190010000
MGI_MISS GRAND INTERNATIONAL,Communication Services,MGI.BK,EQ,THB530010008
ZALEKTA Public Company Limited,Communication Services,ZAA.BK,EQ,TH0672B10Z09
Asphere Innovations Public Company Limited,Communication Services,AS.BK,EQ,TH0963A10Z08
Grand Prix International Public Company Limited,Communication Services,GPI.BK,EQ,TH8316010009
LTMH Public Company Limited,Communication Services,LTMH.BK,EQ,THC857010001
