Company Name,Industry,Symbol,Series,ISIN Code
Central Retail Corporation,Consumer Discretionary,CRC.BK,EQ,TH9597010007
Minor International,Consumer Discretionary,MINT.BK,EQ,TH0128B10Z09
Home Product Center,Consumer Discretionary,HMPRO.BK,EQ,TH0661010007
Asset World Corp Public Company Limited,Consumer Discretionary,AWC.BK,EQ,TH9436010002
Com7,Consumer Discretionary,COM7.BK,EQ,TH6678010005
Central Plaza Hotel Public Company Limited,Consumer Discretionary,CENTEL.BK,EQ,TH0176B10Z00
Siam Global House Public Company Limited,Consumer Discretionary,GLOBAL.BK,EQ,TH0991010008
MK Restaurant Group Public Company Limited,Consumer Discretionary,M.BK,EQ,TH4577010002
Aurora Design Public Company Limited,Consumer Discretionary,AURA.BK,EQ,THB100010008
Thai Stanley Electric Public Company Limited,Consumer Discretionary,STANLY.BK,EQ,TH0233010Z07
The Erawan Group Public Company Limited,Consumer Discretionary,ERW.BK,EQ,TH0120010Y07
Jaymart Group Holdings Public Company Limited,Consumer Discretionary,JMART.BK,EQ,TH1007010008
I.C.C. International Public Company Limited,Consumer Discretionary,ICC.BK,EQ,TH0046010Z03
PTG Energy Public Company Limited,Consumer Discretionary,PTG.BK,EQ,TH4547010009
Moshi Moshi Retail Corporation Public Company Limited,Consumer Discretionary,MOSHI.BK,EQ,THB131010001
Dohome Public Company Limited,Consumer Discretionary,DOHOME.BK,EQ,TH9301010004
MC Group Public Company Limited,Consumer Discretionary,MC.BK,EQ,TH4625010004
Dusit Thani Public Company Limited,Consumer Discretionary,DUSIT.BK,EQ,TH0007A10Z06
Millennium Group Corporation (Asia) Public Company Limited,Consumer Discretionary,MGC.BK,EQ,THB337010003
Somboon Advance Technology Public Company Limited,Consumer Discretionary,SAT.BK,EQ,TH0823010002
Index Living Mall Public Company Limited,Consumer Discretionary,ILM.BK,EQ,TH9249010009
Kang Yong Electric Public Company Limited,Consumer Discretionary,KYE.BK,EQ,TH0386010Z03
The Klinique Medical Clinic Public Company Limited,Consumer Discretionary,KLINIQ.BK,EQ,THB058010000
Shangri-La Hotel Public Company Limited,Consumer Discretionary,SHANG.BK,EQ,TH0203010Z00
S Hotels and Resorts Public Company Limited,Consumer Discretionary,SHR.BK,EQ,TH9460010001
Sabina Public Company Limited,Consumer Discretionary,SABINA.BK,EQ,TH0976010Z01
BG Container Glass Public Company Limited,Consumer Discretionary,BGC.BK,EQ,TH8777010001
Sahamitr Pressure Container Public Company Limited,Consumer Discretionary,SMPC.BK,EQ,TH0273010Z03
AAPICO Hitech Public Company Limited,Consumer Discretionary,AH.BK,EQ,TH0688A10Z02
S&P Syndicate Public Company Limited,Consumer Discretionary,SNP.BK,EQ,TH0146B10Z07
Super Turtle Public Company Limited,Consumer Discretionary,TURTLE.BK,EQ,TH1042010005
P.C.S. Machine Group Holding Public Company Limited,Consumer Discretionary,PCSGH.BK,EQ,TH5306010Z06
Thai Metal Drum Manufacturing Public Company Limited,Consumer Discretionary,TMD.BK,EQ,TH0165010Z01
OHTL Public Company Limited,Consumer Discretionary,OHTL.BK,EQ,TH0115A10Z05
Siam Wellness Group Public Company Limited,Consumer Discretionary,SPA.BK,EQ,TH5972010000
Thai Steel Cable Public Company Limited,Consumer Discretionary,TSC.BK,EQ,TH0847010004
After You Public Company Limited,Consumer Discretionary,AU.BK,EQ,TH7650010005
Singha Estate Public Company Limited,Consumer Discretionary,S.BK,EQ,TH0940010Y08
Srithai Superware Public Company Limited,Consumer Discretionary,SITHAI.BK,EQ,TH0266A10Z02
Thai Plaspac Public Company Limited,Consumer Discretionary,TPAC.BK,EQ,TH0877010007
Hwa Fong Rubber (Thailand) Public Company Limited,Consumer Discretionary,HFT.BK,EQ,TH0755010Z09
Rabbit Holdings Public Company Limited Cum Pfd Registered Shs,Consumer Discretionary,RABBIT.P.BK,EQ,TH0329B20Z04
Bound and Beyond Public Company Limited,Consumer Discretionary,BEYOND.BK,EQ,TH0088010002
Toray Textiles (Thailand) Public Company Limited,Consumer Discretionary,TTT.BK,EQ,TH9264010009
Thai Rung Union Car Public Company Limited,Consumer Discretionary,TRU.BK,EQ,TH0454A10Z04
Crown Seal Public Company Limited,Consumer Discretionary,CSC.BK,EQ,TH0026010007
Fortune Parts Industry Public Company Limited,Consumer Discretionary,FPI.BK,EQ,TH3786010Z01
Inoue Rubber (Thailand) Public Company Limited,Consumer Discretionary,IRC.BK,EQ,TH0437010Z04
Union Auction Public Company Limited,Consumer Discretionary,AUCT.BK,EQ,TH4709010003
Starflex Public Company Limited,Consumer Discretionary,SFLEX.BK,EQ,TH9554010Z07
Maguro Group Public Company Limited,Consumer Discretionary,MAGURO.BK,EQ,THC136010004
Thai Wacoal Public Company Limited,Consumer Discretionary,WACOAL.BK,EQ,TH0069010Z05
Thantawan Industry Public Company Limited,Consumer Discretionary,THIP.BK,EQ,TH0449010Z09
Asia Hotel Public Company Limited,Consumer Discretionary,ASIA.BK,EQ,TH0156010Z00
A.J. Plast Public Company Limited,Consumer Discretionary,AJ.BK,EQ,TH0214010Z07
ZEN Corporation Group Public Company Limited,Consumer Discretionary,ZEN.BK,EQ,TH8962010006
EURO_EURO CREATIONS,Consumer Discretionary,EURO.BK,EQ,THB876010000
Yuasa Battery (Thailand) Public Company Limited,Consumer Discretionary,YUASA.BK,EQ,TH0679010Z01
Modernform Group Public Company Limited,Consumer Discretionary,MODERN.BK,EQ,TH0291B10Z00
City Sports and Recreation Public Company Limited,Consumer Discretionary,CSR.BK,EQ,TH0151010004
Thai Textile Industry Public Company Limited,Consumer Discretionary,TTI.BK,EQ,TH0103010003
Goodyear (Thailand) Public Company Limited,Consumer Discretionary,GYT.BK,EQ,TH0034010Z09
President Automobile Industries Public Company Limited,Consumer Discretionary,PACO.BK,EQ,THA219010008
Panjawattana Plastic Public Company Limited,Consumer Discretionary,PJW.BK,EQ,TH1083010005
Jubilee Enterprise Public Company Limited,Consumer Discretionary,JUBILE.BK,EQ,TH1022010009
TPBI Public Company Limited,Consumer Discretionary,TPBI.BK,EQ,TH7114010005
Buakaew Income,Consumer Discretionary,BKD.BK,EQ,TH4748010006
Tanachira Retail Corporation Public Company Limited,Consumer Discretionary,TAN.BK,EQ,THB668010002
Big Camera Corporation Public Company Limited,Consumer Discretionary,BIG.BK,EQ,TH0234B10Z00
Beauty Community Public Company Limited,Consumer Discretionary,BEAUTY.BK,EQ,TH4100010Z04
TPCS Public Company Limited,Consumer Discretionary,TPCS.BK,EQ,TH0090010Z01
Prodigy Public Company Limited,Consumer Discretionary,PDG.BK,EQ,TH5420010008
N.D. Rubber Public Company Limited,Consumer Discretionary,NDR.BK,EQ,TH6148010007
Warrix Sport Public Company Limited,Consumer Discretionary,WARRIX.BK,EQ,THB127010007
Interhides Public Company Limited,Consumer Discretionary,IHL.BK,EQ,TH0886010Z02
Mud & Hound Public Company Limited,Consumer Discretionary,MUD.BK,EQ,TH7843010003
Mitsib Leasing Public Company Limited,Consumer Discretionary,MITSIB.BK,EQ,TH9163010001
Nation Group (Thailand) Public Company Limited,Consumer Discretionary,NATION.BK,EQ,TH0113A10Z07
Matching Maximize Solution Public Co. Ltd.,Consumer Discretionary,MATCH.BK,EQ,TH0703010Y00
Make To Win Holding Public Company Limited,Consumer Discretionary,MTW.BK,EQ,THB115010Z08
SE-Education Public Co. Ltd.,Consumer Discretionary,SE-ED.BK,EQ,TH0253010Z05
Pranda Jewelry Public Co. Ltd.,Consumer Discretionary,PDJ.BK,EQ,TH0192010Z05
Matichon Public Co. Ltd.,Consumer Discretionary,MATI.BK,EQ,TH0170A10Z07
Sub Sri Thai Public Co. Ltd.,Consumer Discretionary,SST.BK,EQ,TH0092010Y08
