Company Name,Industry,Symbol,Series,ISIN Code
CP All,Consumer Staples,CPALL.BK,EQ,TH0737010Y08
CP Axtra,Consumer Staples,CPAXT.BK,EQ,THC450010002
Charoen Pokphand Foods,Consumer Staples,CPF.BK,EQ,TH0101A10Z01
Thai President Foods Public Company Limited,Consumer Staples,TFMAMA.BK,EQ,TH8223010001
Thaifoods Group Public Company Limited,Consumer Staples,TFG.BK,EQ,TH6717010008
i-Tail Corporation Public Company Limited,Consumer Staples,ITC.BK,EQ,THB056010002
Osotspa,Consumer Staples,OSP.BK,EQ,TH8752010000
Thai Union Group,Consumer Staples,TU.BK,EQ,TH0450010Y08
Carabao Group,Consumer Staples,CBG.BK,EQ,TH6066010005
Betagro,Consumer Staples,BTG.BK,EQ,TH0612010007
Thai Vegetable Oil Public Company Limited,Consumer Staples,TVO.BK,EQ,TH0209010Z07
President Bakery Public Company Limited,Consumer Staples,PB.BK,EQ,TH0687010Z04
Saha Pathanapibul Public Company Limited,Consumer Staples,SPC.BK,EQ,TH0035010Z06
Ichitan Group Public Company Limited,Consumer Staples,ICHI.BK,EQ,TH5048010000
Thaitheparos Public Company Limited,Consumer Staples,SAUCE.BK,EQ,TH0460010Z06
Univanich Palm Oil Public Company Limited,Consumer Staples,UVAN.BK,EQ,TH0748010Z04
GFPT Public Company Limited,Consumer Staples,GFPT.BK,EQ,TH0297010Z02
Karmarts Public Company Limited,Consumer Staples,KAMART.BK,EQ,TH0467A10Z09
Sappe,Consumer Staples,SAPPE.BK,EQ,TH5614010004
SISB Public Company Limited,Consumer Staples,SISB.BK,EQ,TH8859010002
R&B Food Supply Public Company Limited,Consumer Staples,RBF.BK,EQ,TH9451010002
Thai Coconut Public Company Limited,Consumer Staples,COCOCO.BK,EQ,THB540010006
Asian Alliance International Public Company Limited,Consumer Staples,AAI.BK,EQ,THA984010001
Exotic Food Public Company Limited,Consumer Staples,XO.BK,EQ,TH5778010006
Kaset Thai International Sugar Corporation Public Company Limited,Consumer Staples,KTIS.BK,EQ,TH5288010009
PRG Corporation Public Company Limited,Consumer Staples,PRG.BK,EQ,TH0366010Z05
NSL Foods Public Company Limited,Consumer Staples,NSL.BK,EQ,THA300010008
Thai Union Feedmill Public Company Limited,Consumer Staples,TFM.BK,EQ,THA506010Z09
Khon Kaen Sugar Industry Public Company Limited,Consumer Staples,KSL.BK,EQ,TH0828A10Z03
Haad Thip Public Company Limited,Consumer Staples,HTC.BK,EQ,TH0140B10Z03
Petchsrivichai Enterprise Public Company Limited,Consumer Staples,PCE.BK,EQ,THC273010007
Srinanaporn Marketing Public Company Limited,Consumer Staples,SNNP.BK,EQ,THA385010006
Premier Marketing Public Company Limited,Consumer Staples,PM.BK,EQ,TH0977010Z09
KCG Corporation Public Company Limited,Consumer Staples,KCG.BK,EQ,THB479010001
Asian Sea Corporation Public Company Limited,Consumer Staples,ASIAN.BK,EQ,TH0405010Y02
