Company Name,Industry,Symbol,Series,ISIN Code
Krung Thai Bank,Financials,KTB.BK,EQ,TH0150010Z03
Kasikornbank,Financials,KBANK.BK,EQ,TH0016010009
Siam Commercial Bank,Financials,SCB.BK,EQ,THA790010005
Bangkok Bank,Financials,BBL.BK,EQ,TH0001010006
Bank of Ayudhya,Financials,BAY.BK,EQ,TH0023010000
TMBThanachart Bank,Financials,TTB.BK,EQ,TH0068010Z07
Thai Life Insurance Public Company Limited,Financials,TLI.BK,EQ,THA848010007
Tisco Financial Group,Financials,TISCO.BK,EQ,TH0999010Z03
Krungthai Card,Financials,KTC.BK,EQ,TH0689010Z00
Kiatnakin Phatra Bank,Financials,KKP.BK,EQ,TH0121010001
Muangthai Capital,Financials,MTC.BK,EQ,TH6068010Y02
Thanachart Capital Public Company Limited,Financials,TCAP.BK,EQ,TH0083B10Z02
Tidlor Holdings Public Company Limited,Financials,TIDLOR.BK,EQ,THC997010002
Bangkok Life Assurance Public Company Limited,Financials,BLA.BK,EQ,TH1016010007
BKI Holdings Public Company Limited,Financials,BKIH.BK,EQ,THC135010005
Srisawad Corporation,Financials,SAWAD.BK,EQ,TH5456010Y00
LH Financial Group Public Company Limited,Financials,LHFG.BK,EQ,TH1019010Y00
AEON Thana Sinsap (Thailand) Public Company Limited,Financials,AEONTS.BK,EQ,TH0664010Z03
Thai Credit Bank Public Company Limited,Financials,CREDIT.BK,EQ,THB877010009
Bangkok Commercial Asset Management Public Company Limited,Financials,BAM.BK,EQ,TH9479010000
JMT Network Services Public Company Limited,Financials,JMT.BK,EQ,TH3925010Z05
Allianz Ayudhya Capital Public Company Limited,Financials,AYUD.BK,EQ,TH0093A10Y02
Dhipaya Group Holdings Public Company Limited,Financials,TIPH.BK,EQ,THA458010008
Srisawad Capital 1969 Public Company Limited,Financials,SCAP.BK,EQ,TH0076A10Z02
Ratchthani Leasing Public Company Limited,Financials,THANI.BK,EQ,TH0697010Z03
Muang Thai Insurance Public Company Limited,Financials,MTI.BK,EQ,TH0985010Z02
SG Capital Public Company Limited,Financials,SGC.BK,EQ,THB066010000
KGI Securities (Thailand) Public Company Limited,Financials,KGI.BK,EQ,TH0171B10Z05
TQM Alpha Public Company Limited,Financials,TQM.BK,EQ,TH8878010Z01
Thai Group Holdings Public Company Limited,Financials,TGH.BK,EQ,TH9233010Z08
Singer Thailand Public Company Limited,Financials,SINGER.BK,EQ,TH0073A10Z05
AIRA Capital Public Company Limited,Financials,AIRA.BK,EQ,TH5434010002
Asia Sermkij Leasing Public Company Limited,Financials,ASK.BK,EQ,TH0816010001
Saksiam Leasing Public Company Limited,Financials,SAK.BK,EQ,THA054010006
XSpring Capital Public Company Limited,Financials,XPG.BK,EQ,TH0472B10Z01
Asia Plus Group Holdings Public Company Limited,Financials,ASP.BK,EQ,TH0137A10Y00
Maybank Securities (Thailand) Public Company Limited,Financials,MST.BK,EQ,TH0744010Y04
Next Capital Public Company Limited,Financials,NCAP.BK,EQ,TH9992010008
Heng Leasing and Capital Public Company Limited,Financials,HENG.BK,EQ,THA490010008
Super Energy Power Plant Infrastructure Fund,Financials,SUPEREIF.BK,EQ,TH9294010003
Thaivivat Holdings Public Company Limited,Financials,TVH.BK,EQ,THB447010000
Beyond Securities Public Company Limited,Financials,BYD.BK,EQ,TH0658B10Z07
MFC Asset Management Public Company Limited,Financials,MFC.BK,EQ,TH0237010Z08
Country Group Holdings Public Company Limited,Financials,CGH.BK,EQ,TH5982010008
Asset Five Group Public Co. Ltd.,Financials,A5.BK,EQ,TH0746010Z08
Thitikorn Public Company Limited,Financials,TK.BK,EQ,TH0736010008
Knight Club Capital Holding Public Company Limited,Financials,KCC.BK,EQ,THC074010008
The Brooker Group Public Company Limited,Financials,BTC.BK,EQ,TH0634B10Z06
Mida Leasing Public Co Ltd,Financials,ML.BK,EQ,TH0785A10Z04
Thai Reinsurance Public Company Limited,Financials,THRE.BK,EQ,TH0322A10Z04
Chayo Group Public Company Limited,Financials,CHAYO.BK,EQ,TH8463010000
Finansia X Public Company Limited,Financials,FSX.BK,EQ,THB498010008
TQR Public Company Limited,Financials,TQR.BK,EQ,THA169010008
Eastern Commercial Leasing Public Company Limited,Financials,EAST.BK,EQ,TH0767010Z04
Star Money Public Company Limited,Financials,STARM.BK,EQ,THB123010001
Chase Asia Public Company Limited,Financials,CHASE.BK,EQ,THB229010004
Micro Leasing Public Company Limited,Financials,MICRO.BK,EQ,TH9943010008
IFS Capital (Thailand) Public Company Limited,Financials,IFS.BK,EQ,TH1036010003
Mida Assets Public Co. Ltd.,Financials,MIDA.BK,EQ,TH0710010Z04
Amanah Leasing Public Co. Ltd.,Financials,AMANAH.BK,EQ,TH0665A10Y00
Phatra Leasing Public Co. Ltd.,Financials,PL.BK,EQ,TH0599010Z01
M.K. Real Estate Development Public Co. Ltd.,Financials,MK.BK,EQ,TH0182A10Z03
Blueventure Group Public Company Limited,Financials,BVG.BK,EQ,THB222010001
Indara Insurance Public Co. Ltd.,Financials,INSURE.BK,EQ,TH0217010006
Bangkok Union Insurance Public Co. Ltd.,Financials,BUI.BK,EQ,TH0139010001
Thaire Life Assurance Public Company Ltd,Financials,THREL.BK,EQ,TH4846010007
Globlex Holding Management Public Co. Ltd.,Financials,GBX.BK,EQ,TH0798010003
Raimon Land Public Co Ltd,Financials,RML.BK,EQ,TH0364010Y01
Navakij Insurance Public Co. Ltd.,Financials,NKI.BK,EQ,TH0199010008
AIRA Factoring Public Co. Ltd.,Financials,AF.BK,EQ,TH0787010Z02
Trinity Watthana Public Co. Ltd.,Financials,TNITY.BK,EQ,TH0695010007
Property Perfect Public Co. Ltd.,Financials,PF.BK,EQ,TH0352A10Z07
NC Housing Public Co. Ltd.,Financials,NCH.BK,EQ,TH0769010Z00
Tong Hua Holding Public Co. Ltd.,Financials,TH.BK,EQ,TH0236A10Y00
Villa Kunalai Public Co Ltd,Financials,KUN.BK,EQ,TH9518010003
JCK International Public Co. Ltd.,Financials,JCK.BK,EQ,TH0235010Y03
Thanasiri Group PCL,Financials,THANA.BK,EQ,TH1025010006
CHAOPRAYAMAHANAKORN PUBLIC COMPANY LIMITED,Financials,CMC.BK,EQ,TH8825010003
Charn Issara Development Public Co. Ltd.,Financials,CI.BK,EQ,TH0696010Z05
Lease IT Public Co. Ltd.,Financials,LIT.BK,EQ,TH5252010001
Everland Public Co. Ltd.,Financials,EVER.BK,EQ,TH0391010004
Chu Kai Public Co. Ltd.,Financials,CRANE.BK,EQ,TH0970010003
Arinsiri Land Public Company Ltd,Financials,ARIN.BK,EQ,TH9133010008
DHouse Pattana Public Co Limited,Financials,DHOUSE.BK,EQ,TH9971010003
Major Development Public Co. Ltd.,Financials,MJD.BK,EQ,TH0960010005
FNS Holdings Public Company Limited,Financials,FNS.BK,EQ,TH0686010Z06
Richy Place 2002 Public Co. Ltd.,Financials,RICHY.BK,EQ,TH5712010005
Jakpaisan Estate Public Co. Ltd.,Financials,JAK.BK,EQ,THA122010004
Chewathai Public Company Ltd,Financials,CHEWA.BK,EQ,TH7153010007
Charan Insurance Public Co. Ltd.,Financials,CHARAN.BK,EQ,TH0321010009
Sahakol Equipment Public Company Ltd,Financials,SQ.BK,EQ,TH7539010002
Bless Asset Group Public Company Limited,Financials,BLESS.BK,EQ,THA864010006
Wyncoast Industrial Park Public Co. Ltd.,Financials,WIN.BK,EQ,TH0188010Y04
Sivarom Real Estate Public Company Limited,Financials,SVR.BK,EQ,THB178010005
G Capital Public Co. Ltd.,Financials,GCAP.BK,EQ,TH5035010005
ASN Broker Public Company Limited,Financials,ASN.BK,EQ,TH7188010006
Preecha Group Public Co. Ltd.,Financials,PRECHA.BK,EQ,TH0548A10Z02
Thai Enger Holding PCL,Financials,TIGER.BK,EQ,TH8787010009
Thai Setakij Insurance Public Co. Ltd.,Financials,TSI.BK,EQ,TH0220A10Z07
K.C. Property Public Co. Ltd.,Financials,KC.BK,EQ,TH0446B10Z04
Quantum D C Public Company Limited,Financials,QDC.BK,EQ,TH3747A10Z05
Luxury Real Estate Investment Fund Units,Financials,LUXF.BK,EQ,TH0982010009
Bangkok Asset Intergroup Public Co. Ltd.,Financials,BKA.BK,EQ,THC670010006
Ngernturbo Public Company Limited,Financials,TURBO.BK,EQ,THD295010009
Khonburi Sugar Power Plant Infrastructure Fund,Financials,KBSPIF.BK,EQ,TH9914010003
MMM Capital Public Company Limited,Financials,MMM.BK,EQ,THB670010Z02
