Company Name,Industry,Symbol,Series,ISIN Code
Bangkok Dusit Medical,Health Care,BDMS.BK,EQ,TH0264A10Z04
Bumrungrad Hospital,Health Care,BH.BK,EQ,TH0168A10Z01
Mega Lifesciences Public Company Limited,Health Care,MEGA.BK,EQ,TH4984010009
Bangkok Chain Hospital,Health Care,BCH.BK,EQ,TH0808010Y07
Ramkhamhaeng Hospital Public Company Limited,Health Care,RAM.BK,EQ,TH0259A10Z01
Vibhavadi Medical Center Public Company Limited,Health Care,VIBHA.BK,EQ,TH0295A10Z07
Chularat Hospital,Health Care,CHG.BK,EQ,TH4539010Z03
Sikarin Public Company Limited,Health Care,SKR.BK,EQ,TH0105A10Z07
Thonburi Healthcare Group Public Company Limited,Health Care,THG.BK,EQ,TH7923010006
Praram 9 Hospital Public Co Limited,Health Care,PR9.BK,EQ,TH8794010000
MEDEZE_MEDEZE GROUP,Health Care,MEDEZE.BK,EQ,THC430010007
Principal Capital Public Company Limited,Health Care,PRINC.BK,EQ,TH0862010Y04
Thai Nakarin Hospital Public Company Limited,Health Care,TNH.BK,EQ,TH0883010009
Chiang Mai Ram Medical Business Public Company Limited,Health Care,CMR.BK,EQ,TH0432010Z05
Srivichaivejvivat Public Company Limited,Health Care,VIH.BK,EQ,TH3394010005
TMAN_T.MAN PHARMACEUTICAL,Health Care,TMAN.BK,EQ,THC209010006
Wattanapat Hospital Trang Public Company Limited,Health Care,WPH.BK,EQ,TH8220010004
Ekachai Medical Care Public Company Limited,Health Care,EKH.BK,EQ,TH7344010007
Rajthanee Hospital Public Company Limited,Health Care,RJH.BK,EQ,TH7398010002
Business Alignment Public Company Limited,Health Care,BIZ.BK,EQ,TH7349010002
Thai Optical Group Public Company Limited,Health Care,TOG.BK,EQ,TH0899010001
Patrangsit Healthcare Group Public Company Limited,Health Care,PHG.BK,EQ,THB442010005
Mahachai Hospital Public Co. Ltd.,Health Care,M-CHAI.BK,EQ,TH0581010Z09
Nonthavej Hospital Public Company Limited,Health Care,NTV.BK,EQ,TH0421010Z08
Inter Pharma Public Company Limited,Health Care,IP.BK,EQ,TH9474010005
Ratchaphruek Hospital Public Company Limited,Health Care,RPH.BK,EQ,TH7757010007
Ladprao General Hospital Public Company Limited,Health Care,LPH.BK,EQ,TH6733010008
Master Style Public Company Limited,Health Care,MASTER.BK,EQ,THB207010000
NAM_NAMWIWAT MEDICAL CORPORATIO,Health Care,NAM.BK,EQ,THB663010007
Nakornthon Hospital Public Company Limited,Health Care,NKT.BK,EQ,THC538010008
Aikchol Hospital Public Company Limited,Health Care,AHC.BK,EQ,TH0281010Z06
SAFE_SAFE FERTILITY GROUP,Health Care,SAFE.BK,EQ,THB695010009
Thonburi Medical Centre Public Company Limited,Health Care,KDH.BK,EQ,TH0162010Y09
Healthlead Public Company Limited,Health Care,HL.BK,EQ,THA598010009
TRP_AESTHETIC CONNECT,Health Care,TRP.BK,EQ,THB640010005
Bangkok Genomics Innovation Public Company Limited,Health Care,BKGI.BK,EQ,THB972010003
Wattana Karnpaet Public Company Limited,Health Care,NEW.BK,EQ,TH0575010002
Dental Corporation Public Company Limited,Health Care,D.BK,EQ,TH7855010008
Inter Medical Care & Lab Hospital PCL,Health Care,IMH.BK,EQ,TH9550010002
Bioscience Animal Health Public Company Limited,Health Care,BIS.BK,EQ,THA776010003
Genesis Fertility Center Public Company Limited,Health Care,GFC.BK,EQ,THB552010001
Nutrition Profess Public Company Limited,Health Care,NUT.BK,EQ,THD068010004
KT Medical Service Public Company Limited,Health Care,KTMS.BK,EQ,THB045010006
Nova Organic Public Company Limited,Health Care,NV.BK,EQ,THA624010007
Inspire IVF Public Company Limited,Health Care,IVF.BK,EQ,THC574010003
LDC Dental Public Company Ltd,Health Care,LDC.BK,EQ,TH5811010005
Mukdahan International Hospital Public Company Limited,Health Care,HANN.BK,EQ,THC925010009
