Company Name,Industry,Symbol,Series,ISIN Code
Airports of Thailand,Industrials,AOT.BK,EQ,TH0765010Z08
Thai Airways International,Industrials,THAI.BK,EQ,TH0245010002
Bangkok Expressway,Industrials,BEM.BK,EQ,TH6999010007
Berli Jucker,Industrials,BJC.BK,EQ,TH0002010Z06
Bangkok Airways Public Company Limited,Industrials,BA.BK,EQ,TH4403010002
BTS Group,Industrials,BTS.BK,EQ,TH0221B10Z05
CH. Karnchang Public Company Limited,Industrials,CK.BK,EQ,TH0530010Z06
Regional Container Lines Public Company Limited,Industrials,RCL.BK,EQ,TH0133010Z09
MBK Public Company Limited,Industrials,MBK.BK,EQ,TH0480B10Z01
Stecon Group Public Company Limited,Industrials,STECON.BK,EQ,THC381010006
VGI Public Company Limited,Industrials,VGI.BK,EQ,TH3740010Y09
Asia Aviation Public Company Limited,Industrials,AAV.BK,EQ,TH3437010004
Forth Corporation Public Company Limited,Industrials,FORTH.BK,EQ,TH0920010Z09
Don Muang Tollway Public Company Limited,Industrials,DMT.BK,EQ,TH1054010000
SCGJWD Logistics Public Company Limited,Industrials,SJWD.BK,EQ,TH6718010007
Dynasty Ceramic Public Company Limited,Industrials,DCC.BK,EQ,TH0278A10Z08
PSG Corporation Public Company Limited,Industrials,PSGC.BK,EQ,TH0922D10Z05
Precious Shipping Public Company Limited,Industrials,PSL.BK,EQ,TH0363010Z02
STP&I Public Company Limited,Industrials,STPI.BK,EQ,TH0566B10Z08
Thoresen Thai Agencies Public Company Limited,Industrials,TTA.BK,EQ,TH0535010Z05
Saha-Union Public Company Limited,Industrials,SUC.BK,EQ,TH0010010005
Samart Aviation Solutions Public Company Limited,Industrials,SAV.BK,EQ,THB490010006
Nex Point Public Company Limited,Industrials,NEX.BK,EQ,TH0825010Y01
Bangkok Aviation Fuel Services Public Company Limited,Industrials,BAFS.BK,EQ,TH0669010Z02
ANI_ASIA NETWORK INTERNATIONAL,Industrials,ANI.BK,EQ,THB627010002
Sriracha Construction Public Company Limited,Industrials,SRICHA.BK,EQ,TH3443010006
Namyong Terminal Public Company Limited,Industrials,NYT.BK,EQ,TH5008010Z08
Diamond Building Products Public Company Limited,Industrials,DRT.BK,EQ,TH0872A10Z08
Business Online Public Company Limited,Industrials,BOL.BK,EQ,TH0771010Z06
King Gen Public Company Limited,Industrials,KGEN.BK,EQ,TH1021010Z05
Bluebik Group Public Company Limited,Industrials,BBIK.BK,EQ,THA448010001
T.K.S. Technologies Public Company Limited,Industrials,TKS.BK,EQ,TH0749A10Z09
Tirathai Public Company Limited,Industrials,TRT.BK,EQ,TH0909010Z02
Precise Corporation Public Company Limited,Industrials,PCC.BK,EQ,THB032010001
Loxley Public Company Limited,Industrials,LOXLEY.BK,EQ,TH0376010Z04
Asefa Public Company Limited,Industrials,ASEFA.BK,EQ,TH6650010007
Polynet Public Company Limited,Industrials,POLY.BK,EQ,THB087010005
Unique Engineering and Construction Public Company Limited,Industrials,UNIQ.BK,EQ,TH0933010009
Triple i Logistics Public Company Limited,Industrials,III.BK,EQ,TH8127010008
Turnkey Communication Services Public Company Limited,Industrials,TKC.BK,EQ,THA642010005
Charoong Thai Wire and Cable Public Company Limited,Industrials,CTW.BK,EQ,TH0012010Z05
Syntec Construction Public Company Limited,Industrials,SYNTEC.BK,EQ,TH0357010Z04
Rabbit Holdings Public Company Limited,Industrials,RABBIT.BK,EQ,TH0329D10Z04
Pylon Public Company Limited,Industrials,PYLON.BK,EQ,TH0885010Z04
TEAM Consulting Engineering and Management Public Company Limited,Industrials,TEAMG.BK,EQ,TH8601010003
Seafco Public Company Limited,Industrials,SEAFCO.BK,EQ,TH0780010Z07
Siamrajathanee Public Company Limited,Industrials,SO.BK,EQ,TH9544010001
Demco Public Company Limited,Industrials,DEMCO.BK,EQ,TH0930010002
PRTR Group Public Company Limited,Industrials,PRTR.BK,EQ,THB230010001
Asian Insulators Public Company Limited,Industrials,AI.BK,EQ,TH0790B10Z06
Ama Marine Public Company Limited,Industrials,AMA.BK,EQ,TH7631010009
Better World Green Public Company Limited,Industrials,BWG.BK,EQ,TH0954010Z08
Italian-Thai Development Public Company Limited,Industrials,ITD.BK,EQ,TH0438010Z02
Christiani & Nielsen (Thai) Public Company Limited,Industrials,CNT.BK,EQ,TH0216010Z02
Wice Logistics Public Company Limited,Industrials,WICE.BK,EQ,TH6651010006
QTC Energy Public Company Limited,Industrials,QTC.BK,EQ,TH1067010005
Firetrade Engineering Public Company Limited,Industrials,FTE.BK,EQ,TH8103010006
Synergetic Auto Performance Public Company Limited,Industrials,ASAP.BK,EQ,TH7851010002
Arrow Syndicate Public Company Limited,Industrials,ARROW.BK,EQ,TH4151010006
Kijcharoen Engineering Electric Public Company Limited,Industrials,KJL.BK,EQ,THB057010001
Sky Tower Public Co Limited,Industrials,STOWER.BK,EQ,TH3404A10Z09
Ekarat Engineering Public Company Limited,Industrials,AKR.BK,EQ,TH0914010Z02
J.R.W. Utility Public Company Limited,Industrials,JR.BK,EQ,THA040010003
BJC Heavy Industries Public Company Limited,Industrials,BJCHI.BK,EQ,TH4920A10Z02
Harn Engineering Solutions Public Company Limited,Industrials,HARN.BK,EQ,TH6050010Y00
Jenkongklai Public Company Limited,Industrials,JPARK.BK,EQ,THB622010007
Krungthai Car Rent and Lease Public Company Limited,Industrials,KCAR.BK,EQ,TH0869010007
Sonic Interfreight Public Company Limited,Industrials,SONIC.BK,EQ,TH8743010002
Halcyon Technology Public Company Limited,Industrials,HTECH.BK,EQ,TH1003010002
Thai Parcels Public Company Limited,Industrials,TPL.BK,EQ,THB419010004
IROYAL_INTERROYAL ENGINEERING,Industrials,IROYAL.BK,EQ,THC242010005
Pre-Built Public Company Limited,Industrials,PREB.BK,EQ,TH0871010003
Stonehenge Inter Public Company Limited,Industrials,STI.BK,EQ,TH8882010003
Kiattana Transport Public Company Limited,Industrials,KIAT.BK,EQ,TH1018010Z01
Eastern Power Group Public Company Limited,Industrials,EP.BK,EQ,TH0344B10Z07
Asia Precision Public Company Limited,Industrials,APCS.BK,EQ,TH1071010009
Fine Metal Technologies Public Company Limited,Industrials,FMT.BK,EQ,TH0609010002
V.L. Enterprise Public Company Limited,Industrials,VL.BK,EQ,TH9091010008
Sino Logistics Corporation Public Company Limited,Industrials,SINO.BK,EQ,THB461010001
CPT Drives and Power Public Company Limited,Industrials,CPT.BK,EQ,TH8356010000
TRC Construction Public Company Limited,Industrials,TRC.BK,EQ,TH0890B10Z05
Sun Vending Technology Public Company Limited,Industrials,SVT.BK,EQ,THA468010006
Eureka Design Public Co. Ltd.,Industrials,UREKA.BK,EQ,TH4338010Z00
Kumwell Corporation Public Company Limited,Industrials,KUMWEL.BK,EQ,TH9320010001
Function International Public Company Limited,Industrials,FTI.BK,EQ,THA804010009
Pioneer Motor Public Company Limited,Industrials,PIMO.BK,EQ,TH6689010002
Civil Engineering Public Company Limited,Industrials,CIVIL.BK,EQ,THA647010000
WIIK Public Co. Ltd.,Industrials,WIIK.BK,EQ,TH0549010Y07
Union Mosaic Industry Public Co. Ltd.,Industrials,UMI.BK,EQ,TH0160010Z02
SCI Electric Public Co. Ltd.,Industrials,SCI.BK,EQ,TH6809010007
Bangkok Sheet Metal Public Co. Ltd.,Industrials,BM.BK,EQ,TH7207010003
Advanced Connection Corporation Public Company Limited,Industrials,ACC.BK,EQ,TH0342010Y07
Rich Sport Public Company Limited,Industrials,RSP.BK,EQ,TH8289010002
MPJ Logistics Public Company Limited,Industrials,MPJ.BK,EQ,THC487010009
AppliCad Public Co. Ltd.,Industrials,APP.BK,EQ,TH9527010002
Alla Public Company Limited,Industrials,ALLA.BK,EQ,TH7550010006
Filter Vision Public Company Ltd,Industrials,FVC.BK,EQ,TH4919010009
Getabec Public Company Ltd,Industrials,GTB.BK,EQ,TH7131010004
Light Up Total Solution Company Limited,Industrials,LTS.BK,EQ,THC084010006
Phol Dhanya Public Co. Ltd.,Industrials,PHOL.BK,EQ,TH1047010000
Shrinkflex (Thailand) Public Co Limited,Industrials,SFT.BK,EQ,TH9975010009
CL Venture Public Company Limited,Industrials,KOOL.BK,EQ,TH6756010000
Window Asia Public Company Limited,Industrials,WINDOW.BK,EQ,THB666010004
Salee Colour PCL,Industrials,COLOR.BK,EQ,TH1064010008
Prakit Holdings Public Company Limited,Industrials,PRAKIT.BK,EQ,TH0248A10Z05
OCC Public Co. Ltd.,Industrials,OCC.BK,EQ,TH0091010Z09
Union Plastic Public Co. Ltd.,Industrials,UP.BK,EQ,TH0029010004
Leo Global Logistics Public Co Limited,Industrials,LEO.BK,EQ,TH9993010007
AQUA Corp. Public Co. Ltd.,Industrials,AQUA.BK,EQ,TH0793B10Y04
Lighting & Equipment Public Co. Ltd.,Industrials,L&E.BK,EQ,TH0784010Z09
Salee Printing Co. Ltd.,Industrials,SLP.BK,EQ,TH6414010004
Planet Communications Asia Public Co. Ltd.,Industrials,PLANET.BK,EQ,TH5586010008
RSXYZ Public Company Limited,Industrials,XYZ.BK,EQ,TH1058010Z07
CPR Gomu Industrial Public Co. Ltd.,Industrials,CPR.BK,EQ,TH0829010006
E for L Aim Public Co. Ltd.,Industrials,EFORL.BK,EQ,TH1001B10Z09
Teka Construction Public Company Limited,Industrials,TEKA.BK,EQ,THA829010000
Mena Transport Public Company Limited,Industrials,MENA.BK,EQ,THA369010006
CAZ (Thailand) Public Co Limited,Industrials,CAZ.BK,EQ,TH8886010009
Unimit Engineering Public Co. Ltd.,Industrials,UEC.BK,EQ,TH0874A10Z06
Kingsmen C.M.T.I. Public Co. Ltd.,Industrials,K.BK,EQ,TH6934010005
Thai Capital Corp. Public Co. Ltd.,Industrials,TCC.BK,EQ,TH0226A10Z01
World Flex Public Company Limited,Industrials,WFX.BK,EQ,THA583010006
Autocorp Holding Public Co. Ltd.,Industrials,ACG.BK,EQ,TH9115010000
Siam Steel International Public Co. Ltd.,Industrials,SIAM.BK,EQ,TH0298010Z00
Floyd Public Co. Ltd.,Industrials,FLOYD.BK,EQ,TH8264010001
Well Graded Engineering Public Company Ltd,Industrials,WGE.BK,EQ,TH9994010006
Right Tunnelling Company Ltd,Industrials,RT.BK,EQ,THA001010000
Varopakorn Public Co. Ltd.,Industrials,VARO.BK,EQ,TH0251010Z09
Sahathai Terminal Public Company Limited,Industrials,PORT.BK,EQ,TH8306010001
TBSP Public Company Limited,Industrials,TBSP.BK,EQ,TH0476010Y03
K. W. Metal Work Public Company Limited,Industrials,KWM.BK,EQ,TH8731010006
General Environmental Conservation Public Co. Ltd.,Industrials,GENCO.BK,EQ,TH0636010Z01
Readyplanet Public Company Limited,Industrials,READY.BK,EQ,THB218010007
T.R.V. Rubber Products Public Co.Ltd.,Industrials,TRV.BK,EQ,THA580010009
S. Pack & Print Public Co. Ltd.,Industrials,SPACK.BK,EQ,TH0768010Z02
Asian Marine Services Public Co. Ltd.,Industrials,ASIMAR.BK,EQ,TH0544A10Z06
NL Development Public Company Limited,Industrials,NL.BK,EQ,THB657010005
Begistics Public Co. Ltd.,Industrials,B.BK,EQ,TH0709B10Z06
TMC Industrial Public Co. Ltd.,Industrials,TMC.BK,EQ,TH3876010002
Thai Nam Plastic Public Co. Ltd.,Industrials,TNPC.BK,EQ,TH0287010Z03
SiamEast Solutions Public Co. Ltd.,Industrials,SE.BK,EQ,TH7753010001
Eastern Technical Engineering Public Company Ltd,Industrials,ETE.BK,EQ,TH7761010001
Teera-Mongkol Industry Public Co. Ltd.,Industrials,TMI.BK,EQ,TH1033010006
Winnergy Medical Public Company Limited,Industrials,WINMED.BK,EQ,THA285010007
QTCG Public Company Limited,Industrials,QTCG.BK,EQ,THC012010003
Akkhie Prakarn Public Company Limited,Industrials,AKP.BK,EQ,TH4109010009
Thai Wire Products Public Co. Ltd.,Industrials,TWP.BK,EQ,TH0163010Z06
Index International Group Public Co Limited,Industrials,IND.BK,EQ,THA051010009
Techno Medical Public Co. Ltd.,Industrials,TM.BK,EQ,TH7423010001
CMO Public Co. Ltd.,Industrials,CMO.BK,EQ,TH0791010Y05
Sanko Diecasting (Thailand) PCL,Industrials,SANKO.BK,EQ,TH4521010009
Market Connections Asia Public Company Limited,Industrials,MCA.BK,EQ,THB662010008
SEI Medical Public Co. Ltd.,Industrials,SEI.BK,EQ,THC265010007
T.C.J. Asia Public Co. Ltd.,Industrials,TCJ.BK,EQ,TH0542010002
Emc Public Company Limited,Industrials,EMC.BK,EQ,TH0565B10Z09
Premier Tank Corp. Public Company Limited,Industrials,PTC.BK,EQ,THA673010007
Premier Products Public Co. Ltd.,Industrials,PPP.BK,EQ,TH4263010001
T. KrungThai Industries Public Co. Ltd.,Industrials,TKT.BK,EQ,TH0779010006
Euroasia Total Logistics Public Co. Ltd.,Industrials,ETL.BK,EQ,THB637010000
PATKOL Public Co. Ltd.,Industrials,PK.BK,EQ,TH0299010Z08
Thai Nondestructive Testing Public Co. Ltd.,Industrials,TNDT.BK,EQ,TH0953010Z00
Power Line Engineering Public Co. Ltd.,Industrials,PLE.BK,EQ,TH0685010Z08
Rockworth Public Co. Ltd.,Industrials,ROCK.BK,EQ,TH0416010005
ARIP Public Company Limited,Industrials,ARIP.BK,EQ,TH1048010009
Siamraj Public Company Limited,Industrials,SR.BK,EQ,TH6887010002
SGF Capital Public Company Ltd,Industrials,SGF.BK,EQ,TH0107D10Z02
D.T.C Industries Public Co. Ltd.,Industrials,DTCI.BK,EQ,TH0296010000
K.C. Metal Sheet Public Company Ltd,Industrials,KCM.BK,EQ,TH6156010006
Hydrotek Public Co. Ltd.,Industrials,HYDRO.BK,EQ,TH1080C10Z02
I&I Group Public Co Limited,Industrials,IIG.BK,EQ,TH9863010004
Project Planning Service PCL,Industrials,PPS.BK,EQ,TH3801010002
Qualitech Public Company Limited.,Industrials,QLT.BK,EQ,TH1005010000
Origin Global Empire Public Company Limited,Industrials,EMPIRE.BK,EQ,THA999010004
Thai Mui Corp. Public Co. Ltd.,Industrials,THMUI.BK,EQ,TH8305010002
Raja Ferry Port Public Co. Ltd.,Industrials,RP.BK,EQ,TH6833010007
Viserve Enterprise Public Company Limited,Industrials,VS.BK,EQ,TH8980010004
C.I. Group Public Co. Ltd.,Industrials,CIG.BK,EQ,TH0822010Z07
Prosper Engineering Public Company Limited,Industrials,PROS.BK,EQ,THA257010001
PEER FOR YOU PUBLIC COMPANY LIMITED,Industrials,PEER.BK,EQ,TH5398010Y04
NCL International Logistics Co. Ltd.,Industrials,NCL.BK,EQ,TH6013010009
Thai Polycons Public Company Limited,Industrials,TPOLY.BK,EQ,TH0988010003
TVD Holdings Public Company Limited,Industrials,TVDH.BK,EQ,TH3709010005
BuilderSmart Public Co. Ltd.,Industrials,BSM.BK,EQ,TH0971A10Z08
BT Wealth Industries PCL,Industrials,BTW.BK,EQ,TH7319010008
M Vision Public Co. Ltd.,Industrials,MVP.BK,EQ,TH8655010008
WASH_LAUNDRY YOU,Industrials,WASH.BK,EQ,THD374010003
Thai Auto Tools and Die Public Company Limited,Industrials,TATG.BK,EQ,THC423010006
BPS TECHNOLOGY PUBLIC COMPANY LIMITED,Industrials,BPS.BK,EQ,THB992010009
Nice Call Public Company Limited,Industrials,NCP.BK,EQ,THC213010000
Terabyte Plus Public Company Limited,Industrials,TERA.BK,EQ,THB936010008
S.C.L. Motor Parts Public Company Limited,Industrials,SCL.BK,EQ,THB676010002
Panelesmatic Solutions PCL,Industrials,PANEL.BK,EQ,THB922010004
Masstec Link Public Company Limited,Industrials,MASTEC.BK,EQ,THD165010006
