Company Name,Industry,Symbol,Series,ISIN Code
Siam Cement,Materials,SCC.BK,EQ,TH0003010Z04
PTT Global Chemical,Materials,PTTGC.BK,EQ,TH1074010006
Indorama Ventures,Materials,IVL.BK,EQ,TH1027010004
Siam Cement Packaging,Materials,SCGP.BK,EQ,TH0098010Y05
Siam City Cement Public Company Limited,Materials,SCCC.BK,EQ,TH0021010Z06
Sri Trang Gloves (Thailand) Public Company Limited,Materials,STGT.BK,EQ,TH9829010Z03
Sri Trang Agro-Industry,Materials,STA.BK,EQ,TH0254A10Z06
TOA Paint (Thailand) Public Company Limited,Materials,TOA.BK,EQ,TH8193010007
Tipco Asphalt Public Company Limited,Materials,TASCO.BK,EQ,TH0219010Z06
Eastern Polymer Group,Materials,EPG.BK,EQ,TH6128010001
Birla Carbon (Thailand) Public Company Limited,Materials,BCT.BK,EQ,TH0200010Y07
TPI Polene Public Company Limited,Materials,TPIPL.BK,EQ,TH0212A10Z07
Alucon Public Company Limited,Materials,ALUCON.BK,EQ,TH0164010009
Polyplex (Thailand) Public Company Limited,Materials,PTL.BK,EQ,TH0815010002
P.S.P. Specialties Public Company Limited,Materials,PSP.BK,EQ,THB425010006
SCGD_SCG DECOR,Materials,SCGD.BK,EQ,THB722010006
North East Rubber Public Company Limited,Materials,NER.BK,EQ,TH8798010006
Tata Steel (Thailand) Public Company Limited,Materials,TSTH.BK,EQ,TH0692010000
BBGI Public Company Limited,Materials,BBGI.BK,EQ,THA307010001
United Paper Public Company Limited,Materials,UTP.BK,EQ,TH0818010Z05
S.Kijchai Enterprise Public Company Limited,Materials,SKN.BK,EQ,TH8177010007
Global Green Chemicals,Materials,GGC.BK,EQ,TH7920010Z02
Siam Pan Group Public Company Limited,Materials,SPG.BK,EQ,TH0613010Z00
M.C.S. Steel Public Company Limited,Materials,MCS.BK,EQ,TH0851010007
G J Steel Public Company Limited,Materials,GJS.BK,EQ,TH0585D10Z03
Thai Eastern Group Holdings Public Company Limited,Materials,TEGH.BK,EQ,THA998010005
POSCO-Thainox Public Company Limited,Materials,INOX.BK,EQ,TH0814A10Z09
Vanachai Group Public Company Limited,Materials,VNG.BK,EQ,TH0533010Z00
TMT Steel Public Company Limited,Materials,TMT.BK,EQ,TH0826010Y09
Chememan Public Company Limited,Materials,CMAN.BK,EQ,TH8472010009
Quality Construction Products Public Co. Ltd.,Materials,Q-CON.BK,EQ,TH0760010007
Southern Concrete Pile Public Company Limited,Materials,SCP.BK,EQ,TH0240010Z02
Thai Mitsuwa Public Company Limited,Materials,TMW.BK,EQ,TH0740010002
Sherwood Corporation (Thailand) Public Company Limited,Materials,SWC.BK,EQ,TH0801A10Z04
Global Connections Public Company Limited,Materials,GC.BK,EQ,TH0873010Z00
Selic Corp Public Company Limited,Materials,SELIC.BK,EQ,TH7533010008
Sahamit Machinery Public Company Limited,Materials,SMIT.BK,EQ,TH0843010008
UAC Global Public Company Limited,Materials,UAC.BK,EQ,TH1040010Y06
2S Metal Public Co. Ltd.,Materials,2S.BK,EQ,TH1008B10Y03
Pacific Pipe Public Company Limited,Materials,PAP.BK,EQ,TH0805A10Z00
Thai Agro Energy Public Company Limited,Materials,TAE.BK,EQ,TH3548010000
Siam Steel Service Center Public Company Limited,Materials,SSSC.BK,EQ,TH0547010Z00
Lohakit Metal Public Company Limited,Materials,LHK.BK,EQ,TH0964010001
Chow Bright Ventures Holdings Public Company,Materials,CHOW.BK,EQ,TH1081010007
