Company Name,Industry,Symbol,Series,ISIN Code
Central Pattana,Real Estate,CPN.BK,EQ,TH0481B10Z00
WHA Corporation,Real Estate,WHA.BK,EQ,TH3871010Z01
CPN Retail Growth Leasehold REIT,Real Estate,CPNREIT.BK,EQ,TH8351010005
Land and Houses,Real Estate,LH.BK,EQ,TH0143010Z08
Saha Pathana Inter-Holding Public Company Limited,Real Estate,SPI.BK,EQ,TH0027010Z03
Frasers Property Thailand Industrial Freehold & Leasehold REIT,Real Estate,FTREIT.BK,EQ,TH6172010006
WHA Premium Growth Freehold And Leasehold Real Estate Investment Trust,Real Estate,WHART.BK,EQ,TH6141010004
Amata Corporation,Real Estate,AMATA.BK,EQ,TH0617A10Z08
Axtra Future City Freehold And Leasehold Real Estate Investment Trust,Real Estate,AXTRART.BK,EQ,THC611010008
Supalai,Real Estate,SPALI.BK,EQ,TH0371010Z05
Sansiri,Real Estate,SIRI.BK,EQ,TH0577C10Z04
AP (Thailand) Public Company Limited,Real Estate,AP.BK,EQ,TH0308010Y08
IMPACT Growth Real Estate Investment Trust,Real Estate,IMPACT.BK,EQ,TH5882010009
Frasers Property (Thailand) Public Company Limited,Real Estate,FPT.BK,EQ,TH0675010Y00
Quality Houses Public Company Limited,Real Estate,QH.BK,EQ,TH0256A10Z04
LH Hotel Leasehold Real Estate Investment Trust,Real Estate,LHHOTEL.BK,EQ,TH6957010007
LH Shopping Centers Leasehold Real Estate Investment Trust,Real Estate,LHSC.BK,EQ,TH6180010006
BA Airport Leasehold Real Estate Investment Trust,Real Estate,BAREIT.BK,EQ,THA996010007
INET Freehold and Leasehold Real Estate Investment Trust,Real Estate,INETREIT.BK,EQ,THA430010001
AIM Industrial Growth Freehold and Leasehold Real Estate Investment Trust,Real Estate,AIMIRT.BK,EQ,TH8387010003
Siamese Asset Public Company Limited,Real Estate,SA.BK,EQ,THA083010001
WHA Industrial Leasehold Real Estate Investment Trust,Real Estate,WHAIR.BK,EQ,TH7585010005
Bangkok Land Public Company Limited,Real Estate,BLAND.BK,EQ,TH0285B10Z08
SC Asset Corporation Public Company Limited,Real Estate,SC.BK,EQ,TH0747A10Z01
Pruksa Holding,Real Estate,PSH.BK,EQ,TH7595010003
Stella X Public Company Limited,Real Estate,STELLA.BK,EQ,TH0305B10Z04
C.P. Tower Leasehold Real Estate Investment Trust,Real Estate,CPTREIT.BK,EQ,THC575010002
Assetwise Public Company Limited,Real Estate,ASW.BK,EQ,THA263010003
Prospect Logistics and Industrial Freehold and Leasehold Real Estate Investment Trust,Real Estate,PROSPECT.BK,EQ,TH9911010006
Rhom Bho Property Public Company Limited,Real Estate,TITLE.BK,EQ,TH8258010009
