Company Name,Industry,Symbol,Series,ISIN Code
Delta Electronics Thailand,Technology,DELTA.BK,EQ,TH0528A10Z06
Cal-Comp Electronics (Thailand) Public Company Limited,Technology,CCET.BK,EQ,TH0639010Z05
KCE Electronics Public Company Limited,Technology,KCE.BK,EQ,TH0122C10Z04
Hana Microelectronics Public Company Limited,Technology,HANA.BK,EQ,TH0324B10Z01
Sky ICT Public Company Limited,Technology,SKY.BK,EQ,TH5812010Y04
Ditto (Thailand) Public Company Limited,Technology,DITTO.BK,EQ,THA283010009
Synnex (Thailand) Public Company Limited,Technology,SYNEX.BK,EQ,TH0981010000
SiS Distribution (Thailand) Public Company Limited,Technology,SIS.BK,EQ,TH0776010009
Advanced Information Technology Public Company Limited,Technology,AIT.BK,EQ,TH0712010Z00
Muramoto Electron (Thailand) Public Company Limited,Technology,METCO.BK,EQ,TH0304010Z06
Samart Corporation Public Company Limited,Technology,SAMART.BK,EQ,TH0374010Z09
Roctec Global Public Company Limited,Technology,ROCTEC.BK,EQ,TH0734010Z04
Humanica Public Company Limited,Technology,HUMAN.BK,EQ,TH8335010006
ADVICE_ADVICE IT INFINITE,Technology,ADVICE.BK,EQ,THB865010003
MEB Corporation Public Company Limited,Technology,MEB.BK,EQ,THB217010008
Stars Microelectronics (Thailand) Public Company Limited,Technology,SMT.BK,EQ,TH1015A10Z04
Team Precision Public Company Limited,Technology,TEAM.BK,EQ,TH0640010003
Premier Technology Public Company Limited,Technology,PT.BK,EQ,TH0229010Z05
Infraset Public Company Limited,Technology,INSET.BK,EQ,TH9426010004
G-Able Public Company Limited,Technology,GABLE.BK,EQ,THB318010006
MFEC Public Company Limited,Technology,MFEC.BK,EQ,TH0738010006
Interlink Communication Public Company Limited,Technology,ILINK.BK,EQ,TH0781010002
SNC Former Public Company Limited,Technology,SNC.BK,EQ,TH0800010Z03
Internet Thailand Public Company Limited,Technology,INET.BK,EQ,TH0662010006
Metro Systems Corporation Public Company Limited,Technology,MSC.BK,EQ,TH0569010Z04
Techlead Next Public Company Limited,Technology,TL.BK,EQ,TH0282010Y05
Pro Inside Public Company Limited,Technology,PIS.BK,EQ,THC664010004
IT City Public Company Limited,Technology,IT.BK,EQ,TH0706010Z02
Netbay Public Company Limited,Technology,NETBAY.BK,EQ,TH7163010005
ALT Telecom Public Company Limited,Technology,ALT.BK,EQ,TH7312010005
Beryl 8 Plus Public Company Limited,Technology,BE8.BK,EQ,THA532010008
Silicon Craft Technology Public Company Limited,Technology,SICT.BK,EQ,TH9876010009
Copperwired Public Company Limited,Technology,CPW.BK,EQ,TH9437010001
SVOA Public Company Limited,Technology,SVOA.BK,EQ,TH0365010Z07
Asia Medical and Agricultural Laboratory and Research Center Public Company Limited,Technology,AMARC.BK,EQ,THB017010000
S P V I Public Company Limited,Technology,SPVI.BK,EQ,TH5073010008
The Practical Solution Public Company Limited,Technology,TPS.BK,EQ,TH9512010009
nForce Secure Public Company Limited,Technology,SECURE.BK,EQ,THA344010006
D.T.C. Enterprise Public Company Limited,Technology,DTCENT.BK,EQ,THB130010002
Vintcom Technology Public Company Limited,Technology,VCOM.BK,EQ,TH8343010006
Communication & System Solution Public Company Limited,Technology,CSS.BK,EQ,TH4747010007
SPREME_SUPREME DISTRIBUTION,Technology,SPREME.BK,EQ,THB916010002
Simat Technologies Public Company Limited,Technology,SIMAT.BK,EQ,TH0965010000
Nova Empire Public Company Limited,Technology,NOVA.BK,EQ,TH0318010Z06
AJ Advance Technology Public Company Limited,Technology,AJA.BK,EQ,TH5178010Y00
Samart Digital Public Company Limited,Technology,SDC.BK,EQ,TH0756010Y08
NAT Absolute Technologies Public Company Limited,Technology,NAT.BK,EQ,THB885010009
AddTech Hub Public Co. Ltd.,Technology,ADD.BK,EQ,THA286010006
International Network System Public Company Limited,Technology,ITNS.BK,EQ,THB028010007
TBN Corporation Public Company Limited,Technology,TBN.BK,EQ,THB361010002
PROEN Corp Public Company Limited,Technology,PROEN.BK,EQ,THA278010006
I2 Enterprise Public Company Limited,Technology,I2.BK,EQ,THB453010001
Glory Forever Public Company Limited,Technology,GLORY.BK,EQ,THA515010009
Sirisoft Public Company Limited,Technology,SRS.BK,EQ,THB593010002
AMR Asia Public Co. Ltd.,Technology,AMR.BK,EQ,THA400010007
International Research Corp. Public Co. Ltd.,Technology,IRCP.BK,EQ,TH0711010Z02
Comanche International Public Co. Ltd.,Technology,COMAN.BK,EQ,TH7543010006
Indigy Public Company Limited,Technology,IDG.BK,EQ,THD342010002
SPT X Public Company Limited,Technology,SPTX.BK,EQ,
