Company Name,Industry,Symbol,Series,ISIN Code
Gulf Energy Development,Utilities,GULF.BK,EQ,THC903010005
Global Power Synergy,Utilities,GPSC.BK,EQ,TH6488010005
Ratch Group,Utilities,RATCH.BK,EQ,TH0637010Y00
Electricity Generating,Utilities,EGCO.BK,EQ,TH0465010005
B Grimm Power,Utilities,BGRIM.BK,EQ,TH7545010004
TTW Public Company Limited,Utilities,TTW.BK,EQ,TH0961010Y04
Gunkul Engineering Public Company Limited,Utilities,GUNKUL.BK,EQ,TH1041010Z03
Banpu Power Public Company Limited,Utilities,BPP.BK,EQ,TH7462010003
Energy Absolute,Utilities,EA.BK,EQ,TH3545010003
WHA Utilities and Power Public Company Limited,Utilities,WHAUP.BK,EQ,TH7846010Z09
BCPG Public Company Limited,Utilities,BCPG.BK,EQ,TH7411010005
CK Power Public Company Limited,Utilities,CKP.BK,EQ,TH4536010Z09
TPI Polene Power Public Company Limited,Utilities,TPIPP.BK,EQ,TH7534010007
Absolute Clean Energy Public Company Limited,Utilities,ACE.BK,EQ,TH8906010005
Rojana Industrial Park Public Company Limited,Utilities,ROJNA.BK,EQ,TH0477010Y01
SPCG Public Company Limited,Utilities,SPCG.BK,EQ,TH0889010Y07
Eastern Water Resources Development and Management Public Company Limited,Utilities,EASTW.BK,EQ,TH0616010Z03
Sermsang Power Corporation Public Company Limited,Utilities,SSP.BK,EQ,TH8206010002
Super Energy Corporation Public Company Limited,Utilities,SUPER.BK,EQ,TH0833010Y05
Nava Nakorn Public Company Limited,Utilities,NNCL.BK,EQ,TH0702010Z01
Ratch Pathana Energy Public Company Limited,Utilities,SCG.BK,EQ,TH0762010005
Thachang Green Energy Public Company Limited,Utilities,TGE.BK,EQ,THA918010002
WP Energy Public Company Limited,Utilities,WP.BK,EQ,TH6073010Z01
Univentures Public Company Limited,Utilities,UV.BK,EQ,TH0136010Z02
Earth Tech Environment Public Company Limited,Utilities,ETC.BK,EQ,TH9868010009
Thai Solar Energy Public Company Limited,Utilities,TSE.BK,EQ,TH5976010006
SAAM Development Public Company Limited,Utilities,SAAM.BK,EQ,TH8891010002
Utility Business Alliance Public Company Limited,Utilities,UBA.BK,EQ,THB044010007
Green Resources Public Company Limited,Utilities,GREEN.BK,EQ,TH0876A10Y05
TPC Power Holding Public Company Limited,Utilities,TPCH.BK,EQ,TH6079010000
Scan Inter Public Company Ltd,Utilities,SCN.BK,EQ,TH6285010000
Pilatus Marine Public Company Limited,Utilities,PLT.BK,EQ,THB320010002
Green Tech Ventures Public Company Limited,Utilities,GTV.BK,EQ,TH1026010Y05
More Return Public Co. Ltd.,Utilities,MORE.BK,EQ,TH4150010Y00
Solartron Public Co. Ltd.,Utilities,SOLAR.BK,EQ,TH0831010002
Takuni Group Public Company Ltd,Utilities,TAKUNI.BK,EQ,TH5762010004
Prime Road Power Public Co. Ltd.,Utilities,PRIME.BK,EQ,TH0839A10Z00
Sakol Energy Public Company Ltd,Utilities,SKE.BK,EQ,TH8309010008
Meta Corporation Public Company Limited,Utilities,META.BK,EQ,TH1056010Y02
