Company Name,Industry,Symbol,Series,ISIN Code
Aselsan,Industrials,ASELS.IS,EQ,TRAASELS91H2
QNB Bank AS,Financials,QNBTR.IS,EQ,TRAFINBN91N3
Destek Finans Faktoring A.S.,Financials,DSTKF.IS,EQ,TREDSTF00012
Turkiye Garanti Bankasi,Financials,GARAN.IS,EQ,TRAGARAN91N1
Enka Insaat,Industrials,ENKAI.IS,EQ,TREENKA00011
Koc Holding,Industrials,KCHOL.IS,EQ,TRAKCHOL91Q8
BIM Birlesik Magazalar,Consumer Staples,BIMAS.IS,EQ,TREBIMM00018
Tupras,Energy,TUPRS.IS,EQ,TRATUPRS91E8
Turk Hava Yollari (THY),Industrials,THYAO.IS,EQ,TRATHYAO91M5
Turkiye Is Bankasi Anonim Sirketi,Financials,ISKUR.IS,EQ,TRAISKUR91N3
Turkiye Is Bankasi Anonim Sirketi Class B,Financials,ISBTR.IS,EQ,TRAISBTR91N4
Turkiye Is Bankasi,Financials,ISCTR.IS,EQ,TRAISCTR91N2
Akbank,Financials,AKBNK.IS,EQ,TRAAKBNK91N6
KATILIMEVIM TASARRUF FINANSMAN A.S.,Financials,KTLEV.IS,EQ,TREKTLV00019
Hedef Holding AS,Financials,HEDEF.IS,EQ,TREHDEF00017
Halkbank,Financials,HALKB.IS,EQ,TRETHAL00019
Vakiflar Bankasi,Financials,VAKBN.IS,EQ,TREVKFB00019
Yapi ve Kredi Bankasi,Financials,YKBNK.IS,EQ,TRAYKBNK91N6
Ford Otosan,Consumer Discretionary,FROTO.IS,EQ,TRAOTOSN91H6
Eregli Demir Celik,Materials,EREGL.IS,EQ,TRAEREGL91G3
Astor Enerji,Industrials,ASTOR.IS,EQ,TREASTR00013
Turkcell,Communication Services,TCELL.IS,EQ,TRATCELL91M1
Coca-Cola Icecek,Consumer Staples,CCOLA.IS,EQ,TRECOLA00011
Turk Telekom,Communication Services,TTKOM.IS,EQ,TRETTLK00013
Sabanci Holding,Industrials,SAHOL.IS,EQ,TRASAHOL91Q5
Odine Solutions Teknoloji Ticaret ve Sanayi AS,Technology,ODINE.IS,EQ,TREODNE00017
Iskenderun Demir ve Celik AS,Materials,ISDMR.IS,EQ,TREISDC00020
Gubre Fabrikalari,Materials,GUBRF.IS,EQ,TRAGUBRF91E2
Tera Yatirim Menkul Degerler AS,Financials,TERA.IS,EQ,TRETERA00013
KILER HOLDING A.S.,Consumer Staples,KLRHO.IS,EQ,TREKLRH00038
Tofas Turk Otomobil,Consumer Discretionary,TOASO.IS,EQ,TRATOASO91H3
Turk Altin Isletmeleri A.S.,Materials,TRALT.IS,EQ,TREKOAL00014
Sisecam,Materials,SISE.IS,EQ,TRASISEW91Q3
Turkiye Sigorta,Financials,TURSG.IS,EQ,TRAGUSGR91O3
Enerjisa Enerji,Utilities,ENJSA.IS,EQ,TREENSA00014
Kent Gida Maddeleri Sanayii ve Ticaret A.S.,Consumer Staples,KENT.IS,EQ,TRAKENTW91A2
Investco Holding A.S.,Financials,INVES.IS,EQ,TREINVS00029
Sasa Polyester,Materials,SASA.IS,EQ,TRASASAW91E4
Anadolu Efes,Consumer Staples,AEFES.IS,EQ,TRAAEFES91A9
Migros Ticaret,Consumer Staples,MGROS.IS,EQ,TREMGTI00012
OZATA DENIZCILIK SANAYI VE TICARET AS,Industrials,OZATD.IS,EQ,TREOZAT00023
Oyak Cimento,Materials,OYAKC.IS,EQ,TRAMRDIN91F2
MARGUN ENERJI URETIM SANAYI VE TICARET A.S.,Utilities,MAGEN.IS,EQ,TREMARN00027
Tav Havalimanlari,Industrials,TAVHL.IS,EQ,TRETAVH00018
Torunlar Gayrimenkul Yatirim Ortakligi A.S.,Financials,TRGYO.IS,EQ,TRETRGY00018
Aksa Enerji,Utilities,AKSEN.IS,EQ,TREAKSN00011
Turkiye Kalkinma ve Yatirim Bankasi A.S.,Financials,KLNMA.IS,EQ,TRATKBNK91N6
QNB Finansal Kiralama A.S.,Financials,QNBFK.IS,EQ,TRAFFKRL91P0
LDR Turizm A.S.,Financials,LIDER.IS,EQ,TRELDRT00020
BORUSAN BIRLESIK BORU FABRIKALARI SANAYI VE TICARET ANONIM SIRKETI,Materials,BRSAN.IS,EQ,TRABRSAN91G8
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,Utilities,AHGAZ.IS,EQ,TREAHLA00019
Pegasus Hava Tasimaciligi,Industrials,PGSUS.IS,EQ,TREPEGS00016
MLP Saglik Hizmetleri AS Class B,Health Care,MPARK.IS,EQ,TREMLPC00021
Enerya Enerji A.S.,Utilities,ENERY.IS,EQ,TREENRY00016
AG Anadolu Grubu Holding Anonim Sirketi,Consumer Staples,AGHOL.IS,EQ,TRAYAZIC91Q6
Ziraat Gayrimenkul Yatirim Ortakligi AS,Financials,ZRGYO.IS,EQ,TREZRGY00023
Pasifik Eurasia Lojistik dis Ticaret AS,Industrials,PASEU.IS,EQ,TREPASF00024
Emlak Konut REIT,Real Estate,EKGYO.IS,EQ,TREEGYO00017
Emlak Konut Gayrimenkul Yatirim Ortakligi A.S. 0 % Certificates 2025-31.12.2199,Financials,DMLKT.IS,EQ,TRNEGYO00018
Ral Yatirim Holding A.S.,Industrials,RALYH.IS,EQ,TRABISAS91B7
Selcuk Ecza Deposu Ticaret ve Sanayi A.S.,Industrials,SELEC.IS,EQ,TRESLEC00014
Arcelik,Consumer Discretionary,ARCLK.IS,EQ,TRAARCLK91H5
Ronesans Gayrimenkul Yatirim A.S.,Financials,RGYAS.IS,EQ,TRERSGY00036
TAB Gida Sanayi ve Ticaret A.S.,Consumer Discretionary,TABGD.IS,EQ,TRETABG00020
Reysas Gayrimenkul Yatirim Ortakligi A.S.,Financials,RYGYO.IS,EQ,TRERGYO00019
Tera Yatirim Teknoloji Holding A.S.,Financials,TEHOL.IS,EQ,TRAGLOBL91Q0
Peker Gayrimenkul Yatirim Ortakligi AS,Financials,PEKGY.IS,EQ,TREPEGY00022
Lydia Holding A.S.,Industrials,LYDHO.IS,EQ,TRAMIPAZ91J8
Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret AS,Industrials,EUPWR.IS,EQ,TREEUPW00019
Isiklar Enerji ve Yapi Holding Anonim Sirketi,Materials,IEYHO.IS,EQ,TRAMTEKS91B0
Ufuk Yatirim Yonetim Ve Gayrimenkul A.S.,Financials,UFUK.IS,EQ,TREFNFK00017
CVK MADEN ISLETMELERI SANAYI VE TICARET A.S,Materials,CVKMD.IS,EQ,TRECVKM00021
Anadolu Anonim Turk Sigorta Sirketi A.S.,Financials,ANSGR.IS,EQ,TRAANSGR91O1
EIS Eczacibasi Ilac  Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.,Health Care,ECILC.IS,EQ,TRAECILC91E0
Borusan Yatirim ve Pazarlama AS,Financials,BRYAT.IS,EQ,TRABRYAT91Q2
Gulermak Agir Sanayi Insaat Ve Taahhut A.S.,Industrials,GLRMK.IS,EQ,TREGLRM00010
Is Yatirim Menkul Degerler AS,Financials,ISMEN.IS,EQ,TREISMD00011
Batisoke Soke Cimento Sanayii T.A.S.,Materials,BSOKE.IS,EQ,TRABSOKE91F5
Tekfen Holding,Industrials,TKFEN.IS,EQ,TRETKHO00012
Yeni Gimat Gayrimenkul Yatirim Ortakligi AS,Financials,YGGYO.IS,EQ,TREYGMI00012
Kardemir Karabiik Demir celik Sanayi ve Ticaret A.S. Class B,Materials,KRDMB.IS,EQ,TRAKRDMB91G1
Kardemir,Materials,KRDMD.IS,EQ,TRAKRDMR91G7
Kardemir Karabiik Demir celik Sanayi ve Ticaret A.S. Class A,Materials,KRDMA.IS,EQ,TRAKRDMA91G3
Tera Financial Investments Holding A.S.,Financials,TRHOL.IS,EQ,TRATACYO91Q7
Reysas Tasimacilik ve Lojistik Ticaret Anonim Sirketi,Industrials,RYSAS.IS,EQ,TREREYS00015
Petkim,Materials,PETKM.IS,EQ,TRAPETKM91E0
Aygaz,Energy,AYGAZ.IS,EQ,TRAAYGAZ91E0
