Company Name,Industry,Symbol,Series,ISIN Code
Ford Otosan,Consumer Discretionary,FROTO.IS,EQ,TRAOTOSN91H6
Tofas Turk Otomobil,Consumer Discretionary,TOASO.IS,EQ,TRATOASO91H3
Arcelik,Consumer Discretionary,ARCLK.IS,EQ,TRAARCLK91H5
TAB Gida Sanayi ve Ticaret A.S.,Consumer Discretionary,TABGD.IS,EQ,TRETABG00020
Turk Traktor,Consumer Discretionary,TTRAK.IS,EQ,TRETTRK00010
Otokar,Consumer Discretionary,OTKAR.IS,EQ,TRAOTKAR91H3
Dogus Otomotiv,Consumer Discretionary,DOAS.IS,EQ,TREDOTO00013
Mavi Giyim,Consumer Discretionary,MAVI.IS,EQ,TREMAVI00037
Gur-Sel Turizm Tasimacilik Ve Servis Ticaret A.S.,Consumer Discretionary,GRSEL.IS,EQ,TREGRSL00025
Brisa Bridgestone,Consumer Discretionary,BRISA.IS,EQ,TRABRISA91E3
FUZUL GAYRIMENKUL YATIRIM ORTAKLIGI A.S.,Consumer Discretionary,FZLGY.IS,EQ,TREFUZL00026
Fenerbahce Futbol A.S.,Consumer Discretionary,FENER.IS,EQ,TREFBAH00019
Net Holding A.S.,Consumer Discretionary,NTHOL.IS,EQ,TRANTHOL91Q6
CarrefourSA Carrefour Sabanci Ticaret Merkezi A.S.,Consumer Discretionary,CRFSA.IS,EQ,TRECARF00032
Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S. Class C,Consumer Discretionary,ASUZU.IS,EQ,TRAASUZU91H4
Altin Yunus Cesme Turistik Tesisler A.S.,Consumer Discretionary,AYCES.IS,EQ,TRAAYCES92K1
Galatasaray Sportif Sinai Veticari Yatirimlar A.S.,Consumer Discretionary,GSRAY.IS,EQ,TRAGSRAY91X9
EBEBEK MAGAZACILIK ANONIM SIRKETI,Consumer Discretionary,EBEBK.IS,EQ,TREEBEB00025
Gimat Magazacilik Insaat Sanayi ve Ticaret A.S.,Consumer Discretionary,GMTAS.IS,EQ,TREGMAT00027
Kustur Kusadasi Turizm Endustrisi A.S.,Consumer Discretionary,KSTUR.IS,EQ,TREKUST00016
Karsan Otomotiv,Consumer Discretionary,KARSN.IS,EQ,TRAKARSN91H7
Vestel Beyaz Esya,Consumer Discretionary,VESBE.IS,EQ,TREVEST00017
Mopas Marketcilik Gida Sanayi Ve Ticaret A.S.,Consumer Discretionary,MOPAS.IS,EQ,TREMPAS00012
Marmaris Altinyunus Turistik Tesisler A.S,Consumer Discretionary,MAALT.IS,EQ,TRAMAALT91K5
Adel Kalemcilik Ticaret ve Sanayi A.S.,Consumer Discretionary,ADEL.IS,EQ,TRAADELW91T1
Turk Demir Dokum,Consumer Discretionary,DOKTA.IS,EQ,TRADOKTS91G7
Vestel Elektronik,Consumer Discretionary,VESTL.IS,EQ,TRAVESTL91H6
Cagdas Cam Sanayi ve Ticaret AS,Consumer Discretionary,CGCAM.IS,EQ,TRECGDC00010
Big Medya Teknoloji A.S.,Consumer Discretionary,BIGTK.IS,EQ,TRADOBUR91D3
Trabzonspor Sportif Yatirim ve Futbol Isletmeciligi Ticaret A.S.,Consumer Discretionary,TSPOR.IS,EQ,TRETRBZ00016
Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S.,Consumer Discretionary,BJKAS.IS,EQ,TRABJKAS91X6
Koleksiyon Mobilya Sanayi AS,Consumer Discretionary,KLSYN.IS,EQ,TREKLSN00026
Blume Metal Kimya Anonim Sirketi,Consumer Discretionary,BLUME.IS,EQ,TREMETU00012
Yatas,Consumer Discretionary,YATAS.IS,EQ,TRAYATAS91B4
Merit Turizm Yatirim ve Isletmeleri AS,Consumer Discretionary,MERIT.IS,EQ,TREMRTT00016
Kuvva Gida Ticaret ve Sanayi Yatirimlari A.S.,Consumer Discretionary,KUVVA.IS,EQ,TRASERVE91T0
Gezinomi Seyahat Turizm Ticaret A.S.,Consumer Discretionary,GZNMI.IS,EQ,TREGZNM00027
Goodyear Lastikleri,Consumer Discretionary,GOODY.IS,EQ,TRAGOODY91E9
Hurriyet Gazetecilik ve Matbaacilik A.S.,Consumer Discretionary,HURGZ.IS,EQ,TRAHURGZ91D9
Ersan Alisveris Hizmetleri ve Gida Sanayi Ticaret A.S.,Consumer Discretionary,KIMMR.IS,EQ,TREERSN00026
Suwen Tekstil San. Paz. AS,Consumer Discretionary,SUWEN.IS,EQ,TRESUWN00022
