Company Name,Industry,Symbol,Series,ISIN Code
BIM Birlesik Magazalar,Consumer Staples,BIMAS.IS,EQ,TREBIMM00018
Coca-Cola Icecek,Consumer Staples,CCOLA.IS,EQ,TRECOLA00011
KILER HOLDING A.S.,Consumer Staples,KLRHO.IS,EQ,TREKLRH00038
Kent Gida Maddeleri Sanayii ve Ticaret A.S.,Consumer Staples,KENT.IS,EQ,TRAKENTW91A2
Anadolu Efes,Consumer Staples,AEFES.IS,EQ,TRAAEFES91A9
Migros Ticaret,Consumer Staples,MGROS.IS,EQ,TREMGTI00012
AG Anadolu Grubu Holding Anonim Sirketi,Consumer Staples,AGHOL.IS,EQ,TRAYAZIC91Q6
Gundogdu Gida Sut Urunleri Sanayi Ve Dis Ticaret AS,Consumer Staples,GUNDG.IS,EQ,TREGUND00019
Turk Tuborg Bira ve Malt Sanayii A.S.,Consumer Staples,TBORG.IS,EQ,TRATBORG91A4
Ulker Biskuvi,Consumer Staples,ULKER.IS,EQ,TREULKR00015
Armada Gida Ticaret ve Sanayi Anonim Sirketi,Consumer Staples,ARMGD.IS,EQ,TREARDG00020
Altinkilic Gida ve Sut Sanayi Ticaret AS,Consumer Staples,ALKLC.IS,EQ,TREALTK00013
CEM ZEYTIN ANONIM SIRKETI,Consumer Staples,CEMZY.IS,EQ,TRECEMZ00017
Efor Yatirim Sanayi Ticaret A.S.,Consumer Staples,EFOR.IS,EQ,TREEFOR00013
Sok Marketler,Consumer Staples,SOKM.IS,EQ,TRESOKM00022
Lydia Yesil Enerji kaynaklari A.S.,Consumer Staples,LYDYE.IS,EQ,TRETKGD00017
Lila Kagit Sanayi Ve Ticaret Anonim Sirketi,Consumer Staples,LILAK.IS,EQ,TRELILA00022
Oba Makarnacilik Sanayi Ve Ticaret A. S.,Consumer Staples,OBAMS.IS,EQ,TREOBAM00011
DMR Unlu Mamuller Uretim Gida Toptan Perakende Ihracat A.S.,Consumer Staples,DMRGD.IS,EQ,TREDMRU00026
Sun Tekstil Sanayi ve Ticaret A.S.,Consumer Staples,SUNTK.IS,EQ,TRESUNT00010
Balsu Gida Sanayi ve Ticaret Anonim Sirketi,Consumer Staples,BALSU.IS,EQ,TREBALS00022
Vakko Tekstil ve Hazir Giyim Sanayi Isletmeleri A.S.,Consumer Staples,VAKKO.IS,EQ,TRAVAKKO91B7
Koton Magazacilik Tekstil Sanayi ve Ticaret A.S.,Consumer Staples,KOTON.IS,EQ,TREKOTN00028
Tukas Gida Sanayi ve Ticaret Anonim Sirketi,Consumer Staples,TUKAS.IS,EQ,TRATUKAS91A3
GOKNUR GIDA MADDELERI ENERJI IMALAT ITHALAT IHRACAT TICARET VE SANAYI A.S.,Consumer Staples,GOKNR.IS,EQ,TREGKNR00036
Segmen Kardesler Gida Uretim ve Ambalaj Sanayi AS,Consumer Staples,SEGMN.IS,EQ,TRESGMN00022
Besler Gida Ve Kimya Sanayi Ve Ticaret AS,Consumer Staples,BESLR.IS,EQ,TRAKERVT91A5
Europap Tezol Paper Industry and Trade Inc.,Consumer Staples,TEZOL.IS,EQ,TRETEZL00021
Atakey Patates Gida Sanayi ve Ticaret AS,Consumer Staples,ATAKP.IS,EQ,TREATKY00016
Kervan Gida Sanayi ve Ticaret AS,Consumer Staples,KRVGD.IS,EQ,TREKRVG00013
Desa Deri Sanayi ve Ticaret A.S.,Consumer Staples,DESA.IS,EQ,TREDESA00015
Ensari Sinai Yatirimlar A.S.,Consumer Staples,ENSRI.IS,EQ,TREENSR00026
Dardanel Onentas Gida San. A.S.,Consumer Staples,DARDL.IS,EQ,TRADARDL91A3
Elite Naturel Organik Gida Sanayi ve Ticaret AS,Consumer Staples,ELITE.IS,EQ,TREELIT00019
Tat Gida Sanayi A.S.,Consumer Staples,TATGD.IS,EQ,TRATATKS91A5
Metro Ticari ve Mali Yatirimlar Holding A.S.,Consumer Staples,METRO.IS,EQ,TRAVANET91A5
Dunya Holding Anonim Sirketi,Consumer Staples,DUNYH.IS,EQ,TRASELGD91A6
Pinar Sut Mamulleri Sanayii A.S.,Consumer Staples,PNSUT.IS,EQ,TRAPNSUT91A5
Pinar Entegre Et ve Un Sanayii Anonim Sirketi,Consumer Staples,PETUN.IS,EQ,TRAPETUN91A5
Konfrut Tarim A.S.,Consumer Staples,KNFRT.IS,EQ,TRAKNFRT91A9
