Company Name,Industry,Symbol,Series,ISIN Code
QNB Bank AS,Financials,QNBTR.IS,EQ,TRAFINBN91N3
Destek Finans Faktoring A.S.,Financials,DSTKF.IS,EQ,TREDSTF00012
Turkiye Garanti Bankasi,Financials,GARAN.IS,EQ,TRAGARAN91N1
Turkiye Is Bankasi Anonim Sirketi,Financials,ISKUR.IS,EQ,TRAISKUR91N3
Turkiye Is Bankasi Anonim Sirketi Class B,Financials,ISBTR.IS,EQ,TRAISBTR91N4
Turkiye Is Bankasi,Financials,ISCTR.IS,EQ,TRAISCTR91N2
Akbank,Financials,AKBNK.IS,EQ,TRAAKBNK91N6
KATILIMEVIM TASARRUF FINANSMAN A.S.,Financials,KTLEV.IS,EQ,TREKTLV00019
Hedef Holding AS,Financials,HEDEF.IS,EQ,TREHDEF00017
Halkbank,Financials,HALKB.IS,EQ,TRETHAL00019
Vakiflar Bankasi,Financials,VAKBN.IS,EQ,TREVKFB00019
Yapi ve Kredi Bankasi,Financials,YKBNK.IS,EQ,TRAYKBNK91N6
Tera Yatirim Menkul Degerler AS,Financials,TERA.IS,EQ,TRETERA00013
Turkiye Sigorta,Financials,TURSG.IS,EQ,TRAGUSGR91O3
Investco Holding A.S.,Financials,INVES.IS,EQ,TREINVS00029
Torunlar Gayrimenkul Yatirim Ortakligi A.S.,Financials,TRGYO.IS,EQ,TRETRGY00018
Turkiye Kalkinma ve Yatirim Bankasi A.S.,Financials,KLNMA.IS,EQ,TRATKBNK91N6
QNB Finansal Kiralama A.S.,Financials,QNBFK.IS,EQ,TRAFFKRL91P0
LDR Turizm A.S.,Financials,LIDER.IS,EQ,TRELDRT00020
Ziraat Gayrimenkul Yatirim Ortakligi AS,Financials,ZRGYO.IS,EQ,TREZRGY00023
Emlak Konut Gayrimenkul Yatirim Ortakligi A.S. 0 % Certificates 2025-31.12.2199,Financials,DMLKT.IS,EQ,TRNEGYO00018
Ronesans Gayrimenkul Yatirim A.S.,Financials,RGYAS.IS,EQ,TRERSGY00036
Reysas Gayrimenkul Yatirim Ortakligi A.S.,Financials,RYGYO.IS,EQ,TRERGYO00019
Tera Yatirim Teknoloji Holding A.S.,Financials,TEHOL.IS,EQ,TRAGLOBL91Q0
Peker Gayrimenkul Yatirim Ortakligi AS,Financials,PEKGY.IS,EQ,TREPEGY00022
Ufuk Yatirim Yonetim Ve Gayrimenkul A.S.,Financials,UFUK.IS,EQ,TREFNFK00017
Anadolu Anonim Turk Sigorta Sirketi A.S.,Financials,ANSGR.IS,EQ,TRAANSGR91O1
Borusan Yatirim ve Pazarlama AS,Financials,BRYAT.IS,EQ,TRABRYAT91Q2
Is Yatirim Menkul Degerler AS,Financials,ISMEN.IS,EQ,TREISMD00011
Yeni Gimat Gayrimenkul Yatirim Ortakligi AS,Financials,YGGYO.IS,EQ,TREYGMI00012
Tera Financial Investments Holding A.S.,Financials,TRHOL.IS,EQ,TRATACYO91Q7
AgeSA Hayat ve Emeklilik A.S.,Financials,AGESA.IS,EQ,TRECUHE00018
Verusa Holding AS,Financials,VERUS.IS,EQ,TREVERS00011
Anadolu Hayat Emeklilik A.S.,Financials,ANHYT.IS,EQ,TRAANHYT91O3
Eczacibasi Yatirim Holding Ortakligi AS,Financials,ECZYT.IS,EQ,TRAECZYT91Q5
Sekerbank T.A.S.,Financials,SKBNK.IS,EQ,TRASKBNK91N8
Turkiye Sinai Kalkinma Bankasi A.S.,Financials,TSKB.IS,EQ,TRATSKBW91N0
PASIFIK HOLDING A.S,Financials,PAHOL.IS,EQ,TREPSFH00011
Ray Sigorta A.S.,Financials,RAYSG.IS,EQ,TRARAYSG91O8
Global Yatirim Holding A.S.,Financials,GLYHO.IS,EQ,TRAGLMDE91R3
Adra Gayrimenkul Yatirim Ortakligi A.S.,Financials,ADGYO.IS,EQ,TREADRA00023
DAP GAYRIMENKUL GELISTIRME AS,Financials,DAPGM.IS,EQ,TREDAPG00032
Kuyas Yatirim A.S.,Financials,KUYAS.IS,EQ,TREKYAS00018
Halk Gayrimenkul Yatirim Ortakligi AS,Financials,HLGYO.IS,EQ,TREHLGY00016
Escar Filo Kiralama Hizmetleri Anonim Sirketi,Financials,ESCAR.IS,EQ,TREESCR00029
Avrupakent Gayrimenkul Yatirim Ortakligi SA,Financials,AVPGY.IS,EQ,TREAVRK00024
Pasifik Gayrimenkul Yatirim Ortakligi AS,Financials,PSGYO.IS,EQ,TREPSFK00023
Akis Gayrimenkul Yatirim Ortakligi A.S.,Financials,AKSGY.IS,EQ,TREAIGY00017
Albaraka Turk Katilim Bankasi A.S.,Financials,ALBRK.IS,EQ,TREALBK00011
Ozak Gayrimenkul Yatirim Ortakligi AS,Financials,OZKGY.IS,EQ,TREOZAK00014
Is Gayrimenkul Yatirim Ortakligi A.S.,Financials,ISGYO.IS,EQ,TRAISGYO91Q3
ICBC Turkey Bank Anonim Sirketi,Financials,ICBCT.IS,EQ,TRATEKST91N0
Sinpas Gayrimenkul Yatirim Ortakligi A.S.,Financials,SNGYO.IS,EQ,TRESNGY00019
Ahes Gayrimenkul Yatirim Ortakligi AS,Financials,AHSGY.IS,EQ,TREAHES00016
Is Finansal Kiralama A.S.,Financials,ISFIN.IS,EQ,TRAISGEN91P9
KIZILBUK GAYRIMENKUL YATIRIM ORTAKLIGI A.S.,Financials,KZBGY.IS,EQ,TREKZBG00026
Oyak Yatirim Menkul Degerler A.S.,Financials,OYYAT.IS,EQ,TREOYMD00017
Garanti Faktoring A.S.,Financials,GARFA.IS,EQ,TRAAKFIN91P6
Sur Tatil Evleri Gayrimenkul Yatirim Ortakligi A.S.,Financials,SURGY.IS,EQ,TRESRTE00023
Creditwest Faktoring A.S.,Financials,CRDFA.IS,EQ,TRATPFAC91P5
KORAY GAYRIMENKUL YATIRIM ORTAKLIGI A.S. Class B,Financials,KGYO.IS,EQ,TRAYKGYO91Q7
Alarko Gayrimenkul Yatirim Ortakligi A.S.,Financials,ALGYO.IS,EQ,TRAALGYO91Q5
Panora Gayrimenkul Yatirim Ortakligi A.S.,Financials,PAGYO.IS,EQ,TREPGYO00013
Aksigorta AS,Financials,AKGRT.IS,EQ,TRAAKGRT91O5
Gedik Yatirim Menkul Degerler A.S.,Financials,GEDIK.IS,EQ,TREGDKM00012
Akfen Gayrimenkul Yatirim Ortakligi A.S.,Financials,AKFGY.IS,EQ,TREAKFG00012
Bulls Girisim Sermayesi Yatirim Ortakligi Anonim Sirketi,Financials,BULGS.IS,EQ,TREBULS00012
Dogus Gayrimenkul Yatirim Ortakligi A.S.,Financials,DGGYO.IS,EQ,TRAOSGYO91Q1
Servet Gayrimenkul Yatirim Ortakligi AS,Financials,SRVGY.IS,EQ,TRESRGY00010
Akmerkez Gayrimenkul Yatirim Ortakligi A.S.,Financials,AKMGY.IS,EQ,TREAKMG00018
Vakif Gayrimenkul Yatirim Ortakligi Anonim Sirketi,Financials,VKGYO.IS,EQ,TRAVKGYO91Q3
Enda Enerji Holding Anonim Sirketi,Financials,ENDAE.IS,EQ,TREENDA00016
Vakif Finansal Kiralama AS,Financials,VAKFN.IS,EQ,TRAVAKFN91P9
Inveo Yatirim Holding AS,Financials,INVEO.IS,EQ,TRAGDKYO91Q1
GELECEK VARLIK YONETIMI A.S,Financials,GLCVY.IS,EQ,TREGVYO00011
Gozde Girisim Sermayesi Yatirim Ortakligi A.S.,Financials,GOZDE.IS,EQ,TREGZDF00014
ASCE GAYRIMENKUL YATIRIM ORTAKLIGI A.S.,Financials,ASGYO.IS,EQ,TREASCE00033
Kiler Gayrimenkul Yatirim Ortakligi A.S.,Financials,KLGYO.IS,EQ,TREKGYO00014
A1 Capital Yatitim Menkul Degerler A.S.,Financials,A1CAP.IS,EQ,TREA1CP00024
Egeyapi Avrupa Gayrimenkul Yatirim Ortakligi A.S.,Financials,EGEGY.IS,EQ,TREEGEY00018
Birikim Varlik Yonetim A.S.,Financials,BRKVY.IS,EQ,TREBVYS00013
MHR Gayrimenkul Yatirim Ortakligi Anonim Sirketi,Financials,MHRGY.IS,EQ,TREMHRG00018
Adese Gayrimenkul Yatirim AS,Financials,ADESE.IS,EQ,TREADSE00015
Kuzugrup Gayrimenkul Yatirim Ortakligi AS,Financials,KZGYO.IS,EQ,TREKZGR00014
TSKB Gayrimenkul Yatirim Ortakligi Anonim Sirketi,Financials,TSGYO.IS,EQ,TRETSGY00016
SEKER GAYRIMENKUL YATIRIM ORTAKLIGI A.S.,Financials,SEGYO.IS,EQ,TRESKGY00015
INFO YATIRIM MENKUL DEGERLER A.S,Financials,INFO.IS,EQ,TREINFM00017
Marti Gayrimenkul Yatirim Ortakligi A.S.,Financials,MRGYO.IS,EQ,TREMRGY00013
Borlease Otomotiv AS,Financials,BORLS.IS,EQ,TREBORL00025
Ihlas Holding A.S.,Financials,IHLAS.IS,EQ,TRAIHLAS91D5
TURKER PROJE GAYRIMENKUL VE YATIRIM GELISTIRME A.S.,Financials,TURGG.IS,EQ,TREMYPG00017
Nurol Gayrimenkul Yatirim Ortakligi A.S.,Financials,NUGYO.IS,EQ,TRANUGYO91Q9
Deniz Gayrimenkul Yatirim Ortakligi A.S.,Financials,DZGYO.IS,EQ,TRADMRYO91Q4
Bati Ege Gayrimenkul Yatirim Ortakligi A.S.,Financials,BEGYO.IS,EQ,TREBTEG00014
Lider Faktoring Anonim Sirketi,Financials,LIDFA.IS,EQ,TRELDFK00016
