Company Name,Industry,Symbol,Series,ISIN Code
MLP Saglik Hizmetleri AS Class B,Health Care,MPARK.IS,EQ,TREMLPC00021
EIS Eczacibasi Ilac  Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.,Health Care,ECILC.IS,EQ,TRAECILC91E0
Gen Ilac ve Saglik Urunleri Sanayi ve Ticaret A.S.,Health Care,GENIL.IS,EQ,TREGENL00024
Kayseri Seker Fabrikasi AS,Health Care,KAYSE.IS,EQ,TREKAYS00018
Deva Holding A.S.,Health Care,DEVA.IS,EQ,TRADEVAW91E2
TAPDI OKSIJEN OZEL SAGLIK VE EGITIM HIZMETLERI SANAYI TICARET A.S.,Health Care,TNZTP.IS,EQ,TRETAPD00019
Nasmed Ozel Saglik Hizmetleri Ticaret A.S.,Health Care,EGEPO.IS,EQ,TRENSMD00029
ONCOSEM ONKOLOJIK SISTEMLER SANAYI VE TICARET A.S.,Health Care,ONCSM.IS,EQ,TREONCO00026
Meditera Tibbi Malzeme Sanayi Ve Ticaret A.S.,Health Care,MEDTR.IS,EQ,TREMDTR00028
Lokman Hekim Engurusag Saglik  Turizm  Egitim Hizmetleri ve Insaat Taahhut A.S.,Health Care,LKMNH.IS,EQ,TRELKMH00013
Anatolia Tani ve Biyoteknoloji Urunleri Arastirma Gelistirme Sanayi ve Ticaret AS,Health Care,ANGEN.IS,EQ,TREANGN00028
Avrupa Yatirim Holding AS,Health Care,AVHOL.IS,EQ,TREBYTS00017
RTA Laboratuvarlari Biyolojik Urunler Ilac ve Makina Sanayi Ticaret A.S.,Health Care,RTALB.IS,EQ,TRERTAL00018
Turk Ilac ve Serum Sanayi AS,Health Care,TRILC.IS,EQ,TRETRLC00022
Seyitler Kimya Sanayi AS,Health Care,SEYKM.IS,EQ,TRESEYT00011
