Company Name,Industry,Symbol,Series,ISIN Code
Aselsan,Industrials,ASELS.IS,EQ,TRAASELS91H2
Enka Insaat,Industrials,ENKAI.IS,EQ,TREENKA00011
Koc Holding,Industrials,KCHOL.IS,EQ,TRAKCHOL91Q8
Turk Hava Yollari (THY),Industrials,THYAO.IS,EQ,TRATHYAO91M5
Astor Enerji,Industrials,ASTOR.IS,EQ,TREASTR00013
Sabanci Holding,Industrials,SAHOL.IS,EQ,TRASAHOL91Q5
OZATA DENIZCILIK SANAYI VE TICARET AS,Industrials,OZATD.IS,EQ,TREOZAT00023
Tav Havalimanlari,Industrials,TAVHL.IS,EQ,TRETAVH00018
Pegasus Hava Tasimaciligi,Industrials,PGSUS.IS,EQ,TREPEGS00016
Pasifik Eurasia Lojistik dis Ticaret AS,Industrials,PASEU.IS,EQ,TREPASF00024
Ral Yatirim Holding A.S.,Industrials,RALYH.IS,EQ,TRABISAS91B7
Selcuk Ecza Deposu Ticaret ve Sanayi A.S.,Industrials,SELEC.IS,EQ,TRESLEC00014
Lydia Holding A.S.,Industrials,LYDHO.IS,EQ,TRAMIPAZ91J8
Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret AS,Industrials,EUPWR.IS,EQ,TREEUPW00019
Gulermak Agir Sanayi Insaat Ve Taahhut A.S.,Industrials,GLRMK.IS,EQ,TREGLRM00010
Tekfen Holding,Industrials,TKFEN.IS,EQ,TRETKHO00012
Reysas Tasimacilik ve Lojistik Ticaret Anonim Sirketi,Industrials,RYSAS.IS,EQ,TREREYS00015
Alarko Holding,Industrials,ALARK.IS,EQ,TRAALARK91Q0
Akfen insaat Turizm ve Ticaret AS,Industrials,AKFIS.IS,EQ,TREAKFI00018
Celebi Hava Servisi A.S.,Industrials,CLEBI.IS,EQ,TRACLEBI91M5
Dogan Holding,Industrials,DOHOL.IS,EQ,TRADOHOL91Q8
Grainturk Holding A.S.,Industrials,GRTHO.IS,EQ,TREGRNT00029
Anel Elektrik Proje Taahhut ve Ticaret A.S.,Industrials,ANELE.IS,EQ,TREAEPT00017
Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret A.S.,Industrials,SARKY.IS,EQ,TRASARKY91G6
Ulusoy Elektrik Imalat Taahhut ve Ticaret AS,Industrials,ULUSE.IS,EQ,TREULET00014
Kirac Galvaniz Telekominikasyon Metal Makine Insaat Elektrik Sanayi Ve Ticaret AS,Industrials,TCKRC.IS,EQ,TREKIRC00019
Kalyon Gunes Teknolojileri Uretim Anonim Sirketi,Industrials,KLYPV.IS,EQ,TREKLYN00024
BMS Birlesik Metal Sanayi ve Ticaret AS Class B,Industrials,BMSTL.IS,EQ,TREBMSM00017
Bin Ulasim Ve Akilli Sehir Teknolojileri AS,Industrials,BINBN.IS,EQ,TREBINU00019
Ege Endustri ve Ticaret A.S.,Industrials,EGEEN.IS,EQ,TRAEGEEN91H5
Bosch Fren Sistemleri Sanayi ve Ticaret A.S.,Industrials,BFREN.IS,EQ,TRABFREN91H5
Ihlas Haber Ajansi SA,Industrials,IHAAS.IS,EQ,TREIHAS00025
Gersan Elektrik Ticaret ve Sanayi A.S.,Industrials,GEREL.IS,EQ,TREGREL00017
Kaleseramik Canakkale Kalebodur Seramik A.S.,Industrials,KLSER.IS,EQ,TREKALE00049
Mobitel Iletisim Nizmetleri Sanayi ve Ticaret A.S,Industrials,MOBTL.IS,EQ,TREMBTL00025
Kuzey Boru A.S.,Industrials,KBORU.IS,EQ,TREKZYB00011
Isik Plastik Sanayi VE Dis Ticaret Pazarlama AS,Industrials,ISKPL.IS,EQ,TREISKP00027
Hareket Proje Tasimaciligi ve Yuk Muhendisligi AS,Industrials,HRKET.IS,EQ,TREHRKT00015
Hat-San Gemi Insaa Bakim Onarim Deniz Nakliyat Sanayi ve Ticaret A.S.,Industrials,HATSN.IS,EQ,TREHTSN00017
Jantsa Jant Sanayi ve Ticaret AS,Industrials,JANTS.IS,EQ,TREJANT00011
Bera Holding AS,Industrials,BERA.IS,EQ,TREKMBH00014
Izmir Firca Sanayi ve Ticaret AS,Industrials,IZFAS.IS,EQ,TREIFIR00016
Tumosan Motor Ve Traktor Sanayi AS,Industrials,TMSN.IS,EQ,TRETUMO00011
Kimteks Poliuretan Sanayi ve Ticaret AS,Industrials,KMPUR.IS,EQ,TREKMPU00017
Ingram Micro Bilisim Sistemleri A.S.,Industrials,INGRM.IS,EQ,TREARMD00010
Europen Endustri Insaat Sanayi ve Ticaret A.S.,Industrials,EUREN.IS,EQ,TREEURN00030
