Company Name,Industry,Symbol,Series,ISIN Code
Odine Solutions Teknoloji Ticaret ve Sanayi AS,Technology,ODINE.IS,EQ,TREODNE00017
GIRISIM ELEKTRIK SANAYI TAAHHUT VE TICARET A.S.,Technology,GESAN.IS,EQ,TREGESN00029
CW ENERJI MUHENDISLIK TICARET VE SANAYI A.S.,Technology,CWENE.IS,EQ,TRECWEN00012
Mia Teknoloji,Technology,MIATK.IS,EQ,TREMIAT00015
ARD Grup Bilisim Teknolojileri AS,Technology,ARDYZ.IS,EQ,TREARDY00023
Altinay Savunma Teknolojileri A.S.,Technology,ALTNY.IS,EQ,TREALTA00014
Pasifik Teknoloji AS,Technology,PATEK.IS,EQ,TREPSFD00010
SDT Uzay ve Savunma Teknolojileri A.S.,Technology,SDTTR.IS,EQ,TRESDTT00013
Logo Yazilim,Technology,LOGO.IS,EQ,TRALOGOW91U2
Hitit Bilgisayar Hizmetleri A.S.,Technology,HTTBT.IS,EQ,TREHTTB00036
1000 Yatirimlar Holding AS,Technology,BINHO.IS,EQ,TREBINH00024
Karel Elektronik Sanayi ve Ticaret SA,Technology,KAREL.IS,EQ,TREKREL00019
Reeder Teknoloji,Technology,REEDR.IS,EQ,TREREED00035
Agrotech Yuksek Teknoloji ve Yatirim AS,Technology,AGROT.IS,EQ,TREAGRT00018
Link Bilgisayar Sistemleri Yazilimi ve Donanimi Sanayi ve Ticaret A.S.,Technology,LINK.IS,EQ,TRALINKW91U8
ATP Yazilim ve Teknoloji AS,Technology,ATATP.IS,EQ,TREATTP00023
FORTE BILGI ILETISIM TEKNOLOJILERI VE SAVUNMA SANAYI A.S.,Technology,FORTE.IS,EQ,TREFRTE00012
Alcatel Lucent Teletas Telekomunikasyon A.S.,Technology,ALCTL.IS,EQ,TRAALCTL91H9
Fonet Bilgi Teknolojileri AS,Technology,FONET.IS,EQ,TREFONT00010
Netas Telekomunikasyon A.S.,Technology,NETAS.IS,EQ,TRANETAS91H6
Onur Yuksek Teknoloji AS,Technology,ONRYT.IS,EQ,TREONRY00015
Escort Teknoloji Yatirim A.S.,Technology,ESCOM.IS,EQ,TRAESCOM91U8
VBT Yazilim AS,Technology,VBTYZ.IS,EQ,TREVBTY00029
PAPILON SAVUNMA TEKNOLOJI VE TICARET A.S,Technology,PAPIL.IS,EQ,TREPAPL00010
Matriks Finansal Teknolojiler A.S.,Technology,MTRKS.IS,EQ,TREMTRK00015
Kafein Yazilim Hizmetleri Ticaret AS,Technology,KFEIN.IS,EQ,TREKFIN00037
MAKIM MAKINA TEKNOLOJILERI SANAYIVE TICARET A.S.,Technology,MAKIM.IS,EQ,TREMAKM00024
Obase Bilgisayar ve Danismanlik Hizmetleri Ticaret A.S.,Technology,OBASE.IS,EQ,TREOBAS00018
Smartiks Yazilim AS,Technology,SMART.IS,EQ,TRESMRT00018
Empa Elektronik Sanayi ve Ticaret A.S.,Technology,EMPAE.IS,EQ,TREEMPA00012
Netcad Yazilim A.S.,Technology,NETCD.IS,EQ,TRENETC00026
