Company Name,Industry,Symbol,Series,ISIN Code
Enerjisa Enerji,Utilities,ENJSA.IS,EQ,TREENSA00014
MARGUN ENERJI URETIM SANAYI VE TICARET A.S.,Utilities,MAGEN.IS,EQ,TREMARN00027
Aksa Enerji,Utilities,AKSEN.IS,EQ,TREAKSN00011
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,Utilities,AHGAZ.IS,EQ,TREAHLA00019
Enerya Enerji A.S.,Utilities,ENERY.IS,EQ,TREENRY00016
YEO Teknoloji Enerji ve Endustri A.S.,Utilities,YEOTK.IS,EQ,TREYEOT00010
Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi AS,Utilities,BASGZ.IS,EQ,TREBSGZ00037
Mogan Enerji Yatirim Holding,Utilities,MOGAN.IS,EQ,TREMOGN00021
AKFEN YENILENEBILIR ENERJI A.S.,Utilities,AKFYE.IS,EQ,TREAKFY00015
Birlesim Grup Enerji Yatirimlari AS,Utilities,BIGEN.IS,EQ,TREBYEN00010
Dogu Aras Enerji Yatirimlari AS,Utilities,ARASE.IS,EQ,TREARAS00039
Izdemir Enerji Elektrik Uretim A.S.,Utilities,IZENR.IS,EQ,TREIZDM00016
ALFA SOLAR ENERJI SANAYI VE TICARET A.S.,Utilities,ALFAS.IS,EQ,TREALFS00023
IC Enterra Yenilenebilir Enerji AS,Utilities,ENTRA.IS,EQ,TREICNT00027
Aydem Yenilenebilir,Utilities,AYDEM.IS,EQ,TREAYDM00024
Tatlipinar Enerji Uretim A.S.,Utilities,TATEN.IS,EQ,TRETATL00022
CAN2 TERMIK A.S.,Utilities,CANTE.IS,EQ,TRECAN200011
Zorlu Enerji,Utilities,ZOREN.IS,EQ,TRAZOREN91L8
GALATA WIND ENERJI A.S.,Utilities,GWIND.IS,EQ,TREGWIN00014
Ayen Enerji A.S.,Utilities,AYEN.IS,EQ,TRAAYENW91L0
Turcas Holding A.S.,Utilities,TRCAS.IS,EQ,TRATRCAS92E6
ODAS Elektrik Uretim Sanayi Ticaret A.S.,Utilities,ODAS.IS,EQ,TREODAS00014
Akenerji Elektrik Uretim A.S.,Utilities,AKENR.IS,EQ,TRAAKENR91L9
BIotrend Cevre ve EnerjI Yatirimlari AS,Utilities,BIOEN.IS,EQ,TREBION00012
Naturelgaz Sanayi Ve Ticaret A.S.,Utilities,NTGAZ.IS,EQ,TRENTGZ00014
Kontrolmatik Teknoloji Enerji ve Muhendislik AS,Utilities,KONTR.IS,EQ,TREKNTR00013
Esenboga Elektrik Uretim AS,Utilities,ESEN.IS,EQ,TREESEN00024
Cates Elektrik Uretim Anonim Sirketi,Utilities,CATES.IS,EQ,TRECATS00015
ARF Bio Yenilenebilir Enerji Uretim AS,Utilities,ARFYE.IS,EQ,TREARFB00018
Hun Yenilenebilir Enerji Uretim AS,Utilities,HUNER.IS,EQ,TREHUNR00025
Pamel Yenilenebilir Elektrik Uretim AS,Utilities,PAMEL.IS,EQ,TREBOMO00012
Aksu Enerji ve Ticaret A.S.,Utilities,AKSUE.IS,EQ,TRAAKSUE91L2
Consus Enerji Isletmeciligi ve Hizmetleri A.S.,Utilities,CONSE.IS,EQ,TRECONS00019
A1 Yenilenebilir Enerji Uretim AS,Utilities,A1YEN.IS,EQ,TREKARY00028
Best Brands Grup Enerji Yatirim as,Utilities,BESTE.IS,EQ,TREBSBR00019
Ecogreen Enerji Holding A.S.,Utilities,ECOGR.IS,EQ,TREECGR00024
