Company Name,Industry,Symbol,Series,ISIN Code
Taiwan Semiconductor,Technology,2330.TW,EQ,TW0002330008
MediaTek,Technology,2454.TW,EQ,TW0002454006
Delta Electronics,Technology,2308.TW,EQ,TW0002308004
Hon Hai Precision,Technology,2317.TW,EQ,TW0002317005
ASE Technology,Technology,3711.TW,EQ,TW0003711008
Yageo,Industrials,2327.TW,EQ,TW0002327004
Elite Material Co.  Ltd.,Technology,2383.TW,EQ,TW0002383007
Fubon Financial,Financials,2881.TW,EQ,TW0002881000
United Microelectronics,Technology,2303.TW,EQ,TW0002303005
Cathay Financial,Financials,2882.TW,EQ,TW0002882008
Quanta Computer,Technology,2382.TW,EQ,TW0002382009
Unimicron Technology Corp.,Technology,3037.TW,EQ,TW0003037008
CTBC Financial,Financials,2891.TW,EQ,TW0002891009
Accton Technology Corporation,Technology,2345.TW,EQ,TW0002345006
Hon. Precision  Inc.,Technology,7769.TW,EQ,TW0007769002
Nanya Technology,Technology,2408.TW,EQ,TW0002408002
Chunghwa Telecom,Communication Services,2412.TW,EQ,TW0002412004
Chroma ATE Inc.,Technology,2360.TW,EQ,TW0002360005
Asia Vital Components Co.  Ltd.,Technology,3017.TW,EQ,TW0003017000
Wiwynn,Technology,6669.TW,EQ,TW0006669005
Yuanta Financial,Financials,2885.TW,EQ,TW0002885001
Nan Ya Plastics,Materials,1303.TW,EQ,TW0001303006
Winbond Electronics Corporation,Technology,2344.TW,EQ,TW0002344009
Taishin Financial,Financials,2887.TW,EQ,TW0002887007
ASPEED Technology Inc.,Technology,5274.TWO,EQ,TW0005274005
Gold Circuit Electronics Ltd.,Technology,2368.TW,EQ,TW0002368008
King Slide Works Co.  Ltd.,Consumer Discretionary,2059.TW,EQ,TW0002059003
Mega Financial,Financials,2886.TW,EQ,TW0002886009
MPI Corporation,Technology,6223.TWO,EQ,TW0006223001
Global Unichip,Technology,3443.TW,EQ,TW0003443008
ASUS (Asustek),Industrials,2357.TW,EQ,TW0002357001
E.SUN Financial,Financials,2884.TW,EQ,TW0002884004
Jentech Precision Industrial Co.  Ltd,Technology,3653.TW,EQ,TW0003653002
Nan Ya Printed Circuit Board Corporation,Technology,8046.TW,EQ,TW0008046004
Largan Precision,Technology,3008.TW,EQ,TW0003008009
Phison Electronics Corp.,Technology,8299.TWO,EQ,TW0008299009
Formosa Petrochemical,Energy,6505.TW,EQ,TW0006505001
Hua Nan Financial,Financials,2880.TW,EQ,TW0002880002
SinoPac Financial,Financials,2890.TW,EQ,TW0002890001
Evergreen Marine,Industrials,2603.TW,EQ,TW0002603008
Lite-On Technology,Technology,2301.TW,EQ,TW0002301009
Wistron,Industrials,3231.TW,EQ,TW0003231007
China Development Financial Holding,Financials,2883.TW,EQ,TW0002883006
First Financial Holding,Financials,2892.TW,EQ,TW0002892007
Uni-President Enterprises,Consumer Staples,1216.TW,EQ,TW0001216000
Taiwan Union Technology Corporation,Technology,6274.TWO,EQ,TW0006274004
GlobalWafers Co.  Ltd.,Technology,6488.TWO,EQ,TW0006488000
Advantech,Technology,2395.TW,EQ,TW0002395001
Far EasTone Telecom,Communication Services,4904.TW,EQ,TW0004904008
Innolux Corporation,Technology,3481.TW,EQ,TW0003481008
Taiwan Cooperative Financial Holding Co.  Ltd.,Financials,5880.TW,EQ,TW0005880009
Taiwan Mobile,Communication Services,3045.TW,EQ,TW0003045001
