Company Name,Industry,Symbol,Series,ISIN Code
Chunghwa Telecom,Communication Services,2412.TW,EQ,TW0002412004
Far EasTone Telecom,Communication Services,4904.TW,EQ,TW0004904008
Taiwan Mobile,Communication Services,3045.TW,EQ,TW0003045001
International Games System Co. Ltd.,Communication Services,3293.TWO,EQ,TW0003293007
Chief Telecom Inc.,Communication Services,6561.TWO,EQ,TW0006561004
Soft-World International Corporation,Communication Services,5478.TWO,EQ,TW0005478002
Wayi International Digital Entertainment Co.  Ltd.,Communication Services,3086.TWO,EQ,TW0003086005
Taiwan Optical Platform Co.  Ltd.,Communication Services,6464.TW,EQ,TW0006464001
ADDCN Technology Co.  Ltd,Communication Services,5287.TWO,EQ,TW0005287007
Gamania Digital Entertainment Co.  Ltd.,Communication Services,6180.TWO,EQ,TW0006180003
HwaCom Systems Inc.,Communication Services,6163.TWO,EQ,TW0006163009
Sunfun Info Co.  Ltd.,Communication Services,5278.TWO,EQ,TW0005278006
Dafeng TV Ltd.,Communication Services,6184.TW,EQ,TW0006184005
X-Legend Entertainment Co.  Ltd.,Communication Services,4994.TW,EQ,TW0004994009
Welldone Company,Communication Services,6170.TWO,EQ,TW0006170004
Star Fusion Group Co.  Ltd.,Communication Services,6111.TWO,EQ,TW0006111008
USERJOY Technology Co. Ltd.,Communication Services,3546.TWO,EQ,TW0003546008
HIM International Music Inc.,Communication Services,8446.TWO,EQ,TW0008446006
B'in Live Co.  Ltd.,Communication Services,6625.TW,EQ,TW0006625007
Fullerton Technology Co.  Ltd.,Communication Services,6136.TW,EQ,TW0006136005
Da Da Broadband Ltd.,Communication Services,7901.TWO,EQ,TW0007901001
Greenet Co.  Ltd.,Communication Services,7842.TWO,EQ,TW0007842007
