Company Name,Industry,Symbol,Series,ISIN Code
King Slide Works Co.  Ltd.,Consumer Discretionary,2059.TW,EQ,TW0002059003
Hotai Motor Co Ltd,Consumer Discretionary,2207.TW,EQ,TW0002207008
Cheng Shin Rubber,Consumer Discretionary,2105.TW,EQ,TW0002105004
Nien Made Enterprise Co.  LTD.,Consumer Discretionary,8464.TW,EQ,TW0008464009
Eclat Textile,Consumer Discretionary,1476.TW,EQ,TW0001476000
momo.com Inc,Consumer Discretionary,8454.TW,EQ,TW0008454000
Feng TAY Enterprise,Consumer Discretionary,9910.TW,EQ,TW0009910000
Pou Chen,Consumer Discretionary,9904.TW,EQ,TW0009904003
APT,Consumer Discretionary,7734.TWO,EQ,TW0007734006
POYA International Co.  Ltd.,Consumer Discretionary,5904.TWO,EQ,TW0005904007
Tong Yang Industry Co.  Ltd.,Consumer Discretionary,1319.TW,EQ,TW0001319002
Makalot Industrial Co Ltd,Consumer Discretionary,1477.TW,EQ,TW0001477008
Ruentex Industries Ltd.,Consumer Discretionary,2915.TW,EQ,TW0002915006
FOXTRON VEHICLE TECHS CO LTD,Consumer Discretionary,2258.TW,EQ,TW0002258001
Sanyang Motor Co.  Ltd.,Consumer Discretionary,2206.TW,EQ,TW0002206000
Taiwan FamilyMart Co.  Ltd.,Consumer Discretionary,5903.TWO,EQ,TW0005903009
Shinkong Synthetic Fibers Corporation,Consumer Discretionary,1409.TW,EQ,TW0001409001
Nan Juen International Co.  Ltd.,Consumer Discretionary,6584.TWO,EQ,TW0006584006
FuSheng Precision Co.  Ltd.,Consumer Discretionary,6670.TW,EQ,TW0006670003
Taiwan Hon Chuan Enterprise Co.  Ltd.,Consumer Discretionary,9939.TW,EQ,TW0009939009
Wiselink Co.  Ltd.,Consumer Discretionary,8932.TWO,EQ,TW0008932005
Johnson Health Tech .Co.  Ltd.,Consumer Discretionary,1736.TW,EQ,TW0001736007
Far Eastern Department Stores  Ltd.,Consumer Discretionary,2903.TW,EQ,TW0002903002
China Motor Corporation,Consumer Discretionary,2204.TW,EQ,TW0002204005
Glotech Industrial Corp.,Consumer Discretionary,5475.TWO,EQ,TW0005475008
Giant Manufacturing,Consumer Discretionary,9921.TW,EQ,TW0009921007
Yulon Motor Co Ltd,Consumer Discretionary,2201.TW,EQ,TW0002201001
Formosa Taffeta Co.  Ltd.,Consumer Discretionary,1434.TW,EQ,TW0001434009
Ton Yi Industrial Corp.,Consumer Discretionary,9907.TW,EQ,TW0009907006
Nankang Rubber Tire Corp. Ltd.,Consumer Discretionary,2101.TW,EQ,TW0002101003
Depo Auto Parts Industrial Co.  Ltd.,Consumer Discretionary,6605.TW,EQ,TW0006605009
Formosa International Hotels Corporation,Consumer Discretionary,2707.TW,EQ,TW0002707007
Merida Industry,Consumer Discretionary,9914.TW,EQ,TW0009914002
Tainan Spinning Co.  Ltd.,Consumer Discretionary,1440.TW,EQ,TW0001440006
Thunder Tiger Corp.,Consumer Discretionary,8033.TW,EQ,TW0008033002
Lungyen Life Service Corporation,Consumer Discretionary,5530.TWO,EQ,TW0005530000
Wowprime Corp.,Consumer Discretionary,2727.TW,EQ,TW0002727005
Shinkong Textile Co.  Ltd.,Consumer Discretionary,1419.TW,EQ,TW0001419000
Pan German Universal Motors Ltd.,Consumer Discretionary,2247.TW,EQ,TW0002247004
Taiwan Sakura Corporation,Consumer Discretionary,9911.TW,EQ,TW0009911008
Global PMX Co.  Ltd.,Consumer Discretionary,4551.TW,EQ,TW0004551007
Baotek Industrial Materials Ltd.,Consumer Discretionary,5340.TWO,EQ,TW0005340004
Kenda Rubber Industrial Co Ltd,Consumer Discretionary,2106.TW,EQ,TW0002106002
