Company Name,Industry,Symbol,Series,ISIN Code
Uni-President Enterprises,Consumer Staples,1216.TW,EQ,TW0001216000
Tingyi (Cayman Islands) Holding Corp.,Consumer Staples,910322.TW,EQ,TW0009103226
President Chain Store,Consumer Staples,2912.TW,EQ,TW0002912003
Great Wall Enterprise Co.  Ltd.,Consumer Staples,1210.TW,EQ,TW0001210003
Charoen Pokphand Enterprise (Taiwan) Co.  Ltd.,Consumer Staples,1215.TW,EQ,TW0001215002
Lian Hwa Foods Corporation,Consumer Staples,1231.TW,EQ,TW0001231009
Standard Foods Corporation,Consumer Staples,1227.TW,EQ,TW0001227007
TTET Union Corporation,Consumer Staples,1232.TW,EQ,TW0001232007
Hey Song Corporation,Consumer Staples,1234.TW,EQ,TW0001234003
TCI Co.  Ltd.,Consumer Staples,8436.TWO,EQ,TW0008436007
Shihlin Paper Corporation,Consumer Staples,1903.TW,EQ,TW0001903003
Yuen Foong Yu Consumer Products Co.  Ltd.,Consumer Staples,6790.TW,EQ,TW0006790009
Ve Wong Corporation,Consumer Staples,1203.TW,EQ,TW0001203008
Tehmag Foods Corporation,Consumer Staples,1264.TWO,EQ,TW0001264000
Taiwan Tea Corporation,Consumer Staples,2913.TW,EQ,TW0002913001
Taisun Enterprise Co.  Ltd.,Consumer Staples,1218.TW,EQ,TW0001218006
Microbio Co.  Ltd.,Consumer Staples,4128.TWO,EQ,TW0004128004
Namchow Holdings Co.  Ltd.,Consumer Staples,1702.TW,EQ,TW0001702009
Formosa Oilseed Processing Co.  Ltd.,Consumer Staples,1225.TW,EQ,TW0001225001
Chung Hwa Food Industrial Co.  Ltd.,Consumer Staples,4205.TWO,EQ,TW0004205000
Taiyen Biotech Co.  Ltd.,Consumer Staples,1737.TW,EQ,TW0001737005
Wei Chuan Foods Corporation,Consumer Staples,1201.TW,EQ,TW0001201002
AGV Products Corporation,Consumer Staples,1217.TW,EQ,TW0001217008
Dr. Wu Skincare Co.  Ltd.,Consumer Staples,6523.TWO,EQ,TW0006523004
Fwusow Industry Co.  Ltd.,Consumer Staples,1219.TW,EQ,TW0001219004
Taiwan Fructose Co.  Ltd.,Consumer Staples,4207.TWO,EQ,TW0004207006
Shiny Brands Group Co.  Ltd.,Consumer Staples,6703.TWO,EQ,TW0006703002
Eagle Cold Storage Enterprise Co.  Ltd.,Consumer Staples,8905.TWO,EQ,TW0008905001
Farcent Enterprise Co.  Ltd.,Consumer Staples,1730.TW,EQ,TW0001730000
Tainan Enterprises Co.  Ltd.,Consumer Staples,1473.TW,EQ,TW0001473007
Bon Fame Co.  Ltd.,Consumer Staples,8433.TWO,EQ,TW0008433004
Maywufa Co.  Ltd.,Consumer Staples,1731.TW,EQ,TW0001731008
Allied Biotech Corp,Consumer Staples,1780.TWO,EQ,TW0001780005
Shin Tai Industry Co. Ltd.,Consumer Staples,1235.TW,EQ,TW0001235000
Ten Ren Tea Co.  Ltd.,Consumer Staples,1233.TW,EQ,TW0001233005
Universal Incorporation,Consumer Staples,1325.TW,EQ,TW0001325009
Hunya Foods Co. Ltd.,Consumer Staples,1236.TW,EQ,TW0001236008
Roo Hsing Co.  Ltd.,Consumer Staples,4414.TW,EQ,TW0004414008
Carnival Industrial Corporation,Consumer Staples,1417.TW,EQ,TW0001417004
Universal Textile Co.  Ltd.,Consumer Staples,1445.TW,EQ,TW0001445005
Dabomb Protein Biotech Corporation,Consumer Staples,6578.TWO,EQ,TW0006578008
Les Enphants Co. Ltd.,Consumer Staples,2911.TW,EQ,TW0002911005
Hakers Enterprise Co.  Ltd.,Consumer Staples,4432.TWO,EQ,TW0004432000
Oceanic Beverages Co.  Inc.,Consumer Staples,1213.TW,EQ,TW0001213007
Vigor Kobo Co.  Ltd.,Consumer Staples,2733.TWO,EQ,TW0002733003
Sea Mild Biotechnology Co.  Ltd.,Consumer Staples,7516.TWO,EQ,TW0007516B19
Speeding Rocket Co.  Ltd.,Consumer Staples,7782.TWO,EQ,TW0007782005
Daiken Biomedical Co.  Ltd.,Consumer Staples,7780.TW,EQ,TW0007780009
KEE Fresh & Safe Foodtech Co.  Ltd.,Consumer Staples,7743.TWO,EQ,TW0007743007
Lucky Royal Co.  Ltd.,Consumer Staples,7791.TW,EQ,TW0007791006
Minson Integration  Inc.,Consumer Staples,7811.TWO,EQ,TW0007811002
Texture Maker Enterprise Co Ltd,Consumer Staples,6963.TWO,EQ,TW0006963002
Yuan Jin Chuang Enterprise Co.  Ltd.,Consumer Staples,7895.TWO,EQ,TW0007895005
Chu Yu Hsiang Co.  Ltd.,Consumer Staples,2760.TWO,EQ,TW0002760006
TSA international Co.  Ltd.,Consumer Staples,7889.TWO,EQ,TW0007889008
Chlitina Holding Limited,Consumer Staples,4137.TW,EQ,
Sunjuice Holdings Co.  Limited,Consumer Staples,1256.TW,EQ,
