Company Name,Industry,Symbol,Series,ISIN Code
Fubon Financial,Financials,2881.TW,EQ,TW0002881000
Cathay Financial,Financials,2882.TW,EQ,TW0002882008
CTBC Financial,Financials,2891.TW,EQ,TW0002891009
Yuanta Financial,Financials,2885.TW,EQ,TW0002885001
Taishin Financial,Financials,2887.TW,EQ,TW0002887007
Mega Financial,Financials,2886.TW,EQ,TW0002886009
E.SUN Financial,Financials,2884.TW,EQ,TW0002884004
Hua Nan Financial,Financials,2880.TW,EQ,TW0002880002
SinoPac Financial,Financials,2890.TW,EQ,TW0002890001
China Development Financial Holding,Financials,2883.TW,EQ,TW0002883006
First Financial Holding,Financials,2892.TW,EQ,TW0002892007
Taiwan Cooperative Financial Holding Co.  Ltd.,Financials,5880.TW,EQ,TW0005880009
Chang Hwa Bank,Financials,2801.TW,EQ,TW0002801008
The Shanghai Commercial & Savings Bank  Ltd.,Financials,5876.TW,EQ,TW0005876007
Taiwan Business Bank  Ltd.,Financials,2834.TW,EQ,TW0002834009
Taichung Commercial Bank Co.  Ltd.,Financials,2812.TW,EQ,TW0002812005
Union Bank of Taiwan,Financials,2838.TW,EQ,TW0002838000
Capital Securities Corporation,Financials,6005.TW,EQ,TW0006005002
President Securities Corporation,Financials,2855.TW,EQ,TW0002855004
Far Eastern International Bank Ltd.,Financials,2845.TW,EQ,TW0002845005
IBF Financial Holdings Co.  Ltd.,Financials,2889.TW,EQ,TW0002889003
Mercuries Life Insurance Company Ltd.,Financials,2867.TW,EQ,TW0002867009
Taiwan Acceptance Corporation,Financials,9941.TW,EQ,TW0009941005
Shinkong Insurance Co.  Ltd.,Financials,2850.TW,EQ,TW0002850005
Hotai Finance Co.  Ltd.,Financials,6592.TW,EQ,TW0006592009
Yuanta Futures Co.  Ltd.,Financials,6023.TWO,EQ,TW0006023005
Central Reinsurance Corporation,Financials,2851.TW,EQ,TW0002851003
O-Bank Co.  Ltd.,Financials,2897.TW,EQ,TW0002897006
EnTie Commercial Bank Co.  Ltd.,Financials,2849.TW,EQ,TW0002849007
China Bills Finance Corporation,Financials,2820.TW,EQ,TW0002820008
