Company Name,Industry,Symbol,Series,ISIN Code
PharmaEssentia Corporation,Health Care,6446.TW,EQ,TW0006446008
CALIWAY BIOPHARMACEUTICALS CO L,Health Care,6919.TW,EQ,TW0006919004
Heron Neutron Medical Corp.,Health Care,7799.TW,EQ,TW0007799009
Lotus Pharmaceutical Co.  Ltd.,Health Care,1795.TW,EQ,TW0001795003
Bora Pharmaceuticals Co.  Ltd.,Health Care,6472.TW,EQ,TW0006472004
Pell Bio-Med Technology Co.  Ltd.,Health Care,6949.TW,EQ,TW0006949001
Lin BioScience  Inc.,Health Care,6696.TWO,EQ,TW0006696008
Center Laboratories  Inc.,Health Care,4123.TWO,EQ,TW0004123005
Pegavision Corporation,Health Care,6491.TW,EQ,TW0006491004
Oneness Biotech Co.  Ltd.,Health Care,4743.TWO,EQ,TW0004743000
Sunmax Biotechnology Co.  Ltd.,Health Care,4728.TWO,EQ,TW0004728001
TTY Biopharm Company Limited,Health Care,4105.TWO,EQ,TW0004105002
Lumosa Therapeutics Co.  Ltd.,Health Care,6535.TWO,EQ,TW0006535008
ScinoPharm Taiwan  Ltd.,Health Care,1789.TW,EQ,TW0001789006
TaiMed Biologics Inc.,Health Care,4147.TWO,EQ,TW0004147004
Grape King Bio Ltd,Health Care,1707.TW,EQ,TW0001707008
YungShin Global Holding Corporation,Health Care,3705.TW,EQ,TW0003705000
Synmosa Biopharma Corporation,Health Care,4114.TWO,EQ,TW0004114004
Medigen Vaccine Biologics Corporation,Health Care,6547.TWO,EQ,TW0006547003
CHO Pharma  Inc.,Health Care,6586.TWO,EQ,TW0006586001
Ever Supreme Bio Technology Co.  Ltd,Health Care,6712.TWO,EQ,TW0006712003
EirGenix Inc.,Health Care,6589.TW,EQ,TW0006589005
Excelsior Medical Co.  Ltd.,Health Care,4104.TW,EQ,TW0004104005
InnoCare Optoelectronics Corporation,Health Care,6861.TW,EQ,TW0006861008
Foresee Pharmaceuticals Co.  Ltd.,Health Care,6576.TWO,EQ,TW0006576002
Visco Vision Inc.,Health Care,6782.TW,EQ,TW0006782006
TaiDoc Technology Corporation,Health Care,4736.TW,EQ,TW0004736004
Handa Pharmaceuticals  Inc.,Health Care,6620.TWO,EQ,TW0006620008
Great Tree Pharmacy Co.  Ltd.,Health Care,6469.TWO,EQ,TW0006469000
Universal Vision Biotechnology Co.  Ltd.,Health Care,3218.TWO,EQ,TW0003218004
Standard Chemical & Pharmaceutical Co.  Ltd.,Health Care,1720.TW,EQ,TW0001720001
Vizionfocus Inc.,Health Care,4771.TW,EQ,TW0004771001
TCM Biotech International Corp.,Health Care,4169.TW,EQ,TW0004169008
United Orthopedic Corporation,Health Care,4129.TWO,EQ,TW0004129002
AP Biosciences  Inc.,Health Care,6945.TWO,EQ,TW0006945009
PharmaEngine  Inc.,Health Care,4162.TWO,EQ,TW0004162003
