Company Name,Industry,Symbol,Series,ISIN Code
Yageo,Industrials,2327.TW,EQ,TW0002327004
ASUS (Asustek),Industrials,2357.TW,EQ,TW0002357001
Evergreen Marine,Industrials,2603.TW,EQ,TW0002603008
Wistron,Industrials,3231.TW,EQ,TW0003231007
Fortune Electric,Industrials,1519.TW,EQ,TW0001519007
United Integrated Services Co.  Ltd.,Industrials,2404.TW,EQ,TW0002404001
Wan Hai Lines,Industrials,2615.TW,EQ,TW0002615002
EVA Airways,Industrials,2618.TW,EQ,TW0002618006
L&K Engineering Co.  Ltd.,Industrials,6139.TW,EQ,TW0006139009
Yang Ming Marine,Industrials,2609.TW,EQ,TW0002609005
TECO Electric & Machinery Co.  Ltd.,Industrials,1504.TW,EQ,TW0001504009
Syntec Technology Co.  Ltd.,Industrials,7750.TW,EQ,TW0007750002
Acter Group Corporation Limited,Industrials,5536.TWO,EQ,TW0005536007
Taiwan High Speed Rail Corp,Industrials,2633.TW,EQ,TW0002633005
China Airlines,Industrials,2610.TW,EQ,TW0002610003
Catcher Technology,Industrials,2474.TW,EQ,TW0002474004
Shihlin Electric & Engineering Corp.,Industrials,1503.TW,EQ,TW0001503001
Hiwin Technologies Corporation,Industrials,2049.TW,EQ,TW0002049004
Acer,Industrials,2353.TW,EQ,TW0002353000
Kaori Heat Treatment Co.  Ltd.,Industrials,8996.TW,EQ,TW0008996000
All Ring Tech Co.  Ltd.,Industrials,6187.TWO,EQ,TW0006187008
Kinik Company,Industrials,1560.TW,EQ,TW0001560001
C Sun Mfg Ltd.,Industrials,2467.TW,EQ,TW0002467008
Solar Applied Materials Technology Corporation,Industrials,1785.TWO,EQ,TW0001785004
Yankey Engineering Co.  Ltd.,Industrials,6691.TW,EQ,TW0006691009
Chung-Hsin Electric and Machinery Manufacturing Corp.,Industrials,1513.TW,EQ,TW0001513000
Voltronic Power Technology Corp.,Industrials,6409.TW,EQ,TW0006409006
Simplo Technology Co.  Ltd.,Industrials,6121.TWO,EQ,TW0006121007
Mega Union Technology Inc.,Industrials,6944.TW,EQ,TW0006944002
Topoint Technology Co.  Ltd.,Industrials,8021.TW,EQ,TW0008021007
Lien Hwa Industrial Holdings Corporation,Industrials,1229.TW,EQ,TW0001229003
Ta Liang Technology Co.  Ltd.,Industrials,3167.TW,EQ,TW0003167003
Dynapack International Technology Corporation,Industrials,3211.TWO,EQ,TW0003211009
Evergreen Aviation Technologies Corporation,Industrials,2645.TW,EQ,TW0002645009
STARLUX Airlines Co.  Ltd.,Industrials,2646.TW,EQ,TW0002646007
Tatung Co.  Ltd.,Industrials,2371.TW,EQ,TW0002371002
Taiwan Cogeneration Corporation,Industrials,8926.TW,EQ,TW0008926007
Ruentex Engineering & Construction Co.  Ltd.,Industrials,2597.TW,EQ,TW0002597002
U-Ming Marine Transport Corporation,Industrials,2606.TW,EQ,TW0002606001
Taiwan Secom Co.  Ltd.,Industrials,9917.TW,EQ,TW0009917005
Longwell Company,Industrials,6290.TWO,EQ,TW0006290000
AcBel Polytech Inc.,Industrials,6282.TW,EQ,TW0006282007
Apex Dynamics  Inc.,Industrials,4583.TW,EQ,TW0004583000
Taiwan Microloops Corp.,Industrials,6831.TW,EQ,TW0006831001
Aerospace Industrial Development Corporation,Industrials,2634.TW,EQ,TW0002634003
Sunonwealth Electric Machine Industry Co.  Ltd.,Industrials,2421.TW,EQ,TW0002421005
Cleanaway Company Limited,Industrials,8422.TW,EQ,TW0008422007
Shin Zu Shing Co.  Ltd.,Industrials,3376.TW,EQ,TW0003376000
CTCI Corporation,Industrials,9933.TW,EQ,TW0009933002
Chicony Power Technology Co.  Ltd.,Industrials,6412.TW,EQ,TW0006412000
Brighton-Best International (Taiwan) Inc.,Industrials,8415.TWO,EQ,TW0008415001
Century Wind Power Co.  Ltd.,Industrials,2072.TW,EQ,TW0002072006
Allis Electric Co. Ltd.,Industrials,1514.TW,EQ,TW0001514008
Mirle Automation Corporation,Industrials,2464.TW,EQ,TW0002464005
Ta Ya Electric Wire & Cable Co.  Ltd.,Industrials,1609.TW,EQ,TW0001609006
Century Iron and Steel Industrial Co. Ltd.,Industrials,9958.TW,EQ,TW0009958009
G-SHANK Enterprise Co.  Ltd.,Industrials,2476.TW,EQ,TW0002476009
Evergreen International Storage & Transport Corporation,Industrials,2607.TW,EQ,TW0002607009
Jiu Han System Technology Co.  Ltd.,Industrials,6903.TWO,EQ,TW0006903008
Tigerair Taiwan Co.  Ltd.,Industrials,6757.TW,EQ,TW0006757008
E&R Engineering Corporation,Industrials,8027.TWO,EQ,TW0008027004
Hwang Chang General Contractor Co.  Ltd,Industrials,2543.TW,EQ,TW0002543006
Nova Technology Corporation,Industrials,6613.TWO,EQ,TW0006613003
Hiwin Mikrosystem Corporation,Industrials,4576.TW,EQ,TW0004576004
Da-Cin Construction Co. Ltd.,Industrials,2535.TW,EQ,TW0002535002
CSBC Corporation,Industrials,2208.TW,EQ,TW0002208006
Group Up Industrial Co.  Ltd.,Industrials,6664.TWO,EQ,TW0006664006
Kindom Development Co.  Ltd.,Industrials,2520.TW,EQ,TW0002520004
GFC. LTD.,Industrials,4506.TWO,EQ,TW0004506001
