Company Name,Industry,Symbol,Series,ISIN Code
Nan Ya Plastics,Materials,1303.TW,EQ,TW0001303006
China Steel,Materials,2002.TW,EQ,TW0002002003
China Steel Corporation,Materials,2002A.TW,EQ,TW0002002A04
Formosa Plastics,Materials,1301.TW,EQ,TW0001301000
Formosa Chemicals,Materials,1326.TW,EQ,TW0001326007
Taiwan Glass Ind. Corp.,Materials,1802.TW,EQ,TW0001802007
Taiwan Cement,Materials,1101.TW,EQ,TW0001101004
Walsin Lihwa Corporation,Materials,1605.TW,EQ,TW0001605004
Far Eastern New Century,Materials,1402.TW,EQ,TW0001402006
Asia Cement,Materials,1102.TW,EQ,TW0001102002
Ta Chen Stainless Pipe Co.  Ltd.,Materials,2027.TW,EQ,TW0002027000
Eternal Materials Co.  Ltd.,Materials,1717.TW,EQ,TW0001717007
Shiny Chemical Industrial Co.  Ltd.,Materials,1773.TW,EQ,TW0001773000
Tung Ho Steel Enterprise Corporation,Materials,2006.TW,EQ,TW0002006004
Taiwan Fertilizer Co.  Ltd.,Materials,1722.TW,EQ,TW0001722007
Nan Pao Resins Chemical Co.  Ltd.,Materials,4766.TW,EQ,TW0004766001
Goldsun Building Materials Co.  Ltd.,Materials,2504.TW,EQ,TW0002504008
YFY Inc.,Materials,1907.TW,EQ,TW0001907004
Taiwan Speciality Chemicals Corporation,Materials,4772.TWO,EQ,TW0004772009
Daxin Materials Corporation,Materials,5234.TW,EQ,TW0005234009
Evergreen Steel Corp.,Materials,2211.TW,EQ,TW0002211000
Feng Hsin Steel Co.  Ltd.,Materials,2015.TW,EQ,TW0002015005
China Petrochemical Development Corporation,Materials,1314.TW,EQ,TW0001314003
Chung Hung Steel Corporation,Materials,2014.TW,EQ,TW0002014008
Yieh Phui Enterprise Co.  Ltd.,Materials,2023.TW,EQ,TW0002023009
Cheng Loong Corporation,Materials,1904.TW,EQ,TW0001904001
Everlight Chemical Industrial Corporation,Materials,1711.TW,EQ,TW0001711000
Qualipoly Chemical Corp.,Materials,4722.TW,EQ,TW0004722004
Double Bond Chemical Ind. Co.  Ltd.,Materials,4764.TW,EQ,TW0004764006
Gloria Material Technology Corp.,Materials,5009.TWO,EQ,TW0005009005
