Company Name,Industry,Symbol,Series,ISIN Code
Highwealth Construction Corp.,Real Estate,2542.TW,EQ,TW0002542008
Ruentex Development,Real Estate,9945.TW,EQ,TW0009945006
Farglory Land Development Co.  Ltd.,Real Estate,5522.TW,EQ,TW0005522007
JSL Construction & Development Co.  Ltd.,Real Estate,2540.TW,EQ,TW0002540002
Sakura Development Co. Ltd,Real Estate,2539.TW,EQ,TW0002539004
Huaku Development Co.  Ltd.,Real Estate,2548.TW,EQ,TW0002548005
Cathay Real Estate Development Co.  Ltd.,Real Estate,2501.TW,EQ,TW0002501004
Run Long Construction Co.  Ltd.,Real Estate,1808.TW,EQ,TW0001808004
Chong Hong Construction Co.  Ltd.,Real Estate,5534.TW,EQ,TW0005534002
Da-Li Development Co. Ltd.,Real Estate,6177.TW,EQ,TW0006177009
YeaShin International Development Co.  Ltd.,Real Estate,5213.TWO,EQ,TW0005213003
Huang Hsiang Construction Corporation,Real Estate,2545.TW,EQ,TW0002545001
Sinyi Realty Inc.,Real Estate,9940.TW,EQ,TW0009940007
King's Town Construction Co.  Ltd.,Real Estate,2524.TW,EQ,TW0002524006
Prince Housing & Development Corp.,Real Estate,2511.TW,EQ,TW0002511003
Yungshin Construction & Development Co. Ltd.,Real Estate,5508.TWO,EQ,TW0005508006
Hi-Yes International Co.  Ltd.,Real Estate,2348.TW,EQ,TW0002348000
Advancetek Enterprise Co. Ltd.,Real Estate,1442.TW,EQ,TW0001442002
Crowell Development Corp.,Real Estate,2528.TW,EQ,TW0002528007
Hung Ching Development & Construction Co. Ltd,Real Estate,2527.TW,EQ,TW0002527009
Hua Yu Lien Development Co.  Ltd,Real Estate,1436.TW,EQ,TW0001436004
Hung Sheng Construction Co.  Ltd.,Real Estate,2534.TW,EQ,TW0002534005
Shin Ruenn development Co.  LTD,Real Estate,6186.TWO,EQ,TW0006186000
Hong Pu Real Estate Development Co.  Ltd.,Real Estate,2536.TW,EQ,TW0002536000
Fu Hua Innovation Co.  Ltd.,Real Estate,3056.TW,EQ,TW0003056008
Kuo Yang Construction Co.  Ltd.,Real Estate,2505.TW,EQ,TW0002505005
Sweeten Real Estate Development Co. Ltd.,Real Estate,5525.TW,EQ,TW0005525000
Jean Co. Ltd,Real Estate,2442.TW,EQ,TW0002442001
First Hotel Company Ltd.,Real Estate,2706.TW,EQ,TW0002706009
Rich Development Co.  Ltd.,Real Estate,5512.TWO,EQ,TW0005512008
GTM Holdings Corporation,Real Estate,1437.TW,EQ,TW0001437002
San Far Property Limited,Real Estate,9946.TW,EQ,TW0009946004
Wan Hwa Enterprise Company Ltd.,Real Estate,2701.TW,EQ,TW0002701000
Fong-Chien Construction Co. LTD.,Real Estate,5523.TWO,EQ,TW0005523005
Sunty Development Co.  LTD,Real Estate,3266.TW,EQ,TW0003266003
Golden Long Teng Development Co.  Ltd.,Real Estate,3188.TWO,EQ,TW0003188009
Fu Yu Property Co.  Ltd.,Real Estate,4907.TWO,EQ,TW0004907001
Kee Tai Properties Co.  Ltd.,Real Estate,2538.TW,EQ,TW0002538006
Sino Horizon Holdings Limited,Real Estate,2923.TW,EQ,
