Company Name,Industry,Symbol,Series,ISIN Code
Taiwan Semiconductor,Technology,2330.TW,EQ,TW0002330008
MediaTek,Technology,2454.TW,EQ,TW0002454006
Delta Electronics,Technology,2308.TW,EQ,TW0002308004
Hon Hai Precision,Technology,2317.TW,EQ,TW0002317005
ASE Technology,Technology,3711.TW,EQ,TW0003711008
Elite Material Co.  Ltd.,Technology,2383.TW,EQ,TW0002383007
United Microelectronics,Technology,2303.TW,EQ,TW0002303005
Quanta Computer,Technology,2382.TW,EQ,TW0002382009
Unimicron Technology Corp.,Technology,3037.TW,EQ,TW0003037008
Accton Technology Corporation,Technology,2345.TW,EQ,TW0002345006
Hon. Precision  Inc.,Technology,7769.TW,EQ,TW0007769002
Nanya Technology,Technology,2408.TW,EQ,TW0002408002
Chroma ATE Inc.,Technology,2360.TW,EQ,TW0002360005
Asia Vital Components Co.  Ltd.,Technology,3017.TW,EQ,TW0003017000
Wiwynn,Technology,6669.TW,EQ,TW0006669005
Winbond Electronics Corporation,Technology,2344.TW,EQ,TW0002344009
ASPEED Technology Inc.,Technology,5274.TWO,EQ,TW0005274005
Gold Circuit Electronics Ltd.,Technology,2368.TW,EQ,TW0002368008
MPI Corporation,Technology,6223.TWO,EQ,TW0006223001
Global Unichip,Technology,3443.TW,EQ,TW0003443008
Jentech Precision Industrial Co.  Ltd,Technology,3653.TW,EQ,TW0003653002
Nan Ya Printed Circuit Board Corporation,Technology,8046.TW,EQ,TW0008046004
Largan Precision,Technology,3008.TW,EQ,TW0003008009
Phison Electronics Corp.,Technology,8299.TWO,EQ,TW0008299009
Lite-On Technology,Technology,2301.TW,EQ,TW0002301009
Taiwan Union Technology Corporation,Technology,6274.TWO,EQ,TW0006274004
GlobalWafers Co.  Ltd.,Technology,6488.TWO,EQ,TW0006488000
Advantech,Technology,2395.TW,EQ,TW0002395001
Innolux Corporation,Technology,3481.TW,EQ,TW0003481008
WinWay Technology Co.  Ltd.,Technology,6515.TW,EQ,TW0006515000
King Yuan Electronics,Technology,2449.TW,EQ,TW0002449006
Kinsus Interconnect Technology Corp.,Technology,3189.TW,EQ,TW0003189007
Realtek Semiconductor,Technology,2379.TW,EQ,TW0002379005
Vanguard International Semiconductor,Technology,5347.TWO,EQ,TW0005347009
Compeq Manufacturing Co.  Ltd.,Technology,2313.TW,EQ,TW0002313004
Novatek Microelectronics,Technology,3034.TW,EQ,TW0003034005
Himax Technologies Inc,Technology,3036.TW,EQ,TW0003036000
Macronix International Co.  Ltd.,Technology,2337.TW,EQ,TW0002337003
Powerchip Semiconductor,Technology,6770.TW,EQ,TW0006770001
Tripod Technology Corporation,Technology,3044.TW,EQ,TW0003044004
Powertech Technology Inc.,Technology,6239.TW,EQ,TW0006239007
Lotes Co.  Ltd.,Technology,3533.TW,EQ,TW0003533006
Pegatron,Technology,4938.TW,EQ,TW0004938006
Inventec,Technology,2356.TW,EQ,TW0002356003
Gigabyte Technology,Technology,2376.TW,EQ,TW0002376001
eMemory Technology Inc.,Technology,3529.TWO,EQ,TW0003529004
E Ink Holdings Inc.,Technology,8069.TWO,EQ,TW0008069006
WIN Semiconductors Corp.,Technology,3105.TWO,EQ,TW0003105003
LandMark Optoelectronics Corporation,Technology,3081.TWO,EQ,TW0003081006
Walsin Technology Corporation,Technology,2492.TW,EQ,TW0002492006
Chenbro Micom Co.  Ltd.,Technology,8210.TW,EQ,TW0008210006
