Company Name,Industry,Symbol,Series,ISIN Code
The Great Taipei Gas Corporation,Utilities,9908.TW,EQ,TW0009908004
ShinHsiung Natural Gas Inc.,Utilities,8908.TWO,EQ,TW0008908005
J&V Energy Technology Co.  Ltd.,Utilities,6869.TW,EQ,TW0006869001
Seetel New Energy Co.  Ltd.,Utilities,7740.TW,EQ,TW0007740003
Shin Hai Gas Corporation,Utilities,9926.TW,EQ,TW0009926006
Hsin Tai Gas Co.  Ltd.,Utilities,8917.TWO,EQ,TW0008917006
Shin Shin Natural Gas Company Limited,Utilities,9918.TW,EQ,TW0009918003
CHWE,Utilities,7752.TWO,EQ,TW0007752008
Ta-Yuan Cogeneration Company Ltd.,Utilities,8931.TWO,EQ,TW0008931007
Foxwell Power Co.  Ltd.,Utilities,6994.TW,EQ,TW0006994007
Hsin Kao Gas Co. Ltd.,Utilities,9931.TW,EQ,TW0009931006
Luxe Green Energy Technology Co.  Ltd,Utilities,1529.TW,EQ,TW0001529006
Zimmite Taiwan Ltd.,Utilities,8435.TWO,EQ,TW0008435009
Teamphon Energy Co.  Ltd.,Utilities,3073.TWO,EQ,TW0003073003
Grand Green Energy Corp.,Utilities,6639.TWO,EQ,TW0006639008
Whole Sun Green Power Co.  Ltd.,Utilities,7897.TWO,EQ,TW0007897001
INA ENERGY,Utilities,6987.TWO,EQ,TW0006987001
Greenrock Energy Co.  Ltd.,Utilities,7833.TWO,EQ,TW0007833006
United Purification Technology Co.  Ltd.,Utilities,6977.TWO,EQ,TW0006977002
Yiho International Co.  Ltd.,Utilities,7590.TWO,EQ,TW0007590B18
KEMFLO INTERNATIONAL CO. LTD.,Utilities,7818.TW,EQ,TW0007818007
