Company Name,Industry,Symbol,Series,ISIN Code
Taiwan Semiconductor,Technology,2330.TW,EQ,
MediaTek,Technology,2454.TW,EQ,
Hon Hai Precision,Technology,2317.TW,EQ,
Delta Electronics,Technology,2308.TW,EQ,
Largan Precision,Technology,3008.TW,EQ,
ASE Technology,Technology,3711.TW,EQ,
Novatek Microelectronics,Technology,3034.TW,EQ,
Realtek Semiconductor,Technology,2379.TW,EQ,
United Microelectronics,Technology,2303.TW,EQ,
eMemory Technology,Technology,3529.TW,EQ,
Wiwynn,Technology,6669.TW,EQ,
Inventec,Technology,2356.TW,EQ,
Quanta Computer,Technology,2382.TW,EQ,
Compal Electronics,Technology,2324.TW,EQ,
Pegatron,Technology,4938.TW,EQ,
Chunghwa Telecom,CommServices,2412.TW,EQ,
Far EasTone Telecom,CommServices,4904.TW,EQ,
Taiwan Mobile,CommServices,3045.TW,EQ,
Cathay Financial,Financials,2882.TW,EQ,
Fubon Financial,Financials,2881.TW,EQ,
Mega Financial,Financials,2886.TW,EQ,
CTBC Financial,Financials,2891.TW,EQ,
E.SUN Financial,Financials,2884.TW,EQ,
China Steel,Materials,2002.TW,EQ,
Formosa Plastics,Materials,1301.TW,EQ,
Formosa Petrochemical,Energy,6505.TW,EQ,
Formosa Chemicals,Materials,1326.TW,EQ,
Nan Ya Plastics,Materials,1303.TW,EQ,
Taiwan Cement,Materials,1101.TW,EQ,
Asia Cement,Materials,1102.TW,EQ,
Uni-President Enterprises,Consumer Staples,1216.TW,EQ,
President Chain Store,Consumer Staples,2912.TW,EQ,
Taiwan Tobacco & Liquor,Consumer Staples,1062.TW,EQ,
Catcher Technology,Industrials,2474.TW,EQ,
Yageo,Industrials,2327.TW,EQ,
Wistron,Industrials,3231.TW,EQ,
Acer,Industrials,2353.TW,EQ,
ASUS (Asustek),Industrials,2357.TW,EQ,
Cheng Shin Rubber,ConsumerDisc,2105.TW,EQ,
Giant Manufacturing,ConsumerDisc,9921.TW,EQ,
Merida Industry,ConsumerDisc,9914.TW,EQ,
Nanya Technology,Technology,2408.TW,EQ,
Powerchip Semiconductor,Technology,6770.TW,EQ,
Vanguard International Semiconductor,Technology,5347.TWO,EQ,
Global Unichip,Technology,3443.TW,EQ,
Parade Technologies,Technology,4966.TWO,EQ,
Alchip Technologies,Technology,3661.TW,EQ,
King Yuan Electronics,Technology,2449.TW,EQ,
Lite-On Technology,Technology,2301.TW,EQ,
Advantech,Technology,2395.TW,EQ,
Synnex Technology,Technology,2347.TW,EQ,
Gigabyte Technology,Technology,2376.TW,EQ,
Micro-Star International,Technology,2377.TW,EQ,
First Financial Holding,Financials,2892.TW,EQ,
Hua Nan Financial,Financials,2880.TW,EQ,
Taishin Financial,Financials,2887.TW,EQ,
SinoPac Financial,Financials,2890.TW,EQ,
Yuanta Financial,Financials,2885.TW,EQ,
Shin Kong Financial,Financials,2888.TW,EQ,
Chang Hwa Bank,Financials,2801.TW,EQ,
Evergreen Marine,Industrials,2603.TW,EQ,
Yang Ming Marine,Industrials,2609.TW,EQ,
Wan Hai Lines,Industrials,2615.TW,EQ,
China Airlines,Industrials,2610.TW,EQ,
EVA Airways,Industrials,2618.TW,EQ,
Eclat Textile,ConsumerDisc,1476.TW,EQ,
Pou Chen,ConsumerDisc,9904.TW,EQ,
Feng TAY Enterprise,ConsumerDisc,9910.TW,EQ,
Ruentex Development,RealEstate,9945.TW,EQ,
Far Eastern New Century,Materials,1402.TW,EQ,
Fortune Electric,Industrials,1519.TW,EQ,
Chailease Holding,Financials,5871.TW,EQ,
