Company Name,Industry,Symbol,Series,ISIN Code
Samsung Electronics Co. Ltd. Sponsored GDR,Technology,BC94.L,EQ,
Samsung Electronics Co. Ltd. Sponsored GDR,Technology,SMSN.L,EQ,
Samsung Electronics Co Ltd Sponsored GDR Pfd,Technology,SMSD.L,EQ,
HSBC Holdings Plc,Financials,HSBA.L,EQ,
AstraZeneca PLC,Health Care,AZN.L,EQ,
Shell Plc,Energy,SHEL.L,EQ,
BHP Group Ltd,Materials,BHP.L,EQ,
Toyota Motor Corp.,Consumer Discretionary,TYT.L,EQ,
TotalEnergies SE,Energy,TTE.L,EQ,
Reliance Industries Ltd Sponsored GDR 144A,Energy,RIGD.L,EQ,
Banco Santander S.A.,Financials,BNC.L,EQ,
Rio Tinto plc,Materials,RIO.L,EQ,
Rolls-Royce Holdings plc,Technology,RR..L,EQ,
British American Tobacco p.l.c.,Consumer Staples,BATS.L,EQ,
Hon Hai Precision Industry Co. Ltd. Sponsored GDR RegS,Technology,HHPD.L,EQ,
Banco Bilbao Vizcaya Argentaria S.A.,Financials,BVA.L,EQ,
Unilever PLC,Consumer Staples,ULVR.L,EQ,
BP PLC,Energy,BP..L,EQ,
GSK plc,Health Care,GSK.L,EQ,
China Yangtze Power Co. Ltd. Sponsored GDR Class A RegS,Utilities,CYPC.L,EQ,
State Bank of India Sponsored GDR RegS,Financials,SBID.L,EQ,
Glencore plc,Industrials,GLEN.L,EQ,
Barclays PLC,Financials,BARC.L,EQ,
National Grid plc,Utilities,NG..L,EQ,
Lloyds Banking Group plc,Financials,LLOY.L,EQ,
BAE Systems plc,Technology,BA..L,EQ,
NatWest Group Plc,Financials,NWG.L,EQ,
RELX PLC,Industrials,REL.L,EQ,
London Stock Exchange Group plc,Industrials,LSEG.L,EQ,
Larsen & Toubro Limited Shs Sponsored Global Depositary Receipt Repr 1 Sh Reg-S,Industrials,LTOD.L,EQ,
Standard Chartered PLC,Financials,STAN.L,EQ,
Compass Group PLC,Consumer Discretionary,CPG.L,EQ,
Anglo American plc,Materials,AAL.L,EQ,
Wheaton Precious Metals Corp,Materials,WPM.L,EQ,
Antofagasta plc,Materials,ANTO.L,EQ,
Cathay Financial Holdings Co. Ltd. Sponsored GDR RegS,Financials,CFHS.L,EQ,
Ferguson Enterprises Inc.,Industrials,FERG.L,EQ,
Diageo plc,Consumer Staples,DGE.L,EQ,
Diageo plc Sponsored ADR,Consumer Staples,DGED.L,EQ,
China Pacific Insurance (Group) Co. Ltd. Sponsored GDR Class A RegS,Financials,CPIC.L,EQ,
