Company Name,Industry,Symbol,Series,ISIN Code
HSBC Holdings,Financials,HSBA,EQ,
Barclays,Financials,BARC,EQ,
Lloyds Banking Group,Financials,LLOY,EQ,
NatWest Group,Financials,NWG,EQ,
Standard Chartered,Financials,STAN,EQ,
Prudential,Financials,PRU,EQ,
Legal & General,Financials,LGEN,EQ,
Aviva,Financials,AV,EQ,
Admiral Group,Financials,ADM,EQ,
Phoenix Group,Financials,PHNX,EQ,
M&G,Financials,MNG,EQ,
Hargreaves Lansdown,Financials,HL,EQ,
St James Place,Financials,STJ,EQ,
Man Group,Financials,EMG,EQ,
Schroders,Financials,SDR,EQ,
London Stock Exchange Group,Financials,LSEG,EQ,
Hiscox,Financials,HSX,EQ,
Beazley,Financials,BEZ,EQ,
Lancashire Holdings,Financials,LRE,EQ,
Close Brothers,Financials,CBG,EQ,
3i Group,Financials,III,EQ,
Intermediate Capital Group,Financials,ICG,EQ,
Quilter,Financials,QLT,EQ,
Investec,Financials,INVP,EQ,
Bridgepoint Group,Financials,BPT,EQ,
Pershing Square Holdings,Financials,PSH,EQ,
abrdn,Financials,ABDN,EQ,
AstraZeneca,Healthcare,AZN,EQ,
GSK,Healthcare,GSK,EQ,
Haleon,Healthcare,HLN,EQ,
Hikma Pharmaceuticals,Healthcare,HIK,EQ,
Smith & Nephew,Healthcare,SN,EQ,
Indivior,Healthcare,INDV,EQ,
Genus,Healthcare,GNS,EQ,
ConvaTec,Healthcare,CTEC,EQ,
Spire Healthcare,Healthcare,SPI,EQ,
Shell,Energy,SHEL,EQ,
BP,Energy,BP,EQ,
Harbour Energy,Energy,HBR,EQ,
Energean,Energy,ENOG,EQ,
Tullow Oil,Energy,TLW,EQ,
Diversified Energy,Energy,DEC,EQ,
Hunting,Energy,HTG,EQ,
Wood Group,Energy,WG,EQ,
Rio Tinto,Materials,RIO,EQ,
Anglo American,Materials,AAL,EQ,
Glencore,Materials,GLEN,EQ,
Antofagasta,Materials,ANTO,EQ,
Fresnillo,Materials,FRES,EQ,
Croda International,Materials,CRDA,EQ,
Mondi,Materials,MNDI,EQ,
Endeavour Mining,Materials,EDV,EQ,
Unilever,Consumer Staples,ULVR,EQ,
Diageo,Consumer Staples,DGE,EQ,
British American Tobacco,Consumer Staples,BATS,EQ,
Imperial Brands,Consumer Staples,IMB,EQ,
Reckitt Benckiser,Consumer Staples,RKT,EQ,
Associated British Foods,Consumer Staples,ABF,EQ,
Tesco,Consumer Staples,TSCO,EQ,
J Sainsbury,Consumer Staples,SBRY,EQ,
Ocado Group,Consumer Staples,OCDO,EQ,
Coca-Cola HBC,Consumer Staples,CCH,EQ,
Cranswick,Consumer Staples,CWK,EQ,
Tate & Lyle,Consumer Staples,TATE,EQ,
Next,ConsumerDisc,NXT,EQ,
Marks & Spencer,ConsumerDisc,MKS,EQ,
Kingfisher,ConsumerDisc,KGF,EQ,
InterContinental Hotels,ConsumerDisc,IHG,EQ,
Whitbread,ConsumerDisc,WTB,EQ,
Burberry Group,ConsumerDisc,BRBY,EQ,
JD Sports Fashion,ConsumerDisc,JD,EQ,
Dunelm Group,ConsumerDisc,DNLM,EQ,
Halfords Group,ConsumerDisc,HFD,EQ,
TUI AG,ConsumerDisc,TUI,EQ,
On The Beach,ConsumerDisc,OTB,EQ,
Entain,ConsumerDisc,ENT,EQ,
Flutter Entertainment,ConsumerDisc,FLTR,EQ,
Frasers Group,ConsumerDisc,FRAS,EQ,
Currys,ConsumerDisc,CURY,EQ,
WH Smith,ConsumerDisc,SMWH,EQ,
Greggs,ConsumerDisc,GRG,EQ,
Mitchells & Butlers,ConsumerDisc,MAB,EQ,
Wetherspoon,ConsumerDisc,JDW,EQ,
Vodafone,CommServices,VOD,EQ,
BT Group,CommServices,BT-A,EQ,
WPP,CommServices,WPP,EQ,
Informa,CommServices,INF,EQ,
Pearson,CommServices,PSON,EQ,
ITV,CommServices,ITV,EQ,
Future,CommServices,FUTR,EQ,
Airtel Africa,CommServices,AAF,EQ,
BAE Systems,Industrials,BA,EQ,
Rolls-Royce,Industrials,RR,EQ,
Compass Group,Industrials,CPG,EQ,
Rentokil Initial,Industrials,RTO,EQ,
Ferguson,Industrials,FERG,EQ,
DCC,Industrials,DCC,EQ,
QinetiQ,Industrials,QQ,EQ,
IMI,Industrials,IMI,EQ,
Spirax-Sarco Engineering,Industrials,SPX,EQ,
Weir Group,Industrials,WEIR,EQ,
Diploma,Industrials,DPLM,EQ,
Travis Perkins,Industrials,TPK,EQ,
Grafton Group,Industrials,GFTU,EQ,
Morgan Sindall,Industrials,MGNS,EQ,
Balfour Beatty,Industrials,BBY,EQ,
Serco Group,Industrials,SRP,EQ,
Smiths Group,Industrials,SMIN,EQ,
Melrose Industries,Industrials,MRO,EQ,
Bunzl,Industrials,BNZL,EQ,
Babcock International,Industrials,BAB,EQ,
Howden Joinery,Industrials,HWDN,EQ,
Ashtead Group,Industrials,AHT,EQ,
Intertek Group,Industrials,ITRK,EQ,
RS Group,Industrials,RS1,EQ,
Marshalls,Industrials,MSLH,EQ,
RELX,Technology,REL,EQ,
Experian,Technology,EXPN,EQ,
Sage Group,Technology,SGE,EQ,
Auto Trader Group,Technology,AUTO,EQ,
Rightmove,Technology,RMV,EQ,
Halma,Technology,HLMA,EQ,
Spectris,Technology,SXS,EQ,
Oxford Instruments,Technology,OXIG,EQ,
GB Group,Technology,GBG,EQ,
Kainos Group,Technology,KNOS,EQ,
Softcat,Technology,SCT,EQ,
Computacenter,Technology,CCC,EQ,
Segro,RealEstate,SGRO,EQ,
British Land,RealEstate,BLND,EQ,
Land Securities,RealEstate,LAND,EQ,
Persimmon,RealEstate,PSN,EQ,
Taylor Wimpey,RealEstate,TW,EQ,
Barratt Redrow,RealEstate,BTRW,EQ,
Bellway,RealEstate,BWY,EQ,
Berkeley Group,RealEstate,BKG,EQ,
Unite Group,RealEstate,UTG,EQ,
Tritax Big Box,RealEstate,BBOX,EQ,
Derwent London,RealEstate,DLN,EQ,
Safestore Holdings,RealEstate,SAFE,EQ,
National Grid,Utilities,NG,EQ,
SSE,Utilities,SSE,EQ,
Centrica,Utilities,CNA,EQ,
United Utilities,Utilities,UU,EQ,
Severn Trent,Utilities,SVT,EQ,
Pennon Group,Utilities,PNN,EQ,
Drax Group,Utilities,DRX,EQ,
