Company Name,Industry,Symbol,Series,ISIN Code
Toyota Motor Corp.,Consumer Discretionary,TYT.L,EQ,
Compass Group PLC,Consumer Discretionary,CPG.L,EQ,
Mahindra & Mahindra Ltd. Sponsored GDR RegS,Consumer Discretionary,MHID.L,EQ,
Tesco PLC,Consumer Discretionary,TSCO.L,EQ,
LG Electronics Inc. Sponsored GDR Pfd 144A,Consumer Discretionary,LGLD.L,EQ,
InterContinental Hotels Group PLC,Consumer Discretionary,IHG.L,EQ,
Flutter Entertainment Plc,Consumer Discretionary,FLTR.L,EQ,
Marks and Spencer Group plc,Consumer Discretionary,MKS.L,EQ,
Pearson PLC,Consumer Discretionary,PSON.L,EQ,
J Sainsbury plc,Consumer Discretionary,SBRY.L,EQ,
Games Workshop Group PLC,Consumer Discretionary,GAW.L,EQ,
Kingfisher Plc,Consumer Discretionary,KGF.L,EQ,
Howden Joinery Group PLC,Consumer Discretionary,HWDN.L,EQ,
JD Sports Fashion Plc,Consumer Discretionary,JD..L,EQ,
Whitbread PLC,Consumer Discretionary,WTB.L,EQ,
DFI Retail Group Holdings Limited,Consumer Discretionary,DFI.L,EQ,
Barratt Redrow plc,Consumer Discretionary,BTRW.L,EQ,
Entain PLC,Consumer Discretionary,ENT.L,EQ,
Persimmon Plc,Consumer Discretionary,PSN.L,EQ,
Berkeley Group Holdings plc,Consumer Discretionary,BKG.L,EQ,
Frasers Group PLC,Consumer Discretionary,FRAS.L,EQ,
ITV PLC,Consumer Discretionary,ITV.L,EQ,
Canal+ SA,Consumer Discretionary,CAN.L,EQ,
Taylor Wimpey plc,Consumer Discretionary,TW..L,EQ,
Jet2 PLC,Consumer Discretionary,JET2.L,EQ,
B&M European Value Retail PLC,Consumer Discretionary,BME.L,EQ,
Bellway p.l.c.,Consumer Discretionary,BWY.L,EQ,
Ocado Group PLC,Consumer Discretionary,OCDO.L,EQ,
Watches of Switzerland Group PLC,Consumer Discretionary,WOSG.L,EQ,
Grafton Group Plc,Consumer Discretionary,GFTU.L,EQ,
Dunelm Group plc,Consumer Discretionary,DNLM.L,EQ,
Mitchells & Butlers plc,Consumer Discretionary,MAB.L,EQ,
SSP Group Plc,Consumer Discretionary,SSPG.L,EQ,
Cairn Homes PLC,Consumer Discretionary,CRN.L,EQ,
Glenveagh Properties Plc,Consumer Discretionary,GLV.L,EQ,
Vistry Group PLC,Consumer Discretionary,VTY.L,EQ,
PPHE Hotel Group Limited,Consumer Discretionary,PPH.L,EQ,
Trainline Plc,Consumer Discretionary,TRN.L,EQ,
Pets At Home Group Plc,Consumer Discretionary,PETS.L,EQ,
Saga plc,Consumer Discretionary,SAGA.L,EQ,
Domino's Pizza Group plc,Consumer Discretionary,DOM.L,EQ,
WH Smith PLC,Consumer Discretionary,SMWH.L,EQ,
J D Wetherspoon plc,Consumer Discretionary,JDW.L,EQ,
