Company Name,Industry,Symbol,Series,ISIN Code
British American Tobacco p.l.c.,Consumer Staples,BATS.L,EQ,
Unilever PLC,Consumer Staples,ULVR.L,EQ,
Diageo plc,Consumer Staples,DGE.L,EQ,
Diageo plc Sponsored ADR,Consumer Staples,DGED.L,EQ,
Coca-Cola Europacific Partners plc,Consumer Staples,CCEP.L,EQ,
Reckitt Benckiser Group plc,Consumer Staples,RKT.L,EQ,
Imperial Brands PLC,Consumer Staples,IMB.L,EQ,
Coca-Cola HBC AG,Consumer Staples,CCH.L,EQ,
Next plc,Consumer Staples,NXT.L,EQ,
Associated British Foods plc,Consumer Staples,ABF.L,EQ,
Kerry Group Plc Class A,Consumer Staples,KYGA.L,EQ,
Magnum Ice Cream Co. N.V.,Consumer Staples,MICC.L,EQ,
Glanbia Plc,Consumer Staples,GLB.L,EQ,
Burberry Group plc,Consumer Staples,BRBY.L,EQ,
Cranswick plc,Consumer Staples,CWK.L,EQ,
Tate & Lyle PLC,Consumer Staples,TATE.L,EQ,
Greggs plc,Consumer Staples,GRG.L,EQ,
Premier Foods plc,Consumer Staples,PFD.L,EQ,
Greencore Group Plc,Consumer Staples,GNC.L,EQ,
Fevertree Drinks PLC,Consumer Staples,FEVR.L,EQ,
A.G. BARR p.l.c.,Consumer Staples,BAG.L,EQ,
Dr. Martens Plc,Consumer Staples,DOCS.L,EQ,
Hilton Food Group plc,Consumer Staples,HFG.L,EQ,
PZ Cussons Plc,Consumer Staples,PZC.L,EQ,
C&C Group Plc,Consumer Staples,CCR.L,EQ,
Nichols plc,Consumer Staples,NICL.L,EQ,
McBride plc,Consumer Staples,MCB.L,EQ,
Mulberry Group plc,Consumer Staples,MUL.L,EQ,
Cake Box Holdings Plc,Consumer Staples,CBOX.L,EQ,
Chapel Down Group plc,Consumer Staples,CDGP.L,EQ,
IG Design Group plc,Consumer Staples,IGR.L,EQ,
Shepherd Neame Limited Class A,Consumer Staples,SHEP.L,EQ,
Fevara PLC,Consumer Staples,FVA.L,EQ,
Volvere plc,Consumer Staples,VLE.L,EQ,
Naked Wines plc,Consumer Staples,WINE.L,EQ,
Revolution Beauty Group plc,Consumer Staples,REVB.L,EQ,
Shoe Zone PLC,Consumer Staples,SHOE.L,EQ,
Potter & Moore Plc,Consumer Staples,PAM.L,EQ,
Mothercare plc,Consumer Staples,MTC.L,EQ,
Adnams PLC Class B,Consumer Staples,ADB.L,EQ,
Dekel Agri-Vision Plc,Consumer Staples,DKL.L,EQ,
Ukrproduct Group Ltd,Consumer Staples,UKR.L,EQ,
Wellnex Life Ltd,Consumer Staples,WNX.L,EQ,
Distil PLC,Consumer Staples,DIS.L,EQ,
Princes Group Plc,Consumer Staples,PRN.L,EQ,
