Company Name,Industry,Symbol,Series,ISIN Code
Shell Plc,Energy,SHEL.L,EQ,
TotalEnergies SE,Energy,TTE.L,EQ,
Reliance Industries Ltd Sponsored GDR 144A,Energy,RIGD.L,EQ,
BP PLC,Energy,BP..L,EQ,
Harbour Energy Plc,Energy,HBR.L,EQ,
Ithaca Energy PLC,Energy,ITH.L,EQ,
Oil & Gas Development Co. Ltd. Sponsored GDR RegS,Energy,OGDC.L,EQ,
Seplat Energy PLC,Energy,SEPL.L,EQ,
Energean Plc,Energy,ENOG.L,EQ,
Kosmos Energy Ltd.,Energy,KOS.L,EQ,
Serica Energy PLC,Energy,SQZ.L,EQ,
Diversified Energy Company,Energy,DEC.L,EQ,
Rockhopper Exploration plc,Energy,RKH.L,EQ,
VAALCO Energy Inc.,Energy,EGY.L,EQ,
Gulf Keystone Petroleum Limited,Energy,GKP.L,EQ,
EnQuest PLC,Energy,ENQ.L,EQ,
PetroTal Corp.,Energy,PTAL.L,EQ,
Pantheon Resources plc,Energy,PANR.L,EQ,
Tullow Oil plc,Energy,TLW.L,EQ,
Capricorn Energy PLC,Energy,CNE.L,EQ,
Gran Tierra Energy Inc.,Energy,GTE.L,EQ,
Eco (Atlantic) Oil & Gas Ltd.,Energy,ECO.L,EQ,
Jadestone Energy PLC,Energy,JSE.L,EQ,
Afentra PLC,Energy,AET.L,EQ,
GreenX Metals Limited,Energy,GRX.L,EQ,
Genel Energy PLC,Energy,GENL.L,EQ,
Pulsar Helium Inc.,Energy,PLSR.L,EQ,
Sintana Energy Inc.,Energy,SEI.L,EQ,
Savannah Energy Plc,Energy,SAVE.L,EQ,
Pharos Energy PLC,Energy,PHAR.L,EQ,
Aminex Plc,Energy,AEX.L,EQ,
Borders & Southern Petroleum plc,Energy,BOR.L,EQ,
Arrow Exploration Corp.,Energy,AXL.L,EQ,
Helix Exploration Plc,Energy,HEX.L,EQ,
Zephyr Energy PLC,Energy,ZPHR.L,EQ,
Helium One Global Limited,Energy,HE1.L,EQ,
Upland Resources Ltd,Energy,UPL.L,EQ,
Caspian Sunrise PLC,Energy,CASP.L,EQ,
Chariot Limited,Energy,CHAR.L,EQ,
Enwell Energy plc,Energy,ENW.L,EQ,
Zenith Energy Ltd.,Energy,ZEN.L,EQ,
Star Energy Group PLC,Energy,STAR.L,EQ,
Jersey Oil & Gas PLC,Energy,JOG.L,EQ,
Touchstone Exploration Inc,Energy,TXP.L,EQ,
Petro Matad Limited,Energy,MATD.L,EQ,
Parkmead Group PLC,Energy,PMG.L,EQ,
GCM Resources plc,Energy,GCM.L,EQ,
Prospex Energy Plc,Energy,PXEN.L,EQ,
Block Energy Plc,Energy,BLOE.L,EQ,
Southern Energy Corp.,Energy,SOUC.L,EQ,
Reabold Resources plc,Energy,RBD.L,EQ,
Quantum Helium Limited,Energy,QHE.L,EQ,
Orcadian Energy Plc,Energy,ORCA.L,EQ,
Cadogan Energy Solutions PLC,Energy,CAD.L,EQ,
United Oil & Gas Plc,Energy,UOG.L,EQ,
Tower Resources plc,Energy,TRP.L,EQ,
Oracle Power PLC,Energy,ORCP.L,EQ,
Fenikso Ltd,Energy,FNK.L,EQ,
GEO Exploration Limited,Energy,GEO.L,EQ,
Deltic Energy Plc,Energy,DELT.L,EQ,
Sunda Energy PLC,Energy,SNDA.L,EQ,
Nostrum Oil & Gas Plc,Energy,NOG.L,EQ,
Union Jack Oil Plc,Energy,UJO.L,EQ,
Contango Holdings Plc,Energy,CGO.L,EQ,
Ascent Resources plc,Energy,AST.L,EQ,
Beacon Energy PLC,Energy,BCE.L,EQ,
Sound Energy plc,Energy,SOU.L,EQ,
Coro Energy Plc,Energy,CORO.L,EQ,
Empyrean Energy PLC,Energy,EME.L,EQ,
Wildcat Gold Plc,Energy,WCAT.L,EQ,
Lansdowne Resources Plc,Energy,LRES.L,EQ,
Nativo Resources PLC,Energy,NTVO.L,EQ,
Buccaneer Energy PLC,Energy,BUCE.L,EQ,
Petrel Resources Plc,Energy,PET.L,EQ,
Synergia Energy Ltd,Energy,SYN.L,EQ,
TomCo Energy plc,Energy,TOM.L,EQ,
ADM Energy plc,Energy,ADME.L,EQ,
Rift Helium plc,Energy,RIFT.L,EQ,
Switch Metals Plc,Energy,SWT.L,EQ,
