Company Name,Industry,Symbol,Series,ISIN Code
HSBC Holdings Plc,Financials,HSBA.L,EQ,
Banco Santander S.A.,Financials,BNC.L,EQ,
Banco Bilbao Vizcaya Argentaria S.A.,Financials,BVA.L,EQ,
State Bank of India Sponsored GDR RegS,Financials,SBID.L,EQ,
Barclays PLC,Financials,BARC.L,EQ,
Lloyds Banking Group plc,Financials,LLOY.L,EQ,
NatWest Group Plc,Financials,NWG.L,EQ,
Standard Chartered PLC,Financials,STAN.L,EQ,
Cathay Financial Holdings Co. Ltd. Sponsored GDR RegS,Financials,CFHS.L,EQ,
China Pacific Insurance (Group) Co. Ltd. Sponsored GDR Class A RegS,Financials,CPIC.L,EQ,
Axis Bank Limited Sponsored GDR RegS,Financials,AXB.L,EQ,
OTP Bank Nyrt Sponsored GDR RegS,Financials,OTPD.L,EQ,
Sunbelt Rentals Holdings Inc,Financials,SUNB.L,EQ,
Prudential plc,Financials,PRU.L,EQ,
AIB Group plc,Financials,AIBG.L,EQ,
Aviva plc,Financials,AV..L,EQ,
Huatai Securities Co. Ltd. GDR Class A RegS,Financials,HTSC.L,EQ,
Legal & General Group Plc,Financials,LGEN.L,EQ,
Bank of Ireland Group Plc,Financials,BIRG.L,EQ,
Hongkong Land Holdings Limited,Financials,HKLD.L,EQ,
Admiral Group plc,Financials,ADM.L,EQ,
SEGRO plc,Financials,SGRO.L,EQ,
Schroders PLC,Financials,SDR.L,EQ,
Standard Life plc,Financials,SDLF.L,EQ,
Beazley Plc,Financials,BEZ.L,EQ,
M&G Plc,Financials,MNG.L,EQ,
Halyk Bank of Kazakhstan Joint Stock Company Sponsored GDR RegS,Financials,HSBK.L,EQ,
Commercial International Bank - Egypt (CIB) S.A.E. Sponsored GDR RegS,Financials,CBKD.L,EQ,
St. James's Place Plc,Financials,STJ.L,EQ,
IG Group Holdings plc,Financials,IGG.L,EQ,
Bank Muscat SAOG Sponsored GDR,Financials,BKM.L,EQ,
Federal Bank Ltd. (India) Sponsored GDR,Financials,FEDS.L,EQ,
Hiscox Ltd,Financials,HSX.L,EQ,
Investec plc,Financials,INVP.L,EQ,
ICG plc,Financials,ICG.L,EQ,
Land Securities Group PLC,Financials,LAND.L,EQ,
Lion Finance Group PLC,Financials,BGEO.L,EQ,
Aberdeen Group plc,Financials,ABDN.L,EQ,
Ninety One Plc,Financials,N91.L,EQ,
LondonMetric Property Plc,Financials,LMP.L,EQ,
Zegona Communications Plc,Financials,ZEG.L,EQ,
British Land Company PLC,Financials,BLND.L,EQ,
Nova Ljubljanska banka d.d. Sponsored GDR RegS,Financials,NLB.L,EQ,
Commercial Bank (Q.S.C.) Sponsored GDR RegS,Financials,CBQS.L,EQ,
Man Group PLC,Financials,EMG.L,EQ,
Plus500 Ltd.,Financials,PLUS.L,EQ,
Fermi Inc.,Financials,FRMI.L,EQ,
Zenith Bank PLC Sponsored GDR RegS,Financials,ZENB.L,EQ,
United Bank Limited Sponsored GDR RegS,Financials,UBLS.L,EQ,
UNITE Group plc,Financials,UTG.L,EQ,
Old Mutual Ltd.,Financials,OMU.L,EQ,
Guaranty Trust Holding Company Plc,Financials,GTCO.L,EQ,
Shaftesbury Capital PLC,Financials,SHC.L,EQ,
Quilter Plc,Financials,QLT.L,EQ,
TBC Bank Group Plc,Financials,TBCG.L,EQ,
AJ Bell Plc,Financials,AJB.L,EQ,
Primary Health Properties PLC,Financials,PHP.L,EQ,
JTC Plc,Financials,JTC.L,EQ,
TP ICAP Group plc,Financials,TCAP.L,EQ,
Bridgepoint Group Plc,Financials,BPT.L,EQ,
Rathbones Group PLC,Financials,RAT.L,EQ,
Derwent London plc,Financials,DLN.L,EQ,
Hammerson plc,Financials,HMSO.L,EQ,
OSB Group PLC,Financials,OSB.L,EQ,
Big Yellow Group PLC,Financials,BYG.L,EQ,
Shawbrook Group Plc,Financials,SHAW.L,EQ,
Sirius Real Estate Limited,Financials,SRE.L,EQ,
Lancashire Holdings Limited,Financials,LRE.L,EQ,
Paragon Banking Group PLC,Financials,PAG.L,EQ,
permanent tsb Group Holdings PLC,Financials,PTSB.L,EQ,
Nationwide Building Society,Financials,NBS.L,EQ,
Georgia Capital Plc,Financials,CGEO.L,EQ,
Safestore Holdings plc,Financials,SAFE.L,EQ,
Ashmore Group plc,Financials,ASHM.L,EQ,
CMC Markets Plc,Financials,CMCX.L,EQ,
Great Portland Estates plc,Financials,GPE.L,EQ,
Savills plc,Financials,SVS.L,EQ,
Grainger plc,Financials,GRI.L,EQ,
Dar Global Plc,Financials,DAR.L,EQ,
Metro Bank Holdings Plc,Financials,MTRO.L,EQ,
Supermarket Income REIT Plc,Financials,SUPR.L,EQ,
ZIGUP PLC,Financials,ZIG.L,EQ,
Polar Capital Holdings Plc,Financials,POLR.L,EQ,
Chesnara Plc,Financials,CSN.L,EQ,
Burford Capital Limited,Financials,BUR.L,EQ,
Close Brothers Group plc,Financials,CBG.L,EQ,
Workspace Group PLC,Financials,WKP.L,EQ,
XPS Pensions Group Plc,Financials,XPS.L,EQ,
Hansa Investment Company Ltd Registered A Non-Voting,Financials,HANA.L,EQ,
Hansa Investment Company Ltd,Financials,HAN.L,EQ,
Conduit Holdings Ltd.,Financials,CRE.L,EQ,
International Personal Finance plc,Financials,IPF.L,EQ,
EFG Holding S.A.E. Sponsored GDR RegS,Financials,EFGD.L,EQ,
Pollen Street Group Limited,Financials,POLN.L,EQ,
Custodian Property Income REIT plc,Financials,CREI.L,EQ,
Harworth Group PLC,Financials,HWG.L,EQ,
Funding Circle Holdings Plc,Financials,FCH.L,EQ,
Sabre Insurance Group Plc,Financials,SBRE.L,EQ,
Picton Property Income Limited,Financials,PCTN.L,EQ,
Tatton Asset Management Plc,Financials,TAM.L,EQ,
Mountview Estates P.L.C.,Financials,MTVW.L,EQ,
NewRiver REIT plc,Financials,NRR.L,EQ,
