Company Name,Industry,Symbol,Series,ISIN Code
AstraZeneca PLC,Health Care,AZN.L,EQ,
GSK plc,Health Care,GSK.L,EQ,
Haleon PLC,Health Care,HLN.L,EQ,
Smith & Nephew plc,Health Care,SN..L,EQ,
ConvaTec Group Plc,Health Care,CTEC.L,EQ,
Hikma Pharmaceuticals Plc,Health Care,HIK.L,EQ,
HUTCHMED (China) Limited,Health Care,HCM.L,EQ,
Spire Healthcare Group PLC,Health Care,SPI.L,EQ,
CVS Group plc,Health Care,CVSG.L,EQ,
Oxford BioMedica plc,Health Care,OXB.L,EQ,
Applied Nutrition PLC,Health Care,APN.L,EQ,
Allergy Therapeutics plc,Health Care,AGY.L,EQ,
Advanced Medical Solutions Group plc,Health Care,AMS.L,EQ,
PureTech Health PLC,Health Care,PRTC.L,EQ,
NIOX Group Plc,Health Care,NIOX.L,EQ,
Integrated Diagnostics Holdings Plc,Health Care,IDHC.L,EQ,
Scancell Holdings Plc,Health Care,SCLP.L,EQ,
Animalcare Group PLC,Health Care,ANCR.L,EQ,
Tristel Plc,Health Care,TSTL.L,EQ,
Diaceutics Plc,Health Care,DXRX.L,EQ,
EKF Diagnostics Holdings plc,Health Care,EKF.L,EQ,
Faron Pharmaceuticals Oy,Health Care,FARN.L,EQ,
Bioventix Plc,Health Care,BVXP.L,EQ,
Inspecs Group Plc,Health Care,SPEC.L,EQ,
Venture Life Group Plc,Health Care,VLG.L,EQ,
Ondine Biomedical Inc.,Health Care,OBI.L,EQ,
Shield Therapeutics Plc,Health Care,STX.L,EQ,
Eco Animal Health Group PLC,Health Care,EAH.L,EQ,
Creo Medical Group Plc,Health Care,CREO.L,EQ,
AOTI Inc.,Health Care,AOTI.L,EQ,
Poolbeg Pharma PLC,Health Care,POLB.L,EQ,
Kooth PLC,Health Care,KOO.L,EQ,
Kromek Group Plc,Health Care,KMK.L,EQ,
HemoGenyx Pharmaceuticals Plc,Health Care,HEMO.L,EQ,
Coiled Therapeutics Plc,Health Care,COIL.L,EQ,
EDX Medical Group PLC,Health Care,EDX.L,EQ,
Abingdon Health Plc,Health Care,ABDX.L,EQ,
Novacyt S.A.,Health Care,NCYT.L,EQ,
ImmuPharma plc,Health Care,IMM.L,EQ,
Arecor Therapeutics PLC,Health Care,AREC.L,EQ,
SkinBioTherapeutics Plc,Health Care,SBTX.L,EQ,
Provexis PLC,Health Care,PXS.L,EQ,
Inspiration Healthcare Group PLC,Health Care,IHC.L,EQ,
Genedrive Plc,Health Care,GDR.L,EQ,
Aptamer Group Plc,Health Care,APTA.L,EQ,
Fusion Antibodies Plc,Health Care,FAB.L,EQ,
EMV Capital PLC,Health Care,EMVC.L,EQ,
Cizzle Biotechnology Holdings PLC,Health Care,CIZ.L,EQ,
RUA Life Sciences Plc,Health Care,RUA.L,EQ,
Genflow Biosciences Plc,Health Care,GENF.L,EQ,
Probiotix Health Plc,Health Care,PBX.L,EQ,
Oxford BioDynamics Plc,Health Care,OBD.L,EQ,
Mendell Helium Plc,Health Care,MDH.L,EQ,
OptiBiotix Health PLC,Health Care,OPTI.L,EQ,
Cardiogeni Plc,Health Care,CGNI.L,EQ,
Verici Dx Plc,Health Care,VRCI.L,EQ,
Proteome Sciences plc,Health Care,PRM.L,EQ,
Thalia Therapeutics PLC,Health Care,THAT.L,EQ,
TheraCryf PLC,Health Care,TCF.L,EQ,
Surgical Innovations Group plc,Health Care,SUN.L,EQ,
Astrid Intelligence PLC,Health Care,ASTR.L,EQ,
Cambridge Nutritional Sciences PLC,Health Care,CNSL.L,EQ,
Nuformix Plc,Health Care,NFX.L,EQ,
Futura Medical plc,Health Care,FUM.L,EQ,
Metir plc,Health Care,MET.L,EQ,
Incanthera Plc,Health Care,INC.L,EQ,
ValiRx PLC,Health Care,VAL.L,EQ,
Chill Brands Group PLC,Health Care,CHLL.L,EQ,
Gunsynd plc,Health Care,GUN.L,EQ,
TSP Advanced Technologies plc,Health Care,TSP.L,EQ,
One Health Group PLC,Health Care,OHGR.L,EQ,
