Company Name,Industry,Symbol,Series,ISIN Code
Glencore plc,Industrials,GLEN.L,EQ,
RELX PLC,Industrials,REL.L,EQ,
London Stock Exchange Group plc,Industrials,LSEG.L,EQ,
Larsen & Toubro Limited Shs Sponsored Global Depositary Receipt Repr 1 Sh Reg-S,Industrials,LTOD.L,EQ,
Ferguson Enterprises Inc.,Industrials,FERG.L,EQ,
Experian PLC,Industrials,EXPN.L,EQ,
3i Group plc,Industrials,III.L,EQ,
International Consolidated Airlines Group SA,Industrials,IAG.L,EQ,
Jardine Matheson Holdings Limited,Industrials,JAR.L,EQ,
Rentokil Initial plc,Industrials,RTO.L,EQ,
Wise Group plc Class A,Industrials,WISE.L,EQ,
Diploma PLC,Industrials,DPLM.L,EQ,
Intertek Group plc,Industrials,ITRK.L,EQ,
Bunzl plc,Industrials,BNZL.L,EQ,
Smiths Group Plc,Industrials,SMIN.L,EQ,
IMI plc,Industrials,IMI.L,EQ,
ANA Holdings Inc. Sponsored ADR,Industrials,ANAA.L,EQ,
Weir Group PLC,Industrials,WEIR.L,EQ,
Babcock International Group PLC,Industrials,BAB.L,EQ,
Spirax Group plc.,Industrials,SPX.L,EQ,
MARUWA CO. LTD.,Industrials,MAW.L,EQ,
Tritax Big Box REIT PLC,Industrials,BBOX.L,EQ,
Balfour Beatty plc,Industrials,BBY.L,EQ,
Renishaw plc,Industrials,RSW.L,EQ,
easyJet plc,Industrials,EZJ.L,EQ,
Ming Yang Smart Energy Group Limited GDR,Industrials,MYSE.L,EQ,
Rosebank Industries Plc,Industrials,ROSE.L,EQ,
RS Group PLC,Industrials,RS1.L,EQ,
Inchcape plc,Industrials,INCH.L,EQ,
WPP Plc,Industrials,WPP.L,EQ,
Serco Group plc,Industrials,SRP.L,EQ,
Rotork plc,Industrials,ROR.L,EQ,
Hill & Smith PLC,Industrials,HILS.L,EQ,
Morgan Sindall Group plc,Industrials,MGNS.L,EQ,
MITIE Group PLC,Industrials,MTO.L,EQ,
Caledonia Investments PLC,Industrials,CLDN.L,EQ,
International Workplace Group PLC,Industrials,IWG.L,EQ,
Keller Group plc,Industrials,KLR.L,EQ,
Currys PLC,Industrials,CURY.L,EQ,
Clarkson PLC,Industrials,CKN.L,EQ,
Volution Group plc,Industrials,FAN.L,EQ,
Volex plc,Industrials,VLX.L,EQ,
IntegraFin Holdings PLC,Industrials,IHP.L,EQ,
Travis Perkins plc,Industrials,TPK.L,EQ,
Dauch Corporation,Industrials,DCH.L,EQ,
Vesuvius Plc,Industrials,VSVS.L,EQ,
Goodwin PLC,Industrials,GDWN.L,EQ,
Wizz Air Holdings Plc,Industrials,WIZZ.L,EQ,
Uniphar PLC,Industrials,UPR.L,EQ,
4imprint Group plc,Industrials,FOUR.L,EQ,
ITM Power PLC,Industrials,ITM.L,EQ,
Molten Ventures PLC,Industrials,GROW.L,EQ,
FirstGroup plc,Industrials,FGP.L,EQ,
Kier Group plc,Industrials,KIE.L,EQ,
ICG Enterprise Trust PLC GBP,Industrials,ICGT.L,EQ,
Jupiter Fund Management plc,Industrials,JUP.L,EQ,
Irish Continental Group PLC,Industrials,ICGC.L,EQ,
GlobalData Plc,Industrials,DATA.L,EQ,
Tetragon Financial Group Limited,Industrials,TFGS.L,EQ,
Tetragon Financial Group Limited,Industrials,TFG.L,EQ,
W.A.G. Payment Solutions Plc,Industrials,EWG.L,EQ,
Greencoat Renewables Plc,Industrials,GRP.L,EQ,
Hunting PLC,Industrials,HTG.L,EQ,
Renew Holdings plc,Industrials,RNWH.L,EQ,
discoverIE Group PLC,Industrials,DSCV.L,EQ,
Genuit Group PLC,Industrials,GEN.L,EQ,
IQE plc,Industrials,IQE.L,EQ,
IP Group plc,Industrials,IPO.L,EQ,
Johnson Service Group PLC,Industrials,JSG.L,EQ,
Hays plc,Industrials,HAS.L,EQ,
Costain Group PLC,Industrials,COST.L,EQ,
James Halstead plc,Industrials,JHD.L,EQ,
Galliford Try Holdings PLC,Industrials,GFRD.L,EQ,
XP Power Ltd.,Industrials,XPP.L,EQ,
Foresight Group Holdings Ltd.,Industrials,FSG.L,EQ,
Capita plc,Industrials,CPI.L,EQ,
Globalworth Real Estate Investments Limited,Industrials,GWI.L,EQ,
Young & Co.'s Brewery P.L.C.,Industrials,YNGN.L,EQ,
Young & Co.'s Brewery P.L.C. Class A,Industrials,YNGA.L,EQ,
Origin Enterprises Plc,Industrials,OGN.L,EQ,
London Security plc,Industrials,LSC.L,EQ,
PageGroup PLC,Industrials,PAGE.L,EQ,
RWS Holdings plc,Industrials,RWS.L,EQ,
ACG Metals Limited Class A,Industrials,ACG.L,EQ,
MHA Plc,Industrials,MHA.L,EQ,
Porvair plc,Industrials,PRV.L,EQ,
Ashtead Technology Holdings PLC,Industrials,AT..L,EQ,
Air Astana Joint Stock Company GDR,Industrials,AIRA.L,EQ,
Elixirr International Plc,Industrials,ELIX.L,EQ,
Malibu Life Holdings Limited,Industrials,MLHL.L,EQ,
Restore PLC,Industrials,RST.L,EQ,
PayPoint plc,Industrials,PAY.L,EQ,
Avacta Group PLC,Industrials,AVCT.L,EQ,
Castelnau Group Limited,Industrials,CGL.L,EQ,
FW Thorpe Plc,Industrials,TFW.L,EQ,
FRP Advisory Group Plc,Industrials,FRP.L,EQ,
Franchise Brands plc,Industrials,FRAN.L,EQ,
Gore Street Energy Storage Fund PLC,Industrials,GSF.L,EQ,
Next 15 Group plc,Industrials,NFG.L,EQ,
James Fisher and Sons plc,Industrials,FSJ.L,EQ,
Capital Limited,Industrials,CAPD.L,EQ,
S4 Capital plc,Industrials,SFOR.L,EQ,
Norcros plc,Industrials,NXR.L,EQ,
YouGov plc,Industrials,YOU.L,EQ,
