Company Name,Industry,Symbol,Series,ISIN Code
BHP Group Ltd,Materials,BHP.L,EQ,
Rio Tinto plc,Materials,RIO.L,EQ,
Anglo American plc,Materials,AAL.L,EQ,
Wheaton Precious Metals Corp,Materials,WPM.L,EQ,
Antofagasta plc,Materials,ANTO.L,EQ,
Fresnillo PLC,Materials,FRES.L,EQ,
Tata Steel Limited Sponsored GDR RegS,Materials,TTST.L,EQ,
Smurfit Westrock PLC,Materials,SWR.L,EQ,
Valterra Platinum Limited,Materials,VALT.L,EQ,
National Atomic Company Kazatomprom JSC Sponsored GDR RegS,Materials,KAP.L,EQ,
International Paper Company,Materials,IPC.L,EQ,
South32 Ltd.,Materials,S32.L,EQ,
Endeavour Mining PLC,Materials,EDV.L,EQ,
China Steel Corporation Sponsored GDR,Materials,CNSD.L,EQ,
Greatland Resources Limited,Materials,GGP.L,EQ,
UPL Limited Sponsored GDR RegS,Materials,UPLL.L,EQ,
Croda International Plc,Materials,CRDA.L,EQ,
Johnson Matthey Plc,Materials,JMAT.L,EQ,
Mondi plc,Materials,MNDI.L,EQ,
Hochschild Mining plc,Materials,HOC.L,EQ,
Aluminium Bahrain B.S.C Sponsored GDR RegS,Materials,ALBH.L,EQ,
Zhejiang Yongtai Technology Co. Ltd. GDR Class A RegS,Materials,YTT.L,EQ,
Pan African Resources PLC,Materials,PAF.L,EQ,
Taseko Mines Limited,Materials,TKO.L,EQ,
Coats Group plc,Materials,COA.L,EQ,
Genus plc,Materials,GNS.L,EQ,
Yellow Cake Plc,Materials,YCA.L,EQ,
RHI Magnesita NV,Materials,RHIM.L,EQ,
SigmaRoc Plc,Materials,SRC.L,EQ,
Resolute Mining Limited,Materials,RSG.L,EQ,
Atalaya Mining Copper SA,Materials,ATYM.L,EQ,
Breedon Group PLC,Materials,BREE.L,EQ,
Elementis plc,Materials,ELM.L,EQ,
M.P. Evans Group PLC,Materials,MPE.L,EQ,
MHP SE Sponsored GDR RegS,Materials,MHPC.L,EQ,
Morgan Advanced Materials plc,Materials,MGAM.L,EQ,
AEP Plantations Plc,Materials,AEP.L,EQ,
Griffin Mining Limited,Materials,GFM.L,EQ,
Victrex plc,Materials,VCT.L,EQ,
Tungsten West Plc,Materials,TUN.L,EQ,
Meridian Mining PLC,Materials,MNO.L,EQ,
Guardian Metal Resources PLC,Materials,GMET.L,EQ,
Amaroq Ltd.,Materials,AMRQ.L,EQ,
Thor Explorations Ltd.,Materials,THX.L,EQ,
Anglo Asian Mining PLC,Materials,AAZ.L,EQ,
Metals Exploration plc,Materials,MTL.L,EQ,
Ibstock Plc,Materials,IBST.L,EQ,
Tharisa Plc,Materials,THS.L,EQ,
Ecora Royalties PLC,Materials,ECOR.L,EQ,
Marshalls plc,Materials,MSLH.L,EQ,
Pensana Plc,Materials,PRE.L,EQ,
Caledonia Mining Corporation PLC,Materials,CMCL.L,EQ,
Forterra Plc,Materials,FORT.L,EQ,
Serabi Gold PLC,Materials,SRB.L,EQ,
AltynGold Plc,Materials,ALTN.L,EQ,
Empire Metals Limited,Materials,EEE.L,EQ,
Sylvania Platinum Ltd.,Materials,SLP.L,EQ,
Essentra PLC,Materials,ESNT.L,EQ,
Central Asia Metals Plc,Materials,CAML.L,EQ,
Zotefoams plc,Materials,ZTF.L,EQ,
Sovereign Metals Limited,Materials,SVML.L,EQ,
Accsys Technologies PLC,Materials,AXS.L,EQ,
Kenmare Resources Plc,Materials,KMR.L,EQ,
Treatt plc,Materials,TET.L,EQ,
Savannah Resources Plc,Materials,SAV.L,EQ,
Synthomer plc,Materials,SYNT.L,EQ,
Rainbow Rare Earths Ltd.,Materials,RBW.L,EQ,
KEFI Gold and Copper PLC,Materials,KEFI.L,EQ,
Mkango Resources Ltd.,Materials,MKA.L,EQ,
Kore Potash PLC,Materials,KP2.L,EQ,
Camellia Plc,Materials,CAM.L,EQ,
Strategic Minerals PLC,Materials,SML.L,EQ,
Cornish Metals PLC,Materials,TIN.L,EQ,
Atlantic Lithium Limited.,Materials,ALL.L,EQ,
Berkeley Energia Limited,Materials,BKY.L,EQ,
Jubilee Metals Group PLC,Materials,JLP.L,EQ,
Galantas Gold Corporation,Materials,GAL.L,EQ,
Anpario PLC,Materials,ANP.L,EQ,
Iofina plc,Materials,IOF.L,EQ,
SulNOx Group PLC,Materials,SNOX.L,EQ,
Andrada Mining Limited,Materials,ATM.L,EQ,
Eurasia Mining plc,Materials,EUA.L,EQ,
Wynnstay Group plc,Materials,WYN.L,EQ,
Orosur Mining Inc.,Materials,OMI.L,EQ,
Cora Gold Ltd.,Materials,CORA.L,EQ,
Michelmersh Brick Holdings PLC,Materials,MBH.L,EQ,
Gemfields Group Limited,Materials,GEM.L,EQ,
Aura Energy Ltd,Materials,AURA.L,EQ,
Kodal Minerals Plc,Materials,KOD.L,EQ,
Ariana Resources PLC,Materials,AAU.L,EQ,
ATOME PLC,Materials,ATOM.L,EQ,
Zinnwald Lithium Plc,Materials,ZNWD.L,EQ,
R.E.A. Holdings plc,Materials,RE..L,EQ,
Asiamet Resources Limited,Materials,ARS.L,EQ,
Kakuzi PLC,Materials,KAKU.L,EQ,
Hardide plc,Materials,HDD.L,EQ,
Panthera Resources Plc,Materials,PAT.L,EQ,
Cobra Resources Plc,Materials,COBR.L,EQ,
Steppe Cement Ltd,Materials,STCM.L,EQ,
Corcel PLC,Materials,CRCL.L,EQ,
