Company Name,Industry,Symbol,Series,ISIN Code
Samsung Electronics Co. Ltd. Sponsored GDR,Technology,BC94.L,EQ,
Samsung Electronics Co. Ltd. Sponsored GDR,Technology,SMSN.L,EQ,
Samsung Electronics Co Ltd Sponsored GDR Pfd,Technology,SMSD.L,EQ,
Rolls-Royce Holdings plc,Technology,RR..L,EQ,
Hon Hai Precision Industry Co. Ltd. Sponsored GDR RegS,Technology,HHPD.L,EQ,
BAE Systems plc,Technology,BA..L,EQ,
Halma plc,Technology,HLMA.L,EQ,
KONAMI Group Corporation,Technology,KNM.L,EQ,
Informa Plc,Technology,INF.L,EQ,
Sage Group plc,Technology,SGE.L,EQ,
Melrose Industries PLC,Technology,MRO.L,EQ,
Computacenter Plc,Technology,CCC.L,EQ,
Ricoh Company Ltd.,Technology,RICO.L,EQ,
Autotrader Group PLC,Technology,AUTO.L,EQ,
Softcat Plc,Technology,SCT.L,EQ,
Rightmove plc,Technology,RMV.L,EQ,
QinetiQ Group plc,Technology,QQ..L,EQ,
Raspberry PI Holdings plc,Technology,RPI.L,EQ,
Oxford Instruments plc,Technology,OXIG.L,EQ,
Chemring Group PLC,Technology,CHG.L,EQ,
Ceres Power Holdings plc,Technology,CWR.L,EQ,
Oxford Nanopore Technologies Plc,Technology,ONT.L,EQ,
Bodycote plc,Technology,BOY.L,EQ,
Senior plc,Technology,SNR.L,EQ,
Playtech PLC,Technology,PTEC.L,EQ,
Kainos Group PLC,Technology,KNOS.L,EQ,
Trustpilot Group Plc,Technology,TRST.L,EQ,
Mony Group PLC,Technology,MONY.L,EQ,
Bytes Technology Group Plc,Technology,BYIT.L,EQ,
Baltic Classifieds Group Plc,Technology,BCG.L,EQ,
Filtronic plc,Technology,FTC.L,EQ,
Moonpig Group Plc,Technology,MOON.L,EQ,
Cohort plc,Technology,CHRT.L,EQ,
Auction Technology Group PLC,Technology,ATG.L,EQ,
Craneware plc,Technology,CRW.L,EQ,
Avon Technologies PLC,Technology,AVON.L,EQ,
Alfa Financial Software Holdings Plc,Technology,ALFA.L,EQ,
GB Group PLC,Technology,GBG.L,EQ,
BOKU Inc.,Technology,BOKU.L,EQ,
Luceco PLC,Technology,LUCE.L,EQ,
NCC Group plc,Technology,NCC.L,EQ,
Cerillion Plc,Technology,CER.L,EQ,
Everplay Group Plc,Technology,EVPL.L,EQ,
Big Technologies PLC,Technology,BIG.L,EQ,
Pinewood Technologies Group PLC,Technology,PINE.L,EQ,
Judges Scientific plc,Technology,JDG.L,EQ,
Gooch & Housego PLC,Technology,GHH.L,EQ,
