Company Name,Industry,Symbol,Series,ISIN Code
China Yangtze Power Co. Ltd. Sponsored GDR Class A RegS,Utilities,CYPC.L,EQ,
National Grid plc,Utilities,NG..L,EQ,
SSE PLC,Utilities,SSE.L,EQ,
CK Infrastructure Holdings Limited,Utilities,CKI.L,EQ,
SDIC Power Holdings Co Ltd Unsponsored GDR Class A RegS,Utilities,SDIC.L,EQ,
United Utilities Group PLC,Utilities,UU..L,EQ,
Severn Trent Plc,Utilities,SVT.L,EQ,
GAIL (India) Limited Sponsored GDR RegS,Utilities,GAID.L,EQ,
Centrica plc,Utilities,CNA.L,EQ,
DCC Plc,Utilities,DCC.L,EQ,
Metlen Energy & Metals PLC,Utilities,MTLN.L,EQ,
Drax Group plc,Utilities,DRX.L,EQ,
Pennon Group Plc,Utilities,PNN.L,EQ,
Societatea Energetica Electrica S.A. Sponsored GDR RegS,Utilities,ELSA.L,EQ,
Ignitis Grupe AB Sponsored GDR,Utilities,IGN.L,EQ,
Thungela Resources Limited,Utilities,TGA.L,EQ,
Telecom Plus PLC,Utilities,TEP.L,EQ,
Yu Group PLC,Utilities,YU..L,EQ,
Northern Electric PLC 8.061 % Cum Pref,Utilities,NTEA.L,EQ,
Jersey Electricity plc Class A,Utilities,JEL.L,EQ,
European Green Transition Plc,Utilities,EGT.L,EQ,
Ampeak Energy Limited,Utilities,AMP.L,EQ,
Powerhouse Energy Group PLC,Utilities,PHE.L,EQ,
Forgent Plc,Utilities,FORG.L,EQ,
Cindrigo Holdings Limited,Utilities,CINH.L,EQ,
EnergyPathways plc,Utilities,EPP.L,EQ,
