Company Name,Industry,Symbol,Series,ISIN Code
3M Company,Industrials,MMM,EQ,
Amazon.com,Consumer Discretionary,AMZN,EQ,
American Express,Financials,AXP,EQ,
Amgen,Health Care,AMGN,EQ,
Apple Inc.,Information Technology,AAPL,EQ,
Boeing,Industrials,BA,EQ,
Caterpillar,Industrials,CAT,EQ,
Chevron,Energy,CVX,EQ,
Cisco Systems,Information Technology,CSCO,EQ,
Coca-Cola,Consumer Staples,KO,EQ,
Dow Inc.,Materials,DOW,EQ,
Goldman Sachs,Financials,GS,EQ,
Home Depot,Consumer Discretionary,HD,EQ,
Honeywell,Industrials,HON,EQ,
IBM,Information Technology,IBM,EQ,
Intel,Information Technology,INTC,EQ,
Johnson & Johnson,Health Care,JNJ,EQ,
JPMorgan Chase,Financials,JPM,EQ,
McDonald's,Consumer Discretionary,MCD,EQ,
Merck,Health Care,MRK,EQ,
Microsoft,Information Technology,MSFT,EQ,
Nike,Consumer Discretionary,NKE,EQ,
Nvidia,Information Technology,NVDA,EQ,
Procter & Gamble,Consumer Staples,PG,EQ,
Salesforce,Information Technology,CRM,EQ,
Sherwin-Williams,Materials,SHW,EQ,
Travelers Companies,Financials,TRV,EQ,
UnitedHealth Group,Health Care,UNH,EQ,
Verizon,Communication Services,VZ,EQ,
Visa,Financials,V,EQ,
Walmart,Consumer Staples,WMT,EQ,
Walt Disney,Communication Services,DIS,EQ,
