Company Name,Industry,Symbol,Series,ISIN Code
Adobe Inc.,Technology,ADBE,EQ,
Advanced Micro Devices,Technology,AMD,EQ,
Airbnb,Consumer Discretionary,ABNB,EQ,
Alnylam Pharmaceuticals,Health Care,ALNY,EQ,
Alphabet Inc. (Class A),Technology,GOOGL,EQ,
Alphabet Inc. (Class C),Technology,GOOG,EQ,
Amazon,Consumer Discretionary,AMZN,EQ,
American Electric Power,Utilities,AEP,EQ,
Amgen,Health Care,AMGN,EQ,
Analog Devices,Technology,ADI,EQ,
Apple Inc.,Technology,AAPL,EQ,
Applied Materials,Technology,AMAT,EQ,
AppLovin,Technology,APP,EQ,
Arm Holdings,Technology,ARM,EQ,
ASML Holding,Technology,ASML,EQ,
Atlassian,Technology,TEAM,EQ,
Autodesk,Technology,ADSK,EQ,
Automatic Data Processing,Industrials,ADP,EQ,
Axon Enterprise,Industrials,AXON,EQ,
Baker Hughes,Energy,BKR,EQ,
Booking Holdings,Consumer Discretionary,BKNG,EQ,
Broadcom,Technology,AVGO,EQ,
Cadence Design Systems,Technology,CDNS,EQ,
Charter Communications,Telecommunications,CHTR,EQ,
Cintas,Industrials,CTAS,EQ,
Cisco,Telecommunications,CSCO,EQ,
Coca-Cola Europacific Partners,Consumer Staples,CCEP,EQ,
Cognizant,Technology,CTSH,EQ,
Comcast,Telecommunications,CMCSA,EQ,
Constellation Energy,Utilities,CEG,EQ,
Copart,Consumer Discretionary,CPRT,EQ,
CoStar Group,Real Estate,CSGP,EQ,
Costco,Consumer Discretionary,COST,EQ,
CrowdStrike,Technology,CRWD,EQ,
CSX Corporation,Industrials,CSX,EQ,
Datadog,Technology,DDOG,EQ,
DexCom,Health Care,DXCM,EQ,
Diamondback Energy,Energy,FANG,EQ,
DoorDash,Technology,DASH,EQ,
Electronic Arts,Consumer Discretionary,EA,EQ,
Exelon,Utilities,EXC,EQ,
Fastenal,Industrials,FAST,EQ,
Ferrovial,Industrials,FER,EQ,
Fortinet,Technology,FTNT,EQ,
GE HealthCare,Health Care,GEHC,EQ,
Gilead Sciences,Health Care,GILD,EQ,
Honeywell,Industrials,HON,EQ,
Idexx Laboratories,Health Care,IDXX,EQ,
Insmed Incorporated,Health Care,INSM,EQ,
Intel,Technology,INTC,EQ,
Intuit,Technology,INTU,EQ,
Intuitive Surgical,Health Care,ISRG,EQ,
Keurig Dr Pepper,Consumer Staples,KDP,EQ,
KLA Corporation,Technology,KLAC,EQ,
Kraft Heinz,Consumer Staples,KHC,EQ,
Lam Research,Technology,LRCX,EQ,
Linde plc,Basic Materials,LIN,EQ,
Marriott International,Consumer Discretionary,MAR,EQ,
Marvell Technology,Technology,MRVL,EQ,
Mercado Libre,Consumer Discretionary,MELI,EQ,
Meta Platforms,Technology,META,EQ,
Microchip Technology,Technology,MCHP,EQ,
Micron Technology,Technology,MU,EQ,
Microsoft,Technology,MSFT,EQ,
MicroStrategy,Technology,MSTR,EQ,
Mondelez International,Consumer Staples,MDLZ,EQ,
Monolithic Power Systems,Technology,MPWR,EQ,
Monster Beverage,Consumer Staples,MNST,EQ,
"Netflix, Inc.",Consumer Discretionary,NFLX,EQ,
Nvidia,Technology,NVDA,EQ,
NXP Semiconductors,Technology,NXPI,EQ,
O'Reilly Automotive,Consumer Discretionary,ORLY,EQ,
Old Dominion Freight Line,Industrials,ODFL,EQ,
Paccar,Consumer Discretionary,PCAR,EQ,
Palantir Technologies,Technology,PLTR,EQ,
Palo Alto Networks,Technology,PANW,EQ,
Paychex,Industrials,PAYX,EQ,
PayPal,Industrials,PYPL,EQ,
PDD Holdings,Technology,PDD,EQ,
PepsiCo,Consumer Staples,PEP,EQ,
Qualcomm,Technology,QCOM,EQ,
Regeneron Pharmaceuticals,Health Care,REGN,EQ,
Roper Technologies,Technology,ROP,EQ,
Ross Stores,Consumer Discretionary,ROST,EQ,
Seagate Technology,Technology,STX,EQ,
Shopify,Technology,SHOP,EQ,
Starbucks,Consumer Discretionary,SBUX,EQ,
Synopsys,Technology,SNPS,EQ,
T-Mobile US,Telecommunications,TMUS,EQ,
Take-Two Interactive,Consumer Discretionary,TTWO,EQ,
"Tesla, Inc.",Consumer Discretionary,TSLA,EQ,
Texas Instruments,Technology,TXN,EQ,
Thomson Reuters,Technology,TRI,EQ,
Verisk Analytics,Industrials,VRSK,EQ,
Vertex Pharmaceuticals,Health Care,VRTX,EQ,
Walmart,Consumer Discretionary,WMT,EQ,
Warner Bros. Discovery,Consumer Discretionary,WBD,EQ,
Western Digital,Technology,WDC,EQ,
"Workday, Inc.",Technology,WDAY,EQ,
Xcel Energy,Utilities,XEL,EQ,
Zscaler,Technology,ZS,EQ,
