Company Name,Industry,Symbol,Series,ISIN Code
Charter Communications,Communication Services,CHTR,EQ,
Comcast,Communication Services,CMCSA,EQ,
Walt Disney Company (The),Communication Services,DIS,EQ,
Electronic Arts,Communication Services,EA,EQ,
Fox Corporation (Class B),Communication Services,FOX,EQ,
Fox Corporation (Class A),Communication Services,FOXA,EQ,
Alphabet Inc. (Class C),Communication Services,GOOG,EQ,
Alphabet Inc. (Class A),Communication Services,GOOGL,EQ,
Live Nation Entertainment,Communication Services,LYV,EQ,
Meta Platforms,Communication Services,META,EQ,
Match Group,Communication Services,MTCH,EQ,
Netflix,Communication Services,NFLX,EQ,
News Corp (Class B),Communication Services,NWS,EQ,
News Corp (Class A),Communication Services,NWSA,EQ,
Omnicom Group,Communication Services,OMC,EQ,
Paramount Skydance Corporation,Communication Services,PSKY,EQ,
AT&T,Communication Services,T,EQ,
TKO Group Holdings,Communication Services,TKO,EQ,
T-Mobile US,Communication Services,TMUS,EQ,
Trade Desk (The),Communication Services,TTD,EQ,
Take-Two Interactive,Communication Services,TTWO,EQ,
Verizon,Communication Services,VZ,EQ,
Warner Bros. Discovery,Communication Services,WBD,EQ,
