Company Name,Industry,Symbol,Series,ISIN Code
Airbnb,Consumer Discretionary,ABNB,EQ,
Amazon,Consumer Discretionary,AMZN,EQ,
Aptiv,Consumer Discretionary,APTV,EQ,
AutoZone,Consumer Discretionary,AZO,EQ,
Best Buy,Consumer Discretionary,BBY,EQ,
Booking Holdings,Consumer Discretionary,BKNG,EQ,
Carnival,Consumer Discretionary,CCL,EQ,
Chipotle Mexican Grill,Consumer Discretionary,CMG,EQ,
Carvana,Consumer Discretionary,CVNA,EQ,
DoorDash,Consumer Discretionary,DASH,EQ,
Deckers Brands,Consumer Discretionary,DECK,EQ,
D. R. Horton,Consumer Discretionary,DHI,EQ,
Domino's,Consumer Discretionary,DPZ,EQ,
Darden Restaurants,Consumer Discretionary,DRI,EQ,
eBay Inc.,Consumer Discretionary,EBAY,EQ,
Expedia Group,Consumer Discretionary,EXPE,EQ,
Ford Motor Company,Consumer Discretionary,F,EQ,
General Motors,Consumer Discretionary,GM,EQ,
Genuine Parts Company,Consumer Discretionary,GPC,EQ,
Garmin,Consumer Discretionary,GRMN,EQ,
Hasbro,Consumer Discretionary,HAS,EQ,
Home Depot (The),Consumer Discretionary,HD,EQ,
Hilton Worldwide,Consumer Discretionary,HLT,EQ,
Lennar,Consumer Discretionary,LEN,EQ,
Lowe's,Consumer Discretionary,LOW,EQ,
Lululemon Athletica,Consumer Discretionary,LULU,EQ,
Las Vegas Sands,Consumer Discretionary,LVS,EQ,
Marriott International,Consumer Discretionary,MAR,EQ,
McDonald's,Consumer Discretionary,MCD,EQ,
MGM Resorts,Consumer Discretionary,MGM,EQ,
Norwegian Cruise Line Holdings,Consumer Discretionary,NCLH,EQ,
"Nike, Inc.",Consumer Discretionary,NKE,EQ,
"NVR, Inc.",Consumer Discretionary,NVR,EQ,
O’Reilly Automotive,Consumer Discretionary,ORLY,EQ,
PulteGroup,Consumer Discretionary,PHM,EQ,
Pool Corporation,Consumer Discretionary,POOL,EQ,
Royal Caribbean Group,Consumer Discretionary,RCL,EQ,
Ralph Lauren Corporation,Consumer Discretionary,RL,EQ,
Ross Stores,Consumer Discretionary,ROST,EQ,
Starbucks,Consumer Discretionary,SBUX,EQ,
TJX Companies,Consumer Discretionary,TJX,EQ,
"Tapestry, Inc.",Consumer Discretionary,TPR,EQ,
Tractor Supply,Consumer Discretionary,TSCO,EQ,
"Tesla, Inc.",Consumer Discretionary,TSLA,EQ,
Ulta Beauty,Consumer Discretionary,ULTA,EQ,
"Williams-Sonoma, Inc.",Consumer Discretionary,WSM,EQ,
Wynn Resorts,Consumer Discretionary,WYNN,EQ,
Yum! Brands,Consumer Discretionary,YUM,EQ,
