Company Name,Industry,Symbol,Series,ISIN Code
Coca-Cola Company (The),Consumer Staples,KO,EQ,
Procter & Gamble Company (The),Consumer Staples,PG,EQ,
Philip Morris International Inc,Consumer Staples,PM,EQ,
PepsiCo  Inc.,Consumer Staples,PEP,EQ,
Anheuser-Busch Inbev SA Sponsored,Consumer Staples,BUD,EQ,
British American Tobacco Industries  p.l.c.,Consumer Staples,BTI,EQ,
Unilever PLC,Consumer Staples,UL,EQ,
Altria Group  Inc.,Consumer Staples,MO,EQ,
Monster Beverage Corporation,Consumer Staples,MNST,EQ,
Mondelez International  Inc.,Consumer Staples,MDLZ,EQ,
Colgate-Palmolive Company,Consumer Staples,CL,EQ,
Nike  Inc.,Consumer Staples,NKE,EQ,
Ambev S.A.,Consumer Staples,ABEV,EQ,
Diageo plc,Consumer Staples,DEO,EQ,
Coca-Cola Europacific Partners plc,Consumer Staples,CCEP,EQ,
Keurig Dr Pepper Inc.,Consumer Staples,KDP,EQ,
The Hershey Company,Consumer Staples,HSY,EQ,
Kenvue Inc.,Consumer Staples,KVUE,EQ,
Kimberly-Clark Corporation,Consumer Staples,KMB,EQ,
Estee Lauder Companies  Inc. (The),Consumer Staples,EL,EQ,
The Kraft Heinz Company,Consumer Staples,KHC,EQ,
Fomento Economico Mexicano S.A.B. de C.V.,Consumer Staples,FMX,EQ,
Constellation Brands  Inc.,Consumer Staples,STZ,EQ,
Ralph Lauren Corporation,Consumer Staples,RL,EQ,
Church & Dwight Company  Inc.,Consumer Staples,CHD,EQ,
International Flavors & Fragrances  Inc.,Consumer Staples,IFF,EQ,
Tyson Foods  Inc.,Consumer Staples,TSN,EQ,
General Mills  Inc.,Consumer Staples,GIS,EQ,
Deckers Outdoor Corporation,Consumer Staples,DECK,EQ,
lululemon athletica inc.,Consumer Staples,LULU,EQ,
Hormel Foods Corporation,Consumer Staples,HRL,EQ,
JBS N.V.,Consumer Staples,JBS,EQ,
McCormick & Company  Incorporated,Consumer Staples,MKC,EQ,
McCormick & Company  Incorporated,Consumer Staples,MKC.V,EQ,
On Holding AG,Consumer Staples,ONON,EQ,
Coca-Cola Consolidated  Inc.,Consumer Staples,COKE,EQ,
Brown Forman Inc,Consumer Staples,BF.B,EQ,
The J.M. Smucker Company,Consumer Staples,SJM,EQ,
Brown Forman Inc,Consumer Staples,BF.A,EQ,
Clorox Company (The),Consumer Staples,CLX,EQ,
Gildan Activewear  Inc.,Consumer Staples,GIL,EQ,
The Magnum Ice Cream Company N.V.,Consumer Staples,MICC,EQ,
Smithfield Foods  Inc.,Consumer Staples,SFD,EQ,
Levi Strauss & Co,Consumer Staples,LEVI,EQ,
Darling Ingredients Inc.,Consumer Staples,DAR,EQ,
Birkenstock Holding plc,Consumer Staples,BIRK,EQ,
Primo Brands Corporation,Consumer Staples,PRMB,EQ,
Molson Coors Beverage Company,Consumer Staples,TAP,EQ,
Celsius Holdings  Inc.,Consumer Staples,CELH,EQ,
V.F. Corporation,Consumer Staples,VFC,EQ,
The Campbell's Company,Consumer Staples,CPB,EQ,
ConAgra Brands  Inc.,Consumer Staples,CAG,EQ,
Ingredion Incorporated,Consumer Staples,INGR,EQ,
Lamb Weston Holdings  Inc.,Consumer Staples,LW,EQ,
Ermenegildo Zegna N.V.,Consumer Staples,ZGN,EQ,
Crocs  Inc.,Consumer Staples,CROX,EQ,
Coca Cola Femsa S.A.B. de C.V.,Consumer Staples,KOF,EQ,
Balchem Corporation,Consumer Staples,BCPC,EQ,
Sensient Technologies Corporation,Consumer Staples,SXT,EQ,
Reynolds Consumer Products Inc.,Consumer Staples,REYN,EQ,
The Vita Coco Company  Inc.,Consumer Staples,COCO,EQ,
Kontoor Brands  Inc.,Consumer Staples,KTB,EQ,
Post Holdings  Inc.,Consumer Staples,POST,EQ,
Embotelladora Andina S.A.,Consumer Staples,AKO.A,EQ,
Embotelladora Andina S.A.,Consumer Staples,AKO.B,EQ,
PVH Corp.,Consumer Staples,PVH,EQ,
e.l.f. Beauty  Inc.,Consumer Staples,ELF,EQ,
National Beverage Corp.,Consumer Staples,FIZZ,EQ,
Columbia Sportswear Company,Consumer Staples,COLM,EQ,
Steven Madden  Ltd.,Consumer Staples,SHOO,EQ,
Interparfums  Inc.,Consumer Staples,IPAR,EQ,
The Marzetti Company,Consumer Staples,MZTI,EQ,
Ashland Inc.,Consumer Staples,ASH,EQ,
