Company Name,Industry,Symbol,Series,ISIN Code
Exxon Mobil Corporation,Energy,XOM,EQ,
Chevron Corporation,Energy,CVX,EQ,
Shell PLC,Energy,SHEL,EQ,
TotalEnergies SE,Energy,TTE,EQ,
ConocoPhillips,Energy,COP,EQ,
BP p.l.c.,Energy,BP,EQ,
Petroleo Brasileiro S.A. Petrobras,Energy,PBR,EQ,
Petroleo Brasileiro S.A. Petrobras,Energy,PBR.A,EQ,
Equinor ASA,Energy,EQNR,EQ,
Canadian Natural Resources Limited,Energy,CNQ,EQ,
ENI S.p.A.,Energy,E,EQ,
Marathon Petroleum Corporation,Energy,MPC,EQ,
Valero Energy Corporation,Energy,VLO,EQ,
EOG Resources  Inc.,Energy,EOG,EQ,
Suncor Energy Inc.,Energy,SU,EQ,
Phillips 66,Energy,PSX,EQ,
Occidental Petroleum Corporation,Energy,OXY,EQ,
Diamondback Energy  Inc.,Energy,FANG,EQ,
Cenovus Energy Inc,Energy,CVE,EQ,
Devon Energy Corporation,Energy,DVN,EQ,
Woodside Energy Group Limited,Energy,WDS,EQ,
Ecopetrol S.A.,Energy,EC,EQ,
EQT Corporation,Energy,EQT,EQ,
YPF Sociedad Anonima,Energy,YPF,EQ,
Expand Energy Corporation,Energy,EXE,EQ,
Permian Resources Corporation,Energy,PR,EQ,
Ovintiv Inc. (DE),Energy,OVV,EQ,
APA Corporation,Energy,APA,EQ,
HF Sinclair Corporation,Energy,DINO,EQ,
Antero Resources Corporation,Energy,AR,EQ,
Range Resources Corporation,Energy,RRC,EQ,
Hess Midstream LP,Energy,HESM,EQ,
Chord Energy Corporation,Energy,CHRD,EQ,
SM Energy Company,Energy,SM,EQ,
National Fuel Gas Company,Energy,NFG,EQ,
Vista Energy S.A.B. de C.V.,Energy,VIST,EQ,
Matador Resources Company,Energy,MTDR,EQ,
Murphy Oil Corporation,Energy,MUR,EQ,
Magnolia Oil & Gas Corporation,Energy,MGY,EQ,
California Resources Corporation,Energy,CRC,EQ,
Warrior Met Coal  Inc.,Energy,HCC,EQ,
Icahn Enterprises L.P.,Energy,IEP,EQ,
PBF Energy Inc.,Energy,PBF,EQ,
CNX Resources Corporation,Energy,CNX,EQ,
Core Natural Resources  Inc.,Energy,CNR,EQ,
Comstock Resources  Inc.,Energy,CRK,EQ,
Crescent Energy Company,Energy,CRGY,EQ,
Baytex Energy Corp,Energy,BTE,EQ,
Peabody Energy Corporation,Energy,BTU,EQ,
Alliance Resource Partners  L.P.,Energy,ARLP,EQ,
CVR Energy Inc.,Energy,CVI,EQ,
Calumet  Inc,Energy,CLMT,EQ,
Gulfport Energy Corporation,Energy,GPOR,EQ,
Delek US Holdings  Inc.,Energy,DK,EQ,
Par Pacific Holdings  Inc. Common Stock,Energy,PARR,EQ,
BKV Corporation,Energy,BKV,EQ,
Select Water Solutions  Inc.,Energy,WTTR,EQ,
Alpha Metallurgical Resources  Inc.,Energy,AMR,EQ,
Talos Energy  Inc.,Energy,TALO,EQ,
NextDecade Corporation,Energy,NEXT,EQ,
Mach Natural Resources LP,Energy,MNR,EQ,
Northern Oil and Gas  Inc.,Energy,NOG,EQ,
Expro Group Holdings N.V.,Energy,XPRO,EQ,
Vermilion Energy Inc.,Energy,VET,EQ,
Kosmos Energy Ltd.,Energy,KOS,EQ,
Sable Offshore Corp.,Energy,SOC,EQ,
Tamboran Resources Corporation,Energy,TBN,EQ,
Natural Resource Partners LP Limited Partnership,Energy,NRP,EQ,
Diversified Energy Company,Energy,DEC,EQ,
HighPeak Energy  Inc.,Energy,HPK,EQ,
Ramaco Resources  Inc.,Energy,METC,EQ,
Ramaco Resources  Inc.,Energy,METCB,EQ,
Infinity Natural Resources  Inc.,Energy,INR,EQ,
TXO Partners  L.P.,Energy,TXO,EQ,
Geopark Ltd,Energy,GPRK,EQ,
Greenfire Resources Ltd.,Energy,GFR,EQ,
Vitesse Energy Inc.,Energy,VTS,EQ,
Granite Ridge Resources  Inc.,Energy,GRNT,EQ,
Core Laboratories Inc.,Energy,CLB,EQ,
W&T Offshore  Inc.,Energy,WTI,EQ,
VAALCO Energy  Inc.,Energy,EGY,EQ,
SandRidge Energy  Inc.,Energy,SD,EQ,
Star Group L.P.,Energy,SGU,EQ,
NACCO Industries  Inc.,Energy,NC,EQ,
Presidio Production Company,Energy,FTW,EQ,
PrimeEnergy Resources Corporation,Energy,PNRG,EQ,
American Resources Corporation,Energy,AREC,EQ,
AleAnna  Inc.,Energy,ANNA,EQ,
Kolibri Global Energy Inc.,Energy,KGEI,EQ,
Amplify Energy Corp.,Energy,AMPY,EQ,
Epsilon Energy Ltd.,Energy,EPSN,EQ,
XCF Global  Inc.,Energy,SAFX,EQ,
Stabilis Solutions  Inc.,Energy,SLNG,EQ,
Prairie Operating Co.,Energy,PROP,EQ,
KLX Energy Services Holdings  Inc.,Energy,KLXE,EQ,
Big Sky Industrial Inc.,Energy,BSIN,EQ,
Sky Quarry Inc.,Energy,SKYQ,EQ,
