Company Name,Industry,Symbol,Series,ISIN Code
Arch Capital Group,Financials,ACGL,EQ,
Aflac,Financials,AFL,EQ,
American International Group,Financials,AIG,EQ,
Assurant,Financials,AIZ,EQ,
Arthur J. Gallagher & Co.,Financials,AJG,EQ,
Allstate,Financials,ALL,EQ,
Ameriprise Financial,Financials,AMP,EQ,
Aon plc,Financials,AON,EQ,
Apollo Global Management,Financials,APO,EQ,
Ares Management,Financials,ARES,EQ,
American Express,Financials,AXP,EQ,
Bank of America,Financials,BAC,EQ,
Franklin Resources,Financials,BEN,EQ,
BNY Mellon,Financials,BK,EQ,
BlackRock,Financials,BLK,EQ,
Berkshire Hathaway,Financials,BRK-B,EQ,
Brown & Brown,Financials,BRO,EQ,
Blackstone Inc.,Financials,BX,EQ,
Citigroup,Financials,C,EQ,
Chubb Limited,Financials,CB,EQ,
Cboe Global Markets,Financials,CBOE,EQ,
Citizens Financial Group,Financials,CFG,EQ,
Cincinnati Financial,Financials,CINF,EQ,
CME Group,Financials,CME,EQ,
Capital One,Financials,COF,EQ,
Coinbase,Financials,COIN,EQ,
Corpay,Financials,CPAY,EQ,
Everest Group,Financials,EG,EQ,
Erie Indemnity,Financials,ERIE,EQ,
FactSet,Financials,FDS,EQ,
Fidelity National Information Services,Financials,FIS,EQ,
Fiserv,Financials,FISV,EQ,
Fifth Third Bancorp,Financials,FITB,EQ,
Globe Life,Financials,GL,EQ,
Global Payments,Financials,GPN,EQ,
Goldman Sachs,Financials,GS,EQ,
Huntington Bancshares,Financials,HBAN,EQ,
Hartford (The),Financials,HIG,EQ,
Robinhood Markets,Financials,HOOD,EQ,
Interactive Brokers,Financials,IBKR,EQ,
Intercontinental Exchange,Financials,ICE,EQ,
Invesco,Financials,IVZ,EQ,
Jack Henry & Associates,Financials,JKHY,EQ,
JPMorgan Chase,Financials,JPM,EQ,
KeyCorp,Financials,KEY,EQ,
KKR & Co.,Financials,KKR,EQ,
Loews Corporation,Financials,L,EQ,
Mastercard,Financials,MA,EQ,
Moody's Corporation,Financials,MCO,EQ,
MetLife,Financials,MET,EQ,
Marsh McLennan,Financials,MRSH,EQ,
Morgan Stanley,Financials,MS,EQ,
MSCI Inc.,Financials,MSCI,EQ,
M&T Bank,Financials,MTB,EQ,
"Nasdaq, Inc.",Financials,NDAQ,EQ,
Northern Trust,Financials,NTRS,EQ,
Principal Financial Group,Financials,PFG,EQ,
Progressive Corporation,Financials,PGR,EQ,
PNC Financial Services,Financials,PNC,EQ,
Prudential Financial,Financials,PRU,EQ,
PayPal,Financials,PYPL,EQ,
Regions Financial Corporation,Financials,RF,EQ,
Raymond James Financial,Financials,RJF,EQ,
Charles Schwab Corporation,Financials,SCHW,EQ,
S&P Global,Financials,SPGI,EQ,
State Street Corporation,Financials,STT,EQ,
Synchrony Financial,Financials,SYF,EQ,
Truist Financial,Financials,TFC,EQ,
T. Rowe Price,Financials,TROW,EQ,
Travelers Companies (The),Financials,TRV,EQ,
U.S. Bancorp,Financials,USB,EQ,
Visa Inc.,Financials,V,EQ,
Wells Fargo,Financials,WFC,EQ,
W. R. Berkley Corporation,Financials,WRB,EQ,
Willis Towers Watson,Financials,WTW,EQ,
"Block, Inc.",Financials,XYZ,EQ,
