Company Name,Industry,Symbol,Series,ISIN Code
Agilent Technologies,Health Care,A,EQ,
AbbVie,Health Care,ABBV,EQ,
Abbott Laboratories,Health Care,ABT,EQ,
Align Technology,Health Care,ALGN,EQ,
Amgen,Health Care,AMGN,EQ,
Baxter International,Health Care,BAX,EQ,
Becton Dickinson,Health Care,BDX,EQ,
Biogen,Health Care,BIIB,EQ,
Bristol Myers Squibb,Health Care,BMY,EQ,
Boston Scientific,Health Care,BSX,EQ,
Cardinal Health,Health Care,CAH,EQ,
Cigna,Health Care,CI,EQ,
Centene Corporation,Health Care,CNC,EQ,
Cooper Companies (The),Health Care,COO,EQ,
Cencora,Health Care,COR,EQ,
Charles River Laboratories,Health Care,CRL,EQ,
CVS Health,Health Care,CVS,EQ,
Quest Diagnostics,Health Care,DGX,EQ,
Danaher Corporation,Health Care,DHR,EQ,
DaVita,Health Care,DVA,EQ,
Dexcom,Health Care,DXCM,EQ,
Elevance Health,Health Care,ELV,EQ,
Edwards Lifesciences,Health Care,EW,EQ,
GE HealthCare,Health Care,GEHC,EQ,
Gilead Sciences,Health Care,GILD,EQ,
HCA Healthcare,Health Care,HCA,EQ,
Hologic,Health Care,HOLX,EQ,
Henry Schein,Health Care,HSIC,EQ,
Humana,Health Care,HUM,EQ,
Idexx Laboratories,Health Care,IDXX,EQ,
Incyte,Health Care,INCY,EQ,
IQVIA,Health Care,IQV,EQ,
Intuitive Surgical,Health Care,ISRG,EQ,
Johnson & Johnson,Health Care,JNJ,EQ,
Labcorp,Health Care,LH,EQ,
Lilly (Eli),Health Care,LLY,EQ,
McKesson Corporation,Health Care,MCK,EQ,
Medtronic,Health Care,MDT,EQ,
Molina Healthcare,Health Care,MOH,EQ,
Merck & Co.,Health Care,MRK,EQ,
Moderna,Health Care,MRNA,EQ,
Mettler Toledo,Health Care,MTD,EQ,
Pfizer,Health Care,PFE,EQ,
Insulet Corporation,Health Care,PODD,EQ,
Regeneron Pharmaceuticals,Health Care,REGN,EQ,
ResMed,Health Care,RMD,EQ,
Revvity,Health Care,RVTY,EQ,
Solventum,Health Care,SOLV,EQ,
Steris,Health Care,STE,EQ,
Stryker Corporation,Health Care,SYK,EQ,
Bio-Techne,Health Care,TECH,EQ,
Thermo Fisher Scientific,Health Care,TMO,EQ,
Universal Health Services,Health Care,UHS,EQ,
UnitedHealth Group,Health Care,UNH,EQ,
Vertex Pharmaceuticals,Health Care,VRTX,EQ,
Viatris,Health Care,VTRS,EQ,
Waters Corporation,Health Care,WAT,EQ,
West Pharmaceutical Services,Health Care,WST,EQ,
Zimmer Biomet,Health Care,ZBH,EQ,
Zoetis,Health Care,ZTS,EQ,
