Company Name,Industry,Symbol,Series,ISIN Code
Automatic Data Processing,Industrials,ADP,EQ,
Allegion,Industrials,ALLE,EQ,
Ametek,Industrials,AME,EQ,
A. O. Smith,Industrials,AOS,EQ,
Axon Enterprise,Industrials,AXON,EQ,
Boeing,Industrials,BA,EQ,
Builders FirstSource,Industrials,BLDR,EQ,
Broadridge Financial Solutions,Industrials,BR,EQ,
Carrier Global,Industrials,CARR,EQ,
Caterpillar Inc.,Industrials,CAT,EQ,
C.H. Robinson,Industrials,CHRW,EQ,
Cummins,Industrials,CMI,EQ,
Copart,Industrials,CPRT,EQ,
CSX Corporation,Industrials,CSX,EQ,
Cintas,Industrials,CTAS,EQ,
Delta Air Lines,Industrials,DAL,EQ,
Deere & Company,Industrials,DE,EQ,
Dover Corporation,Industrials,DOV,EQ,
Equifax,Industrials,EFX,EQ,
Emcor,Industrials,EME,EQ,
Emerson Electric,Industrials,EMR,EQ,
Eaton Corporation,Industrials,ETN,EQ,
Expeditors International,Industrials,EXPD,EQ,
Fastenal,Industrials,FAST,EQ,
FedEx,Industrials,FDX,EQ,
Comfort Systems USA,Industrials,FIX,EQ,
Fortive,Industrials,FTV,EQ,
General Dynamics,Industrials,GD,EQ,
GE Aerospace,Industrials,GE,EQ,
GE Vernova,Industrials,GEV,EQ,
Generac,Industrials,GNRC,EQ,
W. W. Grainger,Industrials,GWW,EQ,
Huntington Ingalls Industries,Industrials,HII,EQ,
Honeywell,Industrials,HON,EQ,
Hubbell Incorporated,Industrials,HUBB,EQ,
Howmet Aerospace,Industrials,HWM,EQ,
IDEX Corporation,Industrials,IEX,EQ,
Ingersoll Rand,Industrials,IR,EQ,
Illinois Tool Works,Industrials,ITW,EQ,
Jacobs Solutions,Industrials,J,EQ,
J.B. Hunt,Industrials,JBHT,EQ,
Johnson Controls,Industrials,JCI,EQ,
Leidos,Industrials,LDOS,EQ,
L3Harris,Industrials,LHX,EQ,
Lennox International,Industrials,LII,EQ,
Lockheed Martin,Industrials,LMT,EQ,
Southwest Airlines,Industrials,LUV,EQ,
Masco,Industrials,MAS,EQ,
3M,Industrials,MMM,EQ,
Nordson Corporation,Industrials,NDSN,EQ,
Northrop Grumman,Industrials,NOC,EQ,
Norfolk Southern,Industrials,NSC,EQ,
Old Dominion,Industrials,ODFL,EQ,
Otis Worldwide,Industrials,OTIS,EQ,
Paycom,Industrials,PAYC,EQ,
Paychex,Industrials,PAYX,EQ,
Paccar,Industrials,PCAR,EQ,
Parker Hannifin,Industrials,PH,EQ,
Pentair,Industrials,PNR,EQ,
Quanta Services,Industrials,PWR,EQ,
Rockwell Automation,Industrials,ROK,EQ,
"Rollins, Inc.",Industrials,ROL,EQ,
Republic Services,Industrials,RSG,EQ,
RTX Corporation,Industrials,RTX,EQ,
Snap-on,Industrials,SNA,EQ,
Stanley Black & Decker,Industrials,SWK,EQ,
TransDigm Group,Industrials,TDG,EQ,
Trane Technologies,Industrials,TT,EQ,
Textron,Industrials,TXT,EQ,
United Airlines Holdings,Industrials,UAL,EQ,
Uber,Industrials,UBER,EQ,
Union Pacific Corporation,Industrials,UNP,EQ,
United Parcel Service,Industrials,UPS,EQ,
United Rentals,Industrials,URI,EQ,
Veralto,Industrials,VLTO,EQ,
Verisk Analytics,Industrials,VRSK,EQ,
Wabtec,Industrials,WAB,EQ,
Waste Management,Industrials,WM,EQ,
Xylem Inc.,Industrials,XYL,EQ,
