Company Name,Industry,Symbol,Series,ISIN Code
Apple Inc.,Information Technology,AAPL,EQ,
Accenture,Information Technology,ACN,EQ,
Adobe Inc.,Information Technology,ADBE,EQ,
Analog Devices,Information Technology,ADI,EQ,
Autodesk,Information Technology,ADSK,EQ,
Akamai Technologies,Information Technology,AKAM,EQ,
Applied Materials,Information Technology,AMAT,EQ,
Advanced Micro Devices,Information Technology,AMD,EQ,
Arista Networks,Information Technology,ANET,EQ,
Amphenol,Information Technology,APH,EQ,
AppLovin,Information Technology,APP,EQ,
Broadcom,Information Technology,AVGO,EQ,
Cadence Design Systems,Information Technology,CDNS,EQ,
CDW Corporation,Information Technology,CDW,EQ,
Ciena,Information Technology,CIEN,EQ,
Salesforce,Information Technology,CRM,EQ,
CrowdStrike,Information Technology,CRWD,EQ,
Cisco,Information Technology,CSCO,EQ,
Cognizant,Information Technology,CTSH,EQ,
Datadog,Information Technology,DDOG,EQ,
Dell Technologies,Information Technology,DELL,EQ,
EPAM Systems,Information Technology,EPAM,EQ,
"F5, Inc.",Information Technology,FFIV,EQ,
Fair Isaac,Information Technology,FICO,EQ,
First Solar,Information Technology,FSLR,EQ,
Fortinet,Information Technology,FTNT,EQ,
GoDaddy,Information Technology,GDDY,EQ,
Gen Digital,Information Technology,GEN,EQ,
Corning Inc.,Information Technology,GLW,EQ,
Hewlett Packard Enterprise,Information Technology,HPE,EQ,
HP Inc.,Information Technology,HPQ,EQ,
IBM,Information Technology,IBM,EQ,
Intel,Information Technology,INTC,EQ,
Intuit,Information Technology,INTU,EQ,
Gartner,Information Technology,IT,EQ,
Jabil,Information Technology,JBL,EQ,
Keysight Technologies,Information Technology,KEYS,EQ,
KLA Corporation,Information Technology,KLAC,EQ,
Lam Research,Information Technology,LRCX,EQ,
Microchip Technology,Information Technology,MCHP,EQ,
Monolithic Power Systems,Information Technology,MPWR,EQ,
Microsoft,Information Technology,MSFT,EQ,
Motorola Solutions,Information Technology,MSI,EQ,
Micron Technology,Information Technology,MU,EQ,
ServiceNow,Information Technology,NOW,EQ,
NetApp,Information Technology,NTAP,EQ,
Nvidia,Information Technology,NVDA,EQ,
NXP Semiconductors,Information Technology,NXPI,EQ,
ON Semiconductor,Information Technology,ON,EQ,
Oracle Corporation,Information Technology,ORCL,EQ,
Palo Alto Networks,Information Technology,PANW,EQ,
Palantir Technologies,Information Technology,PLTR,EQ,
PTC Inc.,Information Technology,PTC,EQ,
Qnity Electronics,Information Technology,Q,EQ,
Qualcomm,Information Technology,QCOM,EQ,
Roper Technologies,Information Technology,ROP,EQ,
Supermicro,Information Technology,SMCI,EQ,
Sandisk,Information Technology,SNDK,EQ,
Synopsys,Information Technology,SNPS,EQ,
Seagate Technology,Information Technology,STX,EQ,
Skyworks Solutions,Information Technology,SWKS,EQ,
Teledyne Technologies,Information Technology,TDY,EQ,
TE Connectivity,Information Technology,TEL,EQ,
Teradyne,Information Technology,TER,EQ,
Trimble Inc.,Information Technology,TRMB,EQ,
Texas Instruments,Information Technology,TXN,EQ,
Tyler Technologies,Information Technology,TYL,EQ,
Verisign,Information Technology,VRSN,EQ,
"Workday, Inc.",Information Technology,WDAY,EQ,
Western Digital,Information Technology,WDC,EQ,
Zebra Technologies,Information Technology,ZBRA,EQ,
