Company Name,Industry,Symbol,Series,ISIN Code
Albemarle Corporation,Materials,ALB,EQ,
Amcor,Materials,AMCR,EQ,
Air Products,Materials,APD,EQ,
Avery Dennison,Materials,AVY,EQ,
Ball Corporation,Materials,BALL,EQ,
CF Industries,Materials,CF,EQ,
CRH plc,Materials,CRH,EQ,
Corteva,Materials,CTVA,EQ,
DuPont,Materials,DD,EQ,
Dow Inc.,Materials,DOW,EQ,
Ecolab,Materials,ECL,EQ,
Freeport-McMoRan,Materials,FCX,EQ,
International Flavors & Fragrances,Materials,IFF,EQ,
International Paper,Materials,IP,EQ,
Linde plc,Materials,LIN,EQ,
LyondellBasell,Materials,LYB,EQ,
Martin Marietta Materials,Materials,MLM,EQ,
Mosaic Company (The),Materials,MOS,EQ,
Newmont,Materials,NEM,EQ,
Nucor,Materials,NUE,EQ,
Packaging Corporation of America,Materials,PKG,EQ,
PPG Industries,Materials,PPG,EQ,
Sherwin-Williams,Materials,SHW,EQ,
Steel Dynamics,Materials,STLD,EQ,
Smurfit Westrock,Materials,SW,EQ,
Vulcan Materials Company,Materials,VMC,EQ,
