Company Name,Industry,Symbol,Series,ISIN Code
American Tower,Real Estate,AMT,EQ,
Alexandria Real Estate Equities,Real Estate,ARE,EQ,
AvalonBay Communities,Real Estate,AVB,EQ,
"BXP, Inc.",Real Estate,BXP,EQ,
CBRE Group,Real Estate,CBRE,EQ,
Crown Castle,Real Estate,CCI,EQ,
Camden Property Trust,Real Estate,CPT,EQ,
CoStar Group,Real Estate,CSGP,EQ,
Digital Realty,Real Estate,DLR,EQ,
Healthpeak Properties,Real Estate,DOC,EQ,
Equinix,Real Estate,EQIX,EQ,
Equity Residential,Real Estate,EQR,EQ,
Essex Property Trust,Real Estate,ESS,EQ,
Extra Space Storage,Real Estate,EXR,EQ,
Federal Realty Investment Trust,Real Estate,FRT,EQ,
Host Hotels & Resorts,Real Estate,HST,EQ,
Invitation Homes,Real Estate,INVH,EQ,
Iron Mountain,Real Estate,IRM,EQ,
Kimco Realty,Real Estate,KIM,EQ,
Mid-America Apartment Communities,Real Estate,MAA,EQ,
Realty Income,Real Estate,O,EQ,
Prologis,Real Estate,PLD,EQ,
Public Storage,Real Estate,PSA,EQ,
Regency Centers,Real Estate,REG,EQ,
SBA Communications,Real Estate,SBAC,EQ,
Simon Property Group,Real Estate,SPG,EQ,
"UDR, Inc.",Real Estate,UDR,EQ,
Vici Properties,Real Estate,VICI,EQ,
Ventas,Real Estate,VTR,EQ,
Welltower,Real Estate,WELL,EQ,
Weyerhaeuser,Real Estate,WY,EQ,
