Company Name,Industry,Symbol,Series,ISIN Code
Ameren,Utilities,AEE,EQ,
American Electric Power,Utilities,AEP,EQ,
AES Corporation,Utilities,AES,EQ,
Atmos Energy,Utilities,ATO,EQ,
American Water Works,Utilities,AWK,EQ,
Constellation Energy,Utilities,CEG,EQ,
CMS Energy,Utilities,CMS,EQ,
CenterPoint Energy,Utilities,CNP,EQ,
Dominion Energy,Utilities,D,EQ,
DTE Energy,Utilities,DTE,EQ,
Duke Energy,Utilities,DUK,EQ,
Consolidated Edison,Utilities,ED,EQ,
Edison International,Utilities,EIX,EQ,
Eversource Energy,Utilities,ES,EQ,
Entergy,Utilities,ETR,EQ,
Evergy,Utilities,EVRG,EQ,
Exelon,Utilities,EXC,EQ,
FirstEnergy,Utilities,FE,EQ,
Alliant Energy,Utilities,LNT,EQ,
NextEra Energy,Utilities,NEE,EQ,
NiSource,Utilities,NI,EQ,
NRG Energy,Utilities,NRG,EQ,
PG&E Corporation,Utilities,PCG,EQ,
Public Service Enterprise Group,Utilities,PEG,EQ,
Pinnacle West Capital,Utilities,PNW,EQ,
PPL Corporation,Utilities,PPL,EQ,
Southern Company,Utilities,SO,EQ,
Sempra,Utilities,SRE,EQ,
Vistra Corp.,Utilities,VST,EQ,
WEC Energy Group,Utilities,WEC,EQ,
Xcel Energy,Utilities,XEL,EQ,
