Company Name,Industry,Symbol,Series,ISIN Code
Agilent Technologies,Health Care,A,EQ,
Apple Inc.,Information Technology,AAPL,EQ,
AbbVie,Health Care,ABBV,EQ,
Airbnb,Consumer Discretionary,ABNB,EQ,
Abbott Laboratories,Health Care,ABT,EQ,
Arch Capital Group,Financials,ACGL,EQ,
Accenture,Information Technology,ACN,EQ,
Adobe Inc.,Information Technology,ADBE,EQ,
Analog Devices,Information Technology,ADI,EQ,
Archer Daniels Midland,Consumer Staples,ADM,EQ,
Automatic Data Processing,Industrials,ADP,EQ,
Autodesk,Information Technology,ADSK,EQ,
Ameren,Utilities,AEE,EQ,
American Electric Power,Utilities,AEP,EQ,
AES Corporation,Utilities,AES,EQ,
Aflac,Financials,AFL,EQ,
American International Group,Financials,AIG,EQ,
Assurant,Financials,AIZ,EQ,
Arthur J. Gallagher & Co.,Financials,AJG,EQ,
Akamai Technologies,Information Technology,AKAM,EQ,
Albemarle Corporation,Materials,ALB,EQ,
Align Technology,Health Care,ALGN,EQ,
Allstate,Financials,ALL,EQ,
Allegion,Industrials,ALLE,EQ,
Applied Materials,Information Technology,AMAT,EQ,
Amcor,Materials,AMCR,EQ,
Advanced Micro Devices,Information Technology,AMD,EQ,
Ametek,Industrials,AME,EQ,
Amgen,Health Care,AMGN,EQ,
Ameriprise Financial,Financials,AMP,EQ,
American Tower,Real Estate,AMT,EQ,
Amazon,Consumer Discretionary,AMZN,EQ,
Arista Networks,Information Technology,ANET,EQ,
Aon plc,Financials,AON,EQ,
A. O. Smith,Industrials,AOS,EQ,
APA Corporation,Energy,APA,EQ,
Air Products,Materials,APD,EQ,
Amphenol,Information Technology,APH,EQ,
Apollo Global Management,Financials,APO,EQ,
AppLovin,Information Technology,APP,EQ,
Aptiv,Consumer Discretionary,APTV,EQ,
Alexandria Real Estate Equities,Real Estate,ARE,EQ,
Ares Management,Financials,ARES,EQ,
Atmos Energy,Utilities,ATO,EQ,
AvalonBay Communities,Real Estate,AVB,EQ,
Broadcom,Information Technology,AVGO,EQ,
Avery Dennison,Materials,AVY,EQ,
American Water Works,Utilities,AWK,EQ,
Axon Enterprise,Industrials,AXON,EQ,
American Express,Financials,AXP,EQ,
AutoZone,Consumer Discretionary,AZO,EQ,
Boeing,Industrials,BA,EQ,
Bank of America,Financials,BAC,EQ,
Ball Corporation,Materials,BALL,EQ,
Baxter International,Health Care,BAX,EQ,
Best Buy,Consumer Discretionary,BBY,EQ,
Becton Dickinson,Health Care,BDX,EQ,
Franklin Resources,Financials,BEN,EQ,
Brown–Forman,Consumer Staples,BF-B,EQ,
Bunge Global,Consumer Staples,BG,EQ,
Biogen,Health Care,BIIB,EQ,
BNY Mellon,Financials,BK,EQ,
Booking Holdings,Consumer Discretionary,BKNG,EQ,
Baker Hughes,Energy,BKR,EQ,
Builders FirstSource,Industrials,BLDR,EQ,
BlackRock,Financials,BLK,EQ,
Bristol Myers Squibb,Health Care,BMY,EQ,
Broadridge Financial Solutions,Industrials,BR,EQ,
Berkshire Hathaway,Financials,BRK-B,EQ,
Brown & Brown,Financials,BRO,EQ,
