Company Name,Industry,Symbol,Series,ISIN Code
Naspers,Technology,NPN.JO,EQ,ZAE000351946
FirstRand,Financials,FSR.JO,EQ,ZAE000066304
Gold Fields,Materials,GFI.JO,EQ,ZAE000018123
Capitec Bank,Financials,CPI.JO,EQ,ZAE000035861
Standard Bank Group,Financials,SBK.JO,EQ,ZAE000109815
MTN Group,Communication Services,MTN.JO,EQ,ZAE000042164
Valterra Platinum Limited,Materials,VAL.JO,EQ,ZAE000013181
Vodacom Group,Communication Services,VOD.JO,EQ,ZAE000132577
Investec,Financials,INL.JO,EQ,ZAE000081949
Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,Financials,INPR.JO,EQ,ZAE000063814
Absa Group,Financials,ABG.JO,EQ,ZAE000255915
Discovery,Financials,DSY.JO,EQ,ZAE000022331
Impala Platinum,Materials,IMP.JO,EQ,ZAE000083648
Sanlam,Financials,SLM.JO,EQ,ZAE000070660
Harmony Gold,Materials,HAR.JO,EQ,ZAE000015228
Shoprite Holdings,Consumer Staples,SHP.JO,EQ,ZAE000012084
Bid Corporation,Consumer Staples,BID.JO,EQ,ZAE000216537
BEE - Sasol Limited,Materials,SOLBE1.JO,EQ,ZAE000151817
Sasol,Energy,SOL.JO,EQ,ZAE000006896
Nedbank Group,Financials,NED.JO,EQ,ZAE000004875
OUTsurance Group Limited,Financials,OUT.JO,EQ,ZAE000314084
Sibanye Stillwater,Materials,SSW.JO,EQ,ZAE000259701
Remgro,Financials,REM.JO,EQ,ZAE000026480
Northam Platinum,Materials,NPH.JO,EQ,ZAE000298253
Kumba Iron Ore,Materials,KIO.JO,EQ,ZAE000085346
Ninety One,Financials,NY1.JO,EQ,ZAE000282356
Pepkor Holdings,Consumer Discretionary,PPH.JO,EQ,ZAE000259479
Bidvest Group,Industrials,BVT.JO,EQ,ZAE000117321
Aspen Pharmacare,Health Care,APN.JO,EQ,ZAE000066692
Old Mutual,Financials,OMU.JO,EQ,ZAE000255360
Growthpoint Properties,Real Estate,GRT.JO,EQ,ZAE000179420
Clicks Group,Consumer Staples,CLS.JO,EQ,ZAE000134854
Exxaro Resources,Energy,EXX.JO,EQ,ZAE000084992
Momentum Metropolitan,Financials,MTM.JO,EQ,ZAE000269890
Woolworths Holdings,Consumer Staples,WHL.JO,EQ,ZAE000063863
Mr Price Group,Consumer Discretionary,MRP.JO,EQ,ZAE000200457
