Company Name,Industry,Symbol,Series,ISIN Code
Naspers,Technology,NPN.JO,EQ,
Prosus,Technology,PRX.JO,EQ,
FirstRand,Financials,FSR.JO,EQ,
Standard Bank Group,Financials,SBK.JO,EQ,
Absa Group,Financials,ABG.JO,EQ,
Nedbank Group,Financials,NED.JO,EQ,
Capitec Bank,Financials,CPI.JO,EQ,
Sanlam,Financials,SLM.JO,EQ,
Old Mutual,Financials,OMU.JO,EQ,
Discovery,Financials,DSY.JO,EQ,
Anglo American,Materials,AGL.JO,EQ,
Anglo American Platinum,Materials,AMS.JO,EQ,
BHP Group,Materials,BHG.JO,EQ,
Kumba Iron Ore,Materials,KIO.JO,EQ,
Impala Platinum,Materials,IMP.JO,EQ,
Sibanye Stillwater,Materials,SSW.JO,EQ,
Gold Fields,Materials,GFI.JO,EQ,
AngloGold Ashanti,Materials,ANG.JO,EQ,
Harmony Gold,Materials,HAR.JO,EQ,
Exxaro Resources,Energy,EXX.JO,EQ,
Sasol,Energy,SOL.JO,EQ,
Shoprite Holdings,Consumer Staples,SHP.JO,EQ,
Bid Corporation,Consumer Staples,BID.JO,EQ,
Bidvest Group,Industrials,BVT.JO,EQ,
Woolworths Holdings,Consumer Staples,WHL.JO,EQ,
Pick n Pay,Consumer Staples,PIK.JO,EQ,
SPAR Group,Consumer Staples,SPP.JO,EQ,
Clicks Group,Consumer Staples,CLS.JO,EQ,
Mr Price Group,ConsumerDisc,MRP.JO,EQ,
Truworths,ConsumerDisc,TRU.JO,EQ,
Foschini Group,ConsumerDisc,TFG.JO,EQ,
MTN Group,CommServices,MTN.JO,EQ,
Vodacom Group,CommServices,VOD.JO,EQ,
Telkom SA,CommServices,TKG.JO,EQ,
Growthpoint Properties,RealEstate,GRT.JO,EQ,
Redefine Properties,RealEstate,RDF.JO,EQ,
Mondi,Materials,MNP.JO,EQ,
Sappi,Materials,SAP.JO,EQ,
Aspen Pharmacare,Healthcare,APN.JO,EQ,
Netcare,Healthcare,NTC.JO,EQ,
Tiger Brands,Consumer Staples,TBS.JO,EQ,
AVI Limited,Consumer Staples,AVI.JO,EQ,
