Company Name,Industry,Symbol,Series,ISIN Code
Compagnie Financiere Richemont SA,Consumer Discretionary,CFR.JO,EQ,
Shoprite Holdings Limited,Consumer Discretionary,SHP.JO,EQ,
Bid Corporation Limited,Consumer Discretionary,BID.JO,EQ,
Pepkor Holdings Ltd.,Consumer Discretionary,PPH.JO,EQ,
Bidvest Group Limited,Consumer Discretionary,BVT.JO,EQ,
Canal+ SA,Consumer Discretionary,CNP.JO,EQ,
Clicks Group Limited,Consumer Discretionary,CLS.JO,EQ,
Mr Price Group Limited,Consumer Discretionary,MRP.JO,EQ,
Woolworths Holdings Limited,Consumer Discretionary,WHL.JO,EQ,
Boxer Retail Limited,Consumer Discretionary,BOX.JO,EQ,
Dis-Chem Pharmacies Limited,Consumer Discretionary,DCP.JO,EQ,
Pick N Pay Stores Limited,Consumer Discretionary,PIK.JO,EQ,
Truworths International Limited,Consumer Discretionary,TRU.JO,EQ,
Foschini Group Limited,Consumer Discretionary,TFG.JO,EQ,
We Buy Cars Holdings Ltd.,Consumer Discretionary,WBC.JO,EQ,
Hosken Consolidated Investments Limited,Consumer Discretionary,HCI.JO,EQ,
Southern Sun Limited,Consumer Discretionary,SSU.JO,EQ,
Sun International Limited,Consumer Discretionary,SUI.JO,EQ,
Italtile Limited,Consumer Discretionary,ITE.JO,EQ,
Reunert Limited,Consumer Discretionary,RLO.JO,EQ,
Tsogo Sun Limited,Consumer Discretionary,TSG.JO,EQ,
Famous Brands Limited,Consumer Discretionary,FBR.JO,EQ,
Lewis Group Limited,Consumer Discretionary,LEW.JO,EQ,
Caxton and CTP Publishers and Printers Limited,Consumer Discretionary,CAT.JO,EQ,
Choppies Enterprises Limited,Consumer Discretionary,CHP.JO,EQ,
Combined Motor Holdings Limited,Consumer Discretionary,CMH.JO,EQ,
Cashbuild Limited,Consumer Discretionary,CSB.JO,EQ,
City Lodge Hotels Limited,Consumer Discretionary,CLH.JO,EQ,
AfroCentric Investment Corporation Limited,Consumer Discretionary,ACT.JO,EQ,
Grand Parade Investments Limited,Consumer Discretionary,GPL.JO,EQ,
African Media Entertainment Limited,Consumer Discretionary,AME.JO,EQ,
Rex Trueform Group Limited,Consumer Discretionary,RTO.JO,EQ,
Rex Trueform Group Limited Class N,Consumer Discretionary,RTN.JO,EQ,
African and Overseas Enterprises Limited Class N,Consumer Discretionary,AON.JO,EQ,
