Company Name,Industry,Symbol,Series,ISIN Code
Shoprite Holdings,Consumer Staples,SHP.JO,EQ,ZAE000012084
Bid Corporation,Consumer Staples,BID.JO,EQ,ZAE000216537
Clicks Group,Consumer Staples,CLS.JO,EQ,ZAE000134854
Woolworths Holdings,Consumer Staples,WHL.JO,EQ,ZAE000063863
Tiger Brands,Consumer Staples,TBS.JO,EQ,ZAE000071080
AVI Limited,Consumer Staples,AVI.JO,EQ,ZAE000049433
Pick n Pay,Consumer Staples,PIK.JO,EQ,ZAE000005443
SPAR Group,Consumer Staples,SPP.JO,EQ,ZAE000058517
Astral Foods,Consumer Staples,ARL.JO,EQ,ZAE000029757
Oceana Group Limited,Consumer Staples,OCE.JO,EQ,ZAE000025284
RCL Foods,Consumer Staples,RCL.JO,EQ,ZAE000179438
Spur Corporation Limited,Consumer Staples,SUR.JO,EQ,ZAE000022653
Libstar Holdings Ltd.,Consumer Staples,LBR.JO,EQ,ZAE000250239
